Trial,統合した解の中心の総和,DM1,DM1の式1の最適値,DM1の積,DM1の式10の最適値,DM2,DM2の式1の最適値,DM2の積,DM2の式10の最適値,DM3,DM3の式1の最適値,DM3の積,DM3の式10の最適値
1,1.0000000000000002,0.9250000750000009,0.3900000000000001,0.38396229528301945,0.41509433962264175,0.9642856767857134,0.30952380952380976,0.29846937614795827,0.30952380952380887,0.9642856767857152,0.3095238095238093,0.2984693761479596,0.30952380952380965
2,1.0,0.9722221822222249,0.2777777777777771,0.2777777663492074,0.28571428571428603,0.9999999837499988,0.19230769230769296,0.19230768918269184,0.19230769230769207,0.9999999674999993,0.17948717948717974,0.17948717365384606,0.17948717948717952
3,1.0,0.9999999808823535,0.33846153846153815,0.33846153199095047,0.3384615384615385,0.9999999675000022,0.17948717948717885,0.1794871736538467,0.17948717948717963,0.9629629079629621,0.37037037037037057,0.37037034921652356,0.38461538461538425
4,1.0031498340406688,1.0,0.19230769230769296,0.1923076923076924,0.1923076923076924,0.9999999999999999,0.21839080459770066,0.21839080459770163,0.21839080459770166,0.9999999733333331,0.2500000000000001,0.24999999333333284,0.24999999999999956
5,1.004273498119658,1.0,0.3111111111111109,0.3111111111111112,0.3111111111111112,1.0,0.2500000000000002,0.25000000000000033,0.25000000000000033,0.968749961666667,0.3124999999999999,0.3124999876344089,0.3225806451612905
6,0.9999999985714281,0.9456521205797073,0.3695652173913049,0.353320572524286,0.3736263736263734,0.9565216927018626,0.34782608695652195,0.33270319746151744,0.34782608695652173,0.9687499914705877,0.31250000000000067,0.31249999724857686,0.3225806451612905
7,1.0041666653333332,0.999999973333333,0.2500000000000001,0.2499999933333328,0.24999999999999956,1.0,0.14814814814814836,0.14814814814814825,0.14814814814814825,0.9666666806666672,0.3333333333333336,0.3222222268888892,0.3333333333333335
8,1.0,0.9499998200000067,0.32222222222222185,0.320779160000003,0.33766233766233844,0.9999999787499984,0.2647058823529419,0.26470587672794105,0.26470588235294146,0.9999999829999977,0.20588235294117785,0.20588234944117503,0.20588235294117552
9,1.0000000083193288,0.9999999635714262,0.19607843137254966,0.1960784242296916,0.1960784313725492,0.9807692300549451,0.2692307692307687,0.26405325424556264,0.2692307692307697,0.9901960675490196,0.3333333333333335,0.33006535584967334,0.3333333333333335
10,0.9999999999999999,0.9999999999999999,0.2222222222222222,0.22222222222222207,0.2222222222222221,0.9999999699999994,0.2500000000000002,0.2499999924999994,0.24999999999999956,1.0,0.31831831831831814,0.31831831831831825,0.31831831831831825
11,1.0,1.0,0.27380952380952417,0.27380952380952395,0.27380952380952395,1.0,0.318318318318318,0.31831831831831825,0.31831831831831825,1.0,0.31831831831831814,0.31831831831831825,0.31831831831831825
12,1.0,0.9999999778947362,0.27380952380952417,0.27380951775689216,0.27380952380952395,0.9999999778947332,0.27380952380952606,0.27380951775689183,0.2738095238095244,0.9999999713157893,0.20634920634920617,0.20634920043024274,0.20634920634920684
13,1.0021929795013853,0.9687499616666658,0.3125000000000002,0.3124999876344085,0.3225806451612905,0.9999999849999999,0.3333333333333335,0.333333328333333,0.33333333333333304,0.9629629079629627,0.37037037037037046,0.36900940830076745,0.3832020997375324
14,0.9977375722753713,0.9999999907142858,0.3076923076923075,0.30769230483516463,0.3076923076923075,0.9722221672222259,0.2777777777777771,0.2777777620634933,0.2857142857142859,0.9999999787500005,0.2647058823529409,0.2647058767279404,0.26470588235294024
15,0.9966667320000002,0.937500026999999,0.3472222222222219,0.3409091007272725,0.36363636363636376,0.9444446544444339,0.3703703703703699,0.36650091067992957,0.3880597014925373,0.9250000750000009,0.3900000000000001,0.38396229528301945,0.41509433962264175
