Trial,Feasibility
2,5.538479652708121
4,2.35933268477595e-6
47,5.815193236696372
68,2.0251278296173423
76,1.694678237280768
110,5.545178654193769
111,2.453339685881203
119,0.7011150177666989
140,3.618892102617898
163,1.672662876013443
164,1.6409141205942621
209,3.886064412803181
210,8.377493295710938
245,4.235692683763344
251,1.7755207818848326
268,1.1763105286277664e-5
332,3.8929085577360096
335,4.291550287673459
343,4.826998964553414
357,0.8578597037415472
366,1.7617492061607534
381,2.7000710858806736
398,9.853431404138746e-7
414,3.893730427398287
421,1.9468076023676026
432,3.6588995667536155
446,4.1427168869069115
452,0.6705256932673667
473,1.8966311088024987
484,1.1610784986309035
489,6.638974068309794
542,1.6620626373500702
594,1.6038319825939666
603,1.1026846494675517
682,6.051123775840733
716,1.8089423754242073
730,2.6908248314707883
734,2.54248891211917
752,4.1542278730222
765,4.09063920614508
815,3.7821853996564894
869,4.199289127916153
888,0.8551920260386376
891,0.7007986697896449
900,6.686042016656373
905,6.437751699805521
922,1.3297559979346527
963,2.5215170667941065
970,2.3675945453060203
976,4.394449154672438
986,0.9849721263448501
