entani論文のPerfectIncorporation,中心総和1のPerfectIncorporation,解の非唯一性考慮のPerfectIncorporation,entani論文のCommonGround,中心総和1のCommonGround,解の非唯一性考慮のCommonGround,entani論文のPartialIncorporation,中心総和1のPartialIncorporation,解の非唯一性考慮のPartialIncorporation
15.810186601449729,17.33909499929284,15.730279829136611,Error,Error,Error,1.973460485446108,2.2436043315041077,0.42373959284965945
11.731042816884397,12.035654043320386,11.731042816885317,Error,Error,Error,2.5798487524410434,2.6427329994781386,2.407264569703234
15.226649959081168,17.2230363198306,15.979091098961646,Error,Error,Error,3.3407306671679993,4.093491789061806,3.8425212563946562
17.045594587540208,80.5258646051245,20.284479971480575,Error,Error,Error,6.3576170101391485,6.41689865879067,5.901491990674512
10.754546535659195,11.502623143681157,11.209907274884465,Error,Error,Error,0.9700414152202033,1.336465166726109,0.8628342913066351
12.857685898075365,15.567281192442557,14.153884764565898,Error,Error,Error,3.860323584174345,3.8603235841743437,3.8603235841743357
10.75482895303621,14.36280416073792,11.410136849668515,Error,Error,Error,2.733494674931801,3.486535082808809,3.009466160879708
11.090077101536139,12.77292055417223,11.68132822996833,Error,Error,Error,4.632947180012982,5.358672234466525,4.93989152203611
14.843485700514844,15.544676897260919,15.299476922270719,Error,Error,Error,5.288047556580587,5.816980092113578,5.326097784051424
11.336528158293138,11.45738327267803,11.408602180303753,Error,Error,Error,2.3308934517821522,2.741331380925993,2.464119508861967
13.861966929470036,13.08120201068014,13.043155093509862,Error,Error,Error,2.671317490302777,2.113916772728401,1.6218604324326638
16.17483578502075,20.841303856142787,17.228383823074616,Error,Error,Error,4.794965101488752,5.1853912557265645,4.617644545233569
11.574207246580539,11.999435600294639,11.780373189726847,Error,Error,Error,0.6094056643202661,1.7299892491982427,0.48009217039881413
13.441501548567615,Inf,16.685222413432932,Error,Error,Error,2.772588722239786,2.772588722239759,2.772588722239768
13.464424247403436,15.512085080738638,14.785257730404805,Error,Error,Error,2.8027919200587905,3.140522280652084,3.1042831820828263
12.307904730292748,13.160306383324691,12.633004812206932,Error,Error,Error,2.024955937400473,3.1310373569984704,2.1457051087084555
17.60796709542158,18.569119940932723,18.569119940932907,Error,Error,Error,3.7644790511124824,3.80410507795087,3.8429803112991685
9.260030451970383,9.750439740339743,9.260030451971936,Error,Error,Error,0.2671899236940387,0.5586204419001959,0.40033383422793456
16.069534084344223,17.26248279744626,17.26248279744613,Error,Error,Error,4.8093953217713015,5.191693458456933,5.167441637793519
12.56674474470822,15.614748432702127,15.614748432701985,Error,Error,Error,1.5636994679273029,2.781669316377984,2.7816693163779522
11.623837124951542,11.801728949153382,11.801728949153727,Error,Error,Error,2.9367222098753674,2.897215715891847,2.6736500322253245
13.3963255220925,80.17282686764693,21.452033260369685,Error,Error,Error,1.4239214361550925,1.944170657152538,1.409122751749968
13.717359859532468,14.038627482118693,13.630513087970018,Error,Error,Error,2.273281675998073,1.7791264026340654,0.5569016682597767
10.635717615068309,12.802106744799868,12.802106744799744,Error,Error,Error,2.77258872223975,2.9129540014849895,2.8401959654502074
12.342063658840264,13.732938186506566,13.93270979470336,Error,Error,Error,4.127214475984105,4.493077385340065,4.127214475984013
14.14661871313066,18.38316685804903,16.224586513822075,Error,Error,Error,1.2835205674454375,1.3708639822340465,1.2888611135907242
13.599684229210288,77.58699151378836,77.5869915137886,Error,Error,Error,0.49881391400379416,0.592968972564385,0.49881391400385766
15.568603725105048,16.48719472743199,16.48663469715289,Error,Error,Error,4.394070102708224,5.280804686577676,4.948947591865728
13.138981622569274,13.564010102669904,13.143723933516053,Error,Error,Error,1.0207852041856267,0.9051451153674175,0.15843715611043718
11.152371635103032,15.1024445997529,12.944470525210816,Error,Error,Error,2.488483499774399,2.1800259975717116,2.8538826141276483
13.9581592731539,14.885758073425746,14.870583677640731,Error,Error,Error,3.5382205282081007,3.1592457783152166,3.151289984561548
15.339333466948016,17.077144046873904,16.290536303405005,Error,Error,Error,7.3531179394517805,7.840744950812869,6.183020929857583
12.993592619409457,14.376011500147467,14.120151651392725,Error,Error,Error,6.563517753075623,6.437751649736501,6.094722286089651
11.190927226591104,12.759022776959766,12.759022776959704,Error,Error,Error,1.150728289807181,1.5122645356801607,1.512264535680151
11.258396797695456,13.170540001467073,12.517239777051223,Error,Error,Error,3.1459575925750216,3.1127435696137735,3.544103880085323
13.001219970969323,14.033247466877846,14.053989492378935,Error,Error,Error,4.967666612885041,4.629811154764212,4.404852281472728
13.212378177242424,16.47962852171993,14.961553595048835,Error,Error,Error,3.915244355421938,5.552026143385403,4.3065335277973125
12.705264841797833,12.32300660213891,12.305937150042036,Error,Error,Error,4.120154875518988,4.335361603939447,3.1520220273651423
10.536745597522124,12.158606029955486,12.158606029955331,Error,Error,Error,0.3684853430109678,0.5310379593837808,0.6114302837621004
12.955971868111579,13.383524578714724,13.394307476179375,Error,Error,Error,3.0079507223315565,3.842803076696055,4.023825976235271
14.62045036657252,17.47521720573878,15.668591851334222,Error,Error,Error,2.419963352449028,2.5674155446896,2.32064126866822
14.395583273122504,14.552466125737352,14.569523720881822,Error,Error,Error,4.99257609055638,6.244943242464963,5.044524872663604
17.856612876443787,25.6849216994089,20.58218195191927,Error,Error,Error,7.7606060057555775,5.822736120290159,5.5752627329474285
13.761672379261604,15.814133321057323,13.761672379261757,Error,Error,Error,4.4445149097079995,5.447711246226842,3.402777809185153
10.720526445671403,16.4485288688687,10.950382594928264,Error,Error,Error,3.6047677458992333,3.022135541431608,2.3590753044243944
