PCM_Identifiers,entani論文のPerfectIncorporation,中心総和1のPerfectIncorporation,解の非唯一性考慮のPerfectIncorporation,entani論文のCommonGround,中心総和1のCommonGround,解の非唯一性考慮のCommonGround,entani論文のPartialIncorporation,中心総和1のPartialIncorporation,解の非唯一性考慮のPartialIncorporation
"Any[""Trial-1_PCM-1"", ""Trial-1_PCM-2"", ""Trial-1_PCM-3""]",6.431940188452246,6.72921289638491,6.729212896384917,Error,Error,Error,1.485964311690087,1.8429741878749135,1.6706379906883717
"Any[""Trial-2_PCM-1"", ""Trial-2_PCM-2"", ""Trial-2_PCM-3""]",4.428452070725264,4.5025299084963635,4.502529908496372,Error,Error,Error,0.3827899713141354,0.6530691018952386,0.6530691018952572
"Any[""Trial-3_PCM-1"", ""Trial-3_PCM-2"", ""Trial-3_PCM-3""]",6.978904858834116,7.426011596315596,8.772415861101083,Error,Error,Error,1.4859643116901282,1.8429741878749468,1.8598123985898192
"Any[""Trial-4_PCM-1"", ""Trial-4_PCM-2"", ""Trial-4_PCM-3""]",4.559477261233253,5.021929300715018,5.5688939710968794,Error,Error,Error,0.8630462173553477,0.9475588482554416,0.7539432848427257
"Any[""Trial-5_PCM-1"", ""Trial-5_PCM-2"", ""Trial-5_PCM-3""]",5.375278407684171,5.537480071495009,5.537480071495009,Error,Error,Error,1.362765816832791,1.6959414271502034,1.72309093370996
"Any[""Trial-6_PCM-1"", ""Trial-6_PCM-2"", ""Trial-6_PCM-3""]",3.8055339763905276,3.951904468898829,4.066568107359433,Error,Error,Error,0.863046217355347,0.9475588482554429,0.9475588482554436
"Any[""Trial-7_PCM-1"", ""Trial-7_PCM-2"", ""Trial-7_PCM-3""]",4.928171670202713,5.135150284663551,5.135150284663556,Error,Error,Error,1.06220399553479,1.5478221732982949,1.5478221732982849
"Any[""Trial-8_PCM-1"", ""Trial-8_PCM-2"", ""Trial-8_PCM-3""]",4.928171670202714,5.135150284663551,5.135150284663551,Error,Error,Error,1.0622039955347913,1.5478221732982875,1.5478221732982889
"Any[""Trial-9_PCM-1"", ""Trial-9_PCM-2"", ""Trial-9_PCM-3""]",2.0794415416798575,2.0794415416798375,2.0794415416798353,2.0794415416798375,2.079441541679835,2.079441541679831,6.661338147750939e-16,0.0,0.0
"Any[""Trial-10_PCM-1"", ""Trial-10_PCM-2"", ""Trial-10_PCM-3""]",3.795556465481777,3.9351165123864678,3.935116512386468,Error,Error,Error,0.6933351628901505,0.9621716389592487,0.9621716389592434
