Trial,entani論文のPerfectIncorporation_wᴸ,entani論文のPerfectIncorporation_wᵁ,中心総和1のPerfectIncorporation_wᴸ,中心総和1のPerfectIncorporation_wᵁ,解の非唯一性考慮のPerfectIncorporation_wᴸ,解の非唯一性考慮のPerfectIncorporation_wᵁ,entani論文のCommonGround_wᴸ,entani論文のCommonGround_wᵁ,中心総和1のCommonGround_wᴸ,中心総和1のCommonGround_wᵁ,解の非唯一性考慮のCommonGround_wᴸ,解の非唯一性考慮のCommonGround_wᵁ,entani論文のPartialIncorporation_wᴸ,entani論文のPartialIncorporation_wᵁ,中心総和1のPartialIncorporation_wᴸ,中心総和1のPartialIncorporation_wᵁ,解の非唯一性考慮のPartialIncorporation_wᴸ,解の非唯一性考慮のPartialIncorporation_wᵁ
11,"[0.31999998400000057, 0.1739129334782628, 0.13043487260869394, 0.08695658173912929, 0.03225806266427736]","[0.38709675197133286, 0.3199999840000001, 0.1935483759856667, 0.19354837598566432, 0.17391293347826267]","[0.31999999399999984, 0.18181816848484822, 0.13636365386363747, 0.053548424153272954, 0.032258063880535745]","[0.387096766566428, 0.3199999940000026, 0.19354838328321375, 0.1935483832832139, 0.18181816848484766]","[0.31013845711543264, 0.18460621574331318, 0.13845468930748395, 0.09045706249200267, 0.03126395609932107]","[0.3751674731918504, 0.3101384571154321, 0.1875837365959264, 0.18758373659592495, 0.18460621574331307]",E,r,E,r,E,r,"[0.3199999839999999, 0.22795701443249775, 0.1686021743894863, 0.15139785961051397, 0.03999999799999999]","[0.38709675197132554, 0.3199999839999999, 0.19354837598566277, 0.17391293347825865, 0.043478290869565825]","[0.3200000050526317, 0.22795701102697263, 0.18181817581818188, 0.13272728591148325, 0.04545454395454547]","[0.38709676656642983, 0.3199999892631577, 0.19354838328321491, 0.14594329516883714, 0.04545454395454547]","[0.31999998799999996, 0.22795701551849853, 0.1686022008088213, 0.14647548245095704, 0.04492234074022191]","[0.38709677419354843, 0.31999998799999996, 0.19354838709677422, 0.14647548245095704, 0.04492234074022191]"
12,"[0.2500000150000041, 0.1764705862352972, 0.10526316289473839, 0.10526316289473885, 0.052631581447367626]","[0.3529411724705933, 0.3157894886842165, 0.2500000150000019, 0.18749998124999928, 0.15789469684209714]","[0.2500000150000008, 0.17647068823528198, 0.10526316289473771, 0.10526316289473776, 0.052631581447371095]","[0.35294137647056395, 0.3412019916318741, 0.25000001499999774, 0.20833328583333385, 0.15789472059210097]","[0.2532175061046409, 0.17874174596357062, 0.10661789217563877, 0.1066178921756387, 0.05330894608781933]","[0.3574834919271414, 0.3198536765269161, 0.2532175061046409, 0.21101452842053608, 0.1599268145134578]",E,r,E,r,E,r,"[0.25000001499999874, 0.23529412935437585, 0.15789469684210258, 0.15789474434210576, 0.05263167644737493]","[0.3529411691535151, 0.31578939368420517, 0.22916665041666798, 0.18749998125000158, 0.08333333833333291]","[0.2500000149999996, 0.235293797647053, 0.1578947205921048, 0.12925722969427683, 0.05882387441177084]","[0.3529409514705842, 0.3157894411842096, 0.20833328583333477, 0.20833328583333477, 0.08333339833333131]","[0.24722544595469736, 0.2326827502118342, 0.15001916512019287, 0.15614237189005256, 0.05817068755295855]","[0.3490241092217984, 0.31228469680727566, 0.20602114562814555, 0.20602114562814544, 0.08240848198489913]"
13,"[0.2372881437750378, 0.1694915370146371, 0.10000001651685561, 0.09039547568053517, 0.028571428796147512]","[0.39999997168539264, 0.2711864270416055, 0.23728814377503749, 0.19999998584269557, 0.11864407188751874]","[0.2753622355072436, 0.1376811944202913, 0.10857142180672294, 0.043229984939109914, 0.02285715226890751]","[0.43428568722689087, 0.3478261269565228, 0.2753622355072436, 0.21714284361344555, 0.1376811177536218]","[0.2703911889623281, 0.13519559448116353, 0.10661135280155806, 0.07855577156894826, 0.022444506162556672]","[0.42644541120623314, 0.341546685770604, 0.27039118896232794, 0.21322270560311632, 0.13519559448116394]",E,r,E,r,E,r,"[0.33898306151412383, 0.20000003303370753, 0.19354840534002127, 0.13559324033898204, 0.06451612882955532]","[0.39999997168539353, 0.2203389663841816, 0.23728811159322155, 0.13559324033898204, 0.06779662016949102]","[0.2753623888405808, 0.21714284361344557, 0.16000006588235194, 0.15631333752830548, 0.0322580657490058]","[0.43428568722689115, 0.27021963100278784, 0.19354838493923981, 0.17391306347826122, 0.08695653173913061]","[0.27536238884058073, 0.21714283243697657, 0.155760386090061, 0.16995396550657288, 0.022857151092436374]","[0.43428566487395315, 0.274178734316942, 0.19354837959677387, 0.16995396550657288, 0.0869565317391306]"
14,"[0.2666666966666707, 0.10526316575187966, 0.16129031258064536, 0.1052631521804512, 0.03225807284946216]","[0.322580625161291, 0.3225806251612907, 0.3157894565413536, 0.16129031258064544, 0.13333334833333532]","[0.26666669666666676, 0.10526316122806986, 0.1612903241009156, 0.10526316122806985, 0.03225806482018306]","[0.3225806482018312, 0.3962647907776977, 0.31578948368420956, 0.1612903209590235, 0.13333334833333338]","[0.27686706396478594, 0.10928962652745282, 0.16745988957547378, 0.10928961295602418, 0.03349198824842928]","[0.3349197791509472, 0.33491977915094756, 0.32786883886807255, 0.16745988957547356, 0.13843353198239294]",E,r,E,r,E,r,"[0.3111111431111121, 0.21052631114661655, 0.16129036424731089, 0.13333332133333295, 0.0783625817422724]","[0.32258062516129077, 0.27647611626848045, 0.2666666426666659, 0.16129031258064538, 0.0783625817422724]","[0.31111113411111085, 0.2222222097222223, 0.16129036424731402, 0.13333333033333336, 0.06549710485672475]","[0.32258062516128927, 0.28934159315402747, 0.2666666606666667, 0.16129031258064463, 0.06666666516666668]","[0.31129317430489667, 0.22118200262620055, 0.1613847363100628, 0.13341134755171843, 0.06670567377585922]","[0.32276936922632515, 0.2883406427124784, 0.26682269510343687, 0.16138468461316258, 0.06670567377585922]"
15,"[0.266666536666664, 0.20000000750000063, 0.1000000037500008, 0.10000000375000045, 0.03333333458333352]","[0.40000001500000126, 0.20000000750000113, 0.2000000075000009, 0.266666536666664, 0.16666663541666468]","[0.26666667241666653, 0.20000000150000014, 0.10638294372340433, 0.08510654297872333, 0.03333333628787863]","[0.42553177489361727, 0.2496453796618317, 0.2000000014999998, 0.26666667241666653, 0.16666667462121185]","[0.2716763441561272, 0.2037572553898225, 0.10838145795397987, 0.0867053543631469, 0.03395954291724321]","[0.43352583181591725, 0.21676291590796049, 0.20375725750345908, 0.27167634415612707, 0.16979769583621657]","[0.39999998031249845, 0.19999999249999992, 0.19999999249999992, 0.10000000374999997, 0.06666666416666686]","[0.39999998499999984, 0.2000000075000001, 0.2000000075000001, 0.13333337052083488, 0.09999999624999996]",E,r,E,r,"[0.3999999711999971, 0.2000000075000001, 0.2000000075000001, 0.1333333571333359, 0.06666665666666677]","[0.3999999711999971, 0.2000000075000001, 0.2000000075000001, 0.1333333571333359, 0.06666665666666677]","[0.3999999939037431, 0.2000000177272727, 0.170213085957426, 0.13333333695632799, 0.058155914745806614]","[0.4255317748936262, 0.2127658874468131, 0.19999999045454556, 0.13333333695632799, 0.0666666609581105]","[0.40000002250000016, 0.20000001125000008, 0.1617025326594681, 0.13333328489583307, 0.0666666701041666]","[0.42553167489368815, 0.21276583744684407, 0.20000001125000008, 0.13333328489583307, 0.0666666701041666]"
16,"[0.23999999562499877, 0.12500002911764618, 0.12500000088235297, 0.09756098213149517, 0.040000001875001696]","[0.3902438750477221, 0.26666664791666267, 0.2499999735294128, 0.24999995941176625, 0.1249999797058829]","[0.23448289528734562, 0.1363636613636363, 0.13333334509803846, 0.10344825086207085, 0.024033434395170583]","[0.4137930034482837, 0.27272725987013013, 0.2727272598701295, 0.27272725987013, 0.136363629935065]","[0.24256133527981388, 0.1293065146826007, 0.12930648325403069, 0.10701226850579842, 0.041378079030575436]","[0.42804907402319353, 0.27585382895383515, 0.2586129665080609, 0.2586129665080609, 0.12930648325403046]",E,r,E,r,E,r,"[0.23999997999999792, 0.1951219766041259, 0.1951219450656665, 0.23999997999999792, 0.0848781149343398]","[0.2809755320637848, 0.23999997999999792, 0.1951219450656665, 0.24390243133208306, 0.0848781149343398]","[0.23999999470588212, 0.20689650172413676, 0.20689650172413673, 0.2225706500582192, 0.07310351415821714]","[0.27272725987013047, 0.23999999470588212, 0.20689650172413673, 0.23999999470588212, 0.09090908662337682]","[0.23999998941176448, 0.20689655172413796, 0.1966667038331586, 0.23448295195407395, 0.08333332793154795]","[0.2683906166661023, 0.23999998941176448, 0.20689655172413793, 0.23999998941176448, 0.08333332793154795]"
17,"[0.27272724272725707, 0.16666672666665588, 0.15151517151515917, 0.06349207942956178, 0.027777767777779915]","[0.38095235845238307, 0.3055555655555513, 0.27272724272725324, 0.19047617922620194, 0.18518518737268383]","[0.2727272977272722, 0.16666667212121222, 0.1515151348484849, 0.06030547701944978, 1.0e-8]","[0.38095235845238185, 0.31944442217171654, 0.2727272610606062, 0.1904761792261912, 0.1851851873726849]","[0.2685692292688177, 0.16412565101781218, 0.1492051430858486, 0.06252406931225128, 0.027354275169635466]","[0.37514429774850616, 0.3145741317235343, 0.2685692292688162, 0.18757214887425347, 0.18236182453052427]",E,r,E,r,E,r,"[0.30303034303030746, 0.19047619047619047, 0.1666666824561409, 0.1363636213636347, 0.09740260240259807]","[0.37037035037037014, 0.2727272427272694, 0.19047619047619047, 0.15277777330409345, 0.09740260240259807]","[0.303030327316016, 0.19047621115186625, 0.16666667212121222, 0.1363636331493508, 0.10508355766386564]","[0.370370377937938, 0.2727272662987017, 0.1904761856113256, 0.15972221108585838, 0.10508355766386564]","[0.3008551382691619, 0.1891089449688678, 0.1654703197171888, 0.1353847981797854, 0.11150738551952255]","[0.36771180503858963, 0.2707695963595708, 0.18910891961166085, 0.15857570681612934, 0.11150738551952255]"
18,"[0.23655916645160763, 0.19047619904762034, 0.16129031258064397, 0.09523809952380746, 0.032258066640022134]","[0.3870967667599293, 0.32258062516128794, 0.19354838337996527, 0.1935483833799529, 0.17460313746032236]","[0.23655916645161407, 0.19047619904761937, 0.16129031258064475, 0.09523809952380975, 0.03225806656836773]","[0.38709677105921986, 0.335381453749187, 0.19354838552961037, 0.19354838552961, 0.1746031599603167]","[0.2380829956295054, 0.19170318267137718, 0.16232928702011687, 0.0958515913356888, 0.0324658611950684]","[0.389590306579624, 0.32465857404023446, 0.19479515328981173, 0.19479515328981212, 0.1757278949487614]",E,r,E,r,E,r,"[0.3225806251612913, 0.1904761990476193, 0.16129036424730978, 0.16129031258064566, 0.032258072849461916]","[0.38709674358130264, 0.3225806251612913, 0.19354839077024366, 0.1746031374603162, 0.06349206634920644]","[0.32258062516128955, 0.19047619904761945, 0.1612903642473135, 0.15207376202693035, 0.03225807284946269]","[0.3870967554435488, 0.32258062516128955, 0.1935483922530241, 0.17460313746031567, 0.06349206634920648]","[0.32110090698335264, 0.1896024648674985, 0.16055050492134293, 0.16055045349167632, 0.032110100984268614]","[0.38532108893994443, 0.32110090698335264, 0.19266055893456505, 0.17380219227149962, 0.06320082162249949]"
19,"[0.3000000085714304, 0.15000000428571555, 0.15000000428571103, 0.09756098132404473, 0.05000000142857416]","[0.39024386672474365, 0.3007518532286569, 0.31578946544891384, 0.18292683998257805, 0.12195122665505106]","[0.279613236711882, 0.15384615813186764, 0.15037592661432989, 0.09756098132404181, 1.0e-8]","[0.39024386672473693, 0.30769228840659313, 0.31578946544891645, 0.1829268399825788, 0.12195122665505251]","[0.300615375567058, 0.15030768778352943, 0.14315018969859813, 0.09287304857240133, 0.050102562594509306]","[0.37149213571817646, 0.30061534770991666, 0.300615375567058, 0.1741369660732515, 0.11609131071550187]",E,r,E,r,E,r,"[0.30000004666666497, 0.1951219528861788, 0.1951219528861788, 0.14999999000000036, 0.07518797684788872]","[0.36585363603658616, 0.26887027294435945, 0.1951219528861788, 0.1578947206882597, 0.08600773750279644]","[0.3076923410256408, 0.1951219626480838, 0.1951219626480838, 0.15384614884615389, 0.075187984924812]","[0.36585367996515716, 0.2681515625553095, 0.1951219626480838, 0.1687144098138632, 0.07518798492481205]","[0.3157895130909588, 0.1951219638561898, 0.1951219638561898, 0.15789473430863696, 0.07518796377269452]","[0.3766733490624889, 0.25600581877997686, 0.1951219638561898, 0.15789475326089386, 0.07518797615578071]"
20,"[0.38227148843816106, 0.19230758230771783, 0.09615392115382884, 0.09615392115382866, 0.032258065128373405]","[0.3878116018490342, 0.19390582746863172, 0.19390582746863153, 0.19354837179065104, 0.192307582307718]","[0.38227148843816244, 0.1935483922530242, 0.09803923381127491, 0.09677419612651195, 0.032258065375503985]","[0.3921568502450979, 0.21671649838277798, 0.19607842512254875, 0.19607842512254905, 0.19607842512254903]","[0.3892098524164532, 0.197061367101911, 0.09853070480095595, 0.09853068355095601, 0.03284356118365195]","[0.39485052182700564, 0.19742528745762114, 0.1974252874576215, 0.19706136710191174, 0.1970613671019117]",E,r,E,r,E,r,"[0.3846151646153777, 0.192307842307697, 0.192307842307697, 0.18879206804186374, 0.03701440683634627]","[0.38709674358130264, 0.193905800924516, 0.193905800924516, 0.19198798527550176, 0.03878116549372648]","[0.3870967845060481, 0.19354839225302403, 0.186315723565941, 0.18623333020856936, 0.03885828343635178]","[0.39215683607843094, 0.19607841803921544, 0.19390580092451537, 0.1865907388800606, 0.03921569210784323]","[0.38709677239354845, 0.1935483954967741, 0.1935483954967741, 0.18631046026369447, 0.03878116549372656]","[0.38709677239354845, 0.19390580092451543, 0.19390580092451543, 0.18702527111917677, 0.03878116549372656]"
