Trial,entani論文のPerfectIncorporation_wᴸ,entani論文のPerfectIncorporation_wᵁ,中心総和1のPerfectIncorporation_wᴸ,中心総和1のPerfectIncorporation_wᵁ,解の非唯一性考慮のPerfectIncorporation_wᴸ,解の非唯一性考慮のPerfectIncorporation_wᵁ,entani論文のCommonGround_wᴸ,entani論文のCommonGround_wᵁ,中心総和1のCommonGround_wᴸ,中心総和1のCommonGround_wᵁ,解の非唯一性考慮のCommonGround_wᴸ,解の非唯一性考慮のCommonGround_wᵁ,entani論文のPartialIncorporation_wᴸ,entani論文のPartialIncorporation_wᵁ,中心総和1のPartialIncorporation_wᴸ,中心総和1のPartialIncorporation_wᵁ,解の非唯一性考慮のPartialIncorporation_wᴸ,解の非唯一性考慮のPartialIncorporation_wᵁ
109,"[0.2999999654545372, 0.15000001848484718, 0.14999999727272462, 0.0985223508211255, 0.0394089403284502]","[0.3842361532017923, 0.2999999945454527, 0.2999999654545372, 0.19211807660089583, 0.14999999727273092]","[0.2999999964285721, 0.15384617051282018, 0.15000000107142816, 0.05441458335805091, 1.0e-8]","[0.38423643002015134, 0.30769229769230744, 0.30769229769230805, 0.19211821501007587, 0.14999999821428583]","[0.29065744185907527, 0.14532874259620385, 0.14532872092953766, 0.0954540272525699, 0.03818161090102802]","[0.3722705678759319, 0.2906574418590753, 0.29065744185907527, 0.18613528393796563, 0.14532872092953764]",E,r,E,r,E,r,"[0.3, 0.19211823950222046, 0.19704432571610975, 0.15, 0.05295568428388986]","[0.3842364539427112, 0.2999999900000003, 0.19704432571610975, 0.17364529655506872, 0.05295568428388986]","[0.3000000013636363, 0.19211823950222034, 0.1970443257161098, 0.15000000068181815, 0.05295567996570827]","[0.3842364539427112, 0.2999999922727275, 0.1970443257161098, 0.17364530087325036, 0.05295567996570827]","[0.3, 0.19211823950221946, 0.1684729295071949, 0.1499999936625001, 0.08152708592121383]","[0.38423645394271116, 0.29999999090909124, 0.19211822697135558, 0.1499999936625001, 0.08152708592121383]"
110,"[0.25000002999999926, 0.1538461561538463, 0.10526316289473689, 0.10526316289473768, 0.04166666666666677]","[0.33333330333333344, 0.3157894886842118, 0.30769228230769163, 0.1578947443421053, 0.15789469684210294]","[0.2526316222807058, 0.15584416384415575, 0.10526316289473696, 0.10526316289473699, 0.042105259824561064]","[0.3789473384210499, 0.33246751921753137, 0.3116883056883117, 0.15789474434210546, 0.1578947205921049]","[0.2573140554445322, 0.15504818617170135, 0.10608559893326952, 0.10608559893326958, 0.042885675907421685]","[0.3859709644167857, 0.3182567967998086, 0.31009635034340327, 0.1591283983999043, 0.1591283746499037]",E,r,E,r,E,r,"[0.3076923261538469, 0.25000002999999976, 0.15789469684210258, 0.12500000000000003, 0.07692308153846172]","[0.33333330333333355, 0.31578939368420517, 0.21474358512820488, 0.15384614807692285, 0.07692308153846172]","[0.3116883209190807, 0.25263160644737037, 0.15789472059210483, 0.12631580322368519, 0.05878337165275638]","[0.3727955732156645, 0.31578944118420965, 0.18947364546052356, 0.15584414565184834, 0.05878337165275638]","[0.3116883359153847, 0.2520033729125961, 0.15584414451613246, 0.12600168645629806, 0.07792208397884617]","[0.3420833796025382, 0.3116882890322649, 0.1890024704570936, 0.15584415314999958, 0.07792208397884617]"
111,"[0.20979021440559514, 0.15384617923077235, 0.11494254335101706, 0.09767442006806566, 0.04195805388112034]","[0.41379307575596774, 0.25174832328672203, 0.2237761406992901, 0.20979021440559514, 0.1209302193874077]","[0.31168825946608836, 0.15584417251082328, 0.11494254016420317, 1.0e-8, 0.01761464132283618]","[0.41379309487684773, 0.31168834502164533, 0.20689654743842367, 0.31168825946608836, 0.15584412973304418]","[0.29646460874864106, 0.14823230437432006, 0.10790857327924337, 0.07411615218716075, 0.049410746735883644]","[0.38847081409099204, 0.2964644804153007, 0.19423540704549644, 0.29646460874864106, 0.14823230437432053]",E,r,E,r,E,r,"[0.3076923584615448, 0.19534884887596848, 0.19534883329625902, 0.114996040443795, 0.06896551262599461]","[0.41379307575596763, 0.21820308121060666, 0.19534883329625902, 0.20979021440559498, 0.06896551262599461]","[0.3116883450216463, 0.19534884887596918, 0.15584417251082314, 0.12654372141951797, 0.06896551581280792]","[0.4137930948768475, 0.20689654743842376, 0.19534881901485754, 0.25660541921629887, 0.06896551581280792]","[0.31175135690750627, 0.1928508174736581, 0.15587567845375314, 0.13616723009139223, 0.08241701510498309]","[0.4085016902741767, 0.20425084513708835, 0.1928507879943966, 0.2329175634580626, 0.08241701510498309]"
112,"[0.22222222991453014, 0.12500000444444473, 0.187500006666667, 0.09375000333333353, 0.03846154664335662]","[0.38461532461538667, 0.26666666205128253, 0.2666666620512823, 0.19230766230769322, 0.18749997111110966]","[0.22222223743961383, 0.12698412365079367, 0.19047618547619052, 0.09523811023809554, 0.03846154664335631]","[0.38461532461538694, 0.29255196661644794, 0.266666657536232, 0.1923076623076934, 0.1904761854761903]","[0.2244766229001351, 0.1295057012015824, 0.19425857280237435, 0.09712928640118727, 0.03885172874229301]","[0.38851710360474706, 0.26937193965407513, 0.26937192008885735, 0.19425857280237435, 0.19425855180237306]",E,r,E,r,E,r,"[0.2666666575362319, 0.18750003714285857, 0.1874999914285711, 0.1333333385507246, 0.06666668884057958]","[0.3749999828571422, 0.2666666575362319, 0.2666666575362319, 0.18333329973084855, 0.06666668884057958]","[0.2666666575362317, 0.1904762204761914, 0.19047618547619036, 0.13333333855072474, 0.06666668884058014]","[0.3809523709523806, 0.2666666575362317, 0.2666666575362317, 0.17142853425465737, 0.06666668884058014]","[0.2666666527617579, 0.19230772977365168, 0.192307694437111, 0.13333333616348753, 0.06666668764696093]","[0.384615388874222, 0.2666666527617579, 0.2666666527617579, 0.16410251717233215, 0.06666668764696093]"
113,"[0.2388059840966192, 0.16666667477477481, 0.1388888794294292, 0.08695657173913113, 0.04347824753623193]","[0.33333334954954963, 0.3043478094202894, 0.24999996351351342, 0.23880596646504396, 0.15217390471014453]","[0.23880595764925855, 0.18867875028301184, 0.11320799216981901, 0.08695657173912938, 0.016646237888530074]","[0.37735750056602163, 0.30434780942029105, 0.2830193179245356, 0.23880595764925855, 0.15217390471014505]","[0.23564457230811084, 0.18618093672366215, 0.11170930403425539, 0.08580540549005308, 0.042902664411693416]","[0.37236187344732424, 0.30031872754852085, 0.2792725975855864, 0.23564455467653367, 0.1501593637742601]",E,r,E,r,E,r,"[0.26865701641784834, 0.23880579014929101, 0.17391314347825865, 0.16666667927170842, 0.05072455840945256]","[0.3043478094202902, 0.3043478094202902, 0.238805790149291, 0.20300684487411702, 0.05072455840945256]","[0.26865676516790565, 0.22641598433968912, 0.17391314347825965, 0.17261511015317588, 0.04477612752798427]","[0.3043478094202901, 0.3049100466729277, 0.23880595764925494, 0.20895519200560014, 0.05660386358491239]","[0.27033147766607385, 0.2278273730142434, 0.1617898139769952, 0.1749970956923538, 0.056956709927597715]","[0.30624499460619437, 0.30624499460619437, 0.24029459063291408, 0.19835623994983553, 0.056956709927597715]"
114,"[0.30769228115385217, 0.1538461630769217, 0.13333333063063013, 0.09756097960975661, 0.04000000121621539]","[0.3999999918918904, 0.3076922961538478, 0.19512195921951322, 0.3076922811538522, 0.17073167331707162]","[0.2240312596103594, 0.15584416384415656, 0.13333333063063, 0.09756097960975568, 1.0e-8]","[0.39999999189188995, 0.31168830568831135, 0.1951219592195128, 0.3116883056883114, 0.17073169381707315]","[0.29485326224052977, 0.14742663112026488, 0.12449359493560677, 0.09109287832071411, 0.03734808050770892]","[0.37348078480682034, 0.294853232625147, 0.1821857566414283, 0.29485326224052977, 0.15941251656125005]",E,r,E,r,E,r,"[0.3076923261538463, 0.19512194660412763, 0.15384614807692293, 0.17073172693245753, 0.06436528087449728]","[0.39999993333334544, 0.19512194660412763, 0.19512194660412763, 0.27897429829060594, 0.06436528087449728]","[0.3116883069824295, 0.1941464225745192, 0.15584417613827278, 0.1707317120392952, 0.03999999333333389]","[0.39999993333333894, 0.1951219501084011, 0.19512193871951267, 0.285397508058139, 0.051948058712757594]","[0.31246297351969005, 0.19306653667161916, 0.1562314787190777, 0.1689332429923432, 0.05968131624340023]","[0.3957863435742938, 0.19306653667161916, 0.19306653667161916, 0.26802371869293723, 0.05968131624340023]"
115,"[0.34146343546748065, 0.1818181761038926, 0.1818181761038926, 0.09090910376623611, 0.04878049322154519]","[0.39024387743902517, 0.19512197288618074, 0.19512193871951247, 0.18181817610389242, 0.1818181761038926]","[0.3414634354674805, 0.18181818396103855, 0.18181818396103858, 0.09090909198052007, 0.048780493221545686]","[0.39024387743902345, 0.20620843518490872, 0.19512193871950992, 0.18181818396103902, 0.18181817610389586]","[0.34336679676514276, 0.18283165741174304, 0.18283165741174304, 0.09141584245587098, 0.04905240197835367]","[0.3924191474934973, 0.19620960791341469, 0.19620957374674863, 0.1828316574117429, 0.1828316574117429]",E,r,E,r,E,r,"[0.36363635220779206, 0.18181817610389603, 0.18181820753246797, 0.17073171773374007, 0.07538805261944403]","[0.36363635220779206, 0.19512193871951194, 0.19512193871951194, 0.1818181761038959, 0.09090908805194801]","[0.3437862828034251, 0.18181817806818196, 0.18181820556818096, 0.17073171773373963, 0.09523812202381032]","[0.3636363561363639, 0.1951219387195125, 0.1951219387195125, 0.1774891382034628, 0.09523812202381032]","[0.36363635863636373, 0.18181817931818187, 0.18181820681818117, 0.17073171431707296, 0.07538804960753787]","[0.36363635863636373, 0.1951219387195126, 0.1951219387195126, 0.1818181655681823, 0.09090908965909093]"
116,"[0.2608696052174007, 0.2608694902173742, 0.15789472934210255, 0.09259259852479618, 0.05263157644736757]","[0.3157894586842055, 0.3157894586842051, 0.26984125967177985, 0.16304338826084908, 0.08994708655725984]","[0.2608695698327774, 0.260869569832774, 0.15789474089615987, 0.09259259912244315, 0.05263158029871974]","[0.31578948179231975, 0.33652063742586397, 0.26984126469201675, 0.16304346787625365, 0.08994708823067182]","[0.26360201588415805, 0.2636019008841581, 0.15954855854448663, 0.09356243493585074, 0.05318285284816212]","[0.3190971170889719, 0.31909711708897326, 0.2726676433482299, 0.16475114492759824, 0.09088921444941]",E,r,E,r,E,r,"[0.2608696052173929, 0.2608696052173929, 0.1929824786403509, 0.12280702754385969, 0.052631576447368426]","[0.3157894586842105, 0.3157894586842105, 0.26984125549344307, 0.1618356299335702, 0.055555554414251154]","[0.2518979549413389, 0.2608696052173914, 0.1929824771080928, 0.12280700915676296, 0.05263157797962648]","[0.3157894678777589, 0.3157894678777589, 0.2698412554934436, 0.1618356299335747, 0.05555555441425121]","[0.2597046157237166, 0.2597046157237166, 0.18006113804760343, 0.13431811046205822, 0.05239653531661585]","[0.3143792118996951, 0.3143792118996951, 0.268636200472381, 0.16111290561152158, 0.055307454842996276]"
117,"[0.27027026402026966, 0.1904761990476185, 0.1500000174999989, 0.09523809952380997, 0.04999999750000003]","[0.380952398095237, 0.3063062838063091, 0.2702702640202722, 0.19999999000000013, 0.17460313746031622]","[0.2702702640202704, 0.18750006999999985, 0.153153165028153, 0.03200070637575142, 1.0e-8]","[0.38095235309523723, 0.3437499150000001, 0.2702702640202704, 0.18750006999999985, 0.17460318246031772]","[0.2563474624535488, 0.17784115207714773, 0.14526357747367738, 0.0889205760385737, 0.044460288019286906]","[0.3613278239821447, 0.326041898808108, 0.2563474624535488, 0.17784115207714762, 0.16560860661681662]",E,r,E,r,E,r,"[0.27027028714526974, 0.19047619904761912, 0.19047619904761912, 0.13513514357263487, 0.10000001285714322]","[0.34920627492063444, 0.27027028714526974, 0.19210632971799985, 0.13762337456530155, 0.13221795241882583]","[0.27027028714526996, 0.1904762011904765, 0.18750007000000002, 0.13513514357263498, 0.09375003500000001]","[0.38095237238095214, 0.3063062838063067, 0.1945382504757884, 0.1473213214285714, 0.09375003500000001]","[0.27621924106940055, 0.19466880080398488, 0.19162719005772266, 0.1381096128696169, 0.09581359502886133]","[0.35776966600464954, 0.2762192257392338, 0.19466880080398488, 0.1381096128696169, 0.13679425475292895]"
118,"[0.3076924276923193, 0.12903225446091254, 0.15384621384615965, 0.07692310692307983, 0.04838709542284215]","[0.38709676338273763, 0.3076924276923193, 0.24999994000002376, 0.19354838169136798, 0.16666668666665874]","[0.3076922976923093, 0.13223140356978863, 0.15384614884615452, 0.076923106923071, 0.0010417293186978371]","[0.3966942107093659, 0.3076922976923093, 0.2553188789361738, 0.1983471053546834, 0.17021282095744614]","[0.30451252824473407, 0.12769874913399537, 0.15225626412236704, 0.07612813206118335, 0.047887030925248264]","[0.3830962474019861, 0.30451252824473407, 0.2474160966988601, 0.19154812370099306, 0.16494429946589861]",E,r,E,r,E,r,"[0.3076924276923263, 0.16666668666666473, 0.15384621384616315, 0.16666668666666473, 0.0641025041025598]","[0.38709675080004624, 0.307692167692286, 0.2499999400000058, 0.16666668666666473, 0.08333331333333528]","[0.3076924276922966, 0.17021282095744467, 0.1538462138461483, 0.12491385382229842, 0.04958677542909174]","[0.3966942034327339, 0.3076921676923205, 0.23404242319149426, 0.17021282095744467, 0.0851062929787269]","[0.3017671380934135, 0.17056399877000916, 0.15088356904670674, 0.16974372831029438, 0.056581497763209976]","[0.37964236491216563, 0.30176688310030175, 0.189821191409601, 0.17056399877000916, 0.10866562982428862]"
119,"[0.2727272610606045, 0.18181815781818184, 0.09090912290909088, 0.09090913090909118, 0.04545454678787879]","[0.3636363036363628, 0.3030302696969649, 0.2727272610606045, 0.1818181518181814, 0.18181815781818195]","[0.2727272610606062, 0.18181817022727276, 0.09090910636363626, 0.09523811023809521, 0.030303094696969585]","[0.380952370952381, 0.3030302696969696, 0.2727272610606062, 0.1904761854761905, 0.18181817022727276]","[0.2748091583975245, 0.18320610383067354, 0.09160307316533708, 0.09160306941533611, 0.045801532510698705]","[0.366412207661347, 0.30534348896021185, 0.2748091583975245, 0.18320610383067346, 0.18320610383067346]",E,r,E,r,E,r,"[0.27272728072727265, 0.18181824581818126, 0.1818182618181802, 0.13636365736364026, 0.12121210121212161]","[0.36363630363636484, 0.27272728072727265, 0.19696967996969278, 0.13636365736364026, 0.12121210121212161]","[0.2727272977272731, 0.19047622797619024, 0.19047618547619052, 0.13636364886363656, 0.10173156673160172]","[0.38095237095238116, 0.29870130120129806, 0.19047618547619052, 0.13636364886363656, 0.10173156673160172]","[0.27272729210273405, 0.18506496264658523, 0.18506495485877328, 0.13636364605136703, 0.1233766142666457]","[0.3701298427999371, 0.2824674720971716, 0.18506495485877328, 0.13636364605136703, 0.1233766142666457]"
120,"[0.20895523104477642, 0.14925374074626865, 0.19047616647618945, 0.0952381462380974, 0.038781165493726254]","[0.38781160184903185, 0.23880596119402886, 0.2388059611940302, 0.20895523104477604, 0.17460317360317454]","[0.22988505032840506, 0.1379310509113315, 0.19047619254515624, 0.09523809627257881, 0.0024456677185663972]","[0.3878116018490309, 0.27586206039408817, 0.27586206039409084, 0.22988505032840564, 0.17460316925834626]","[0.22244237958669985, 0.13346534075201597, 0.1906647899314513, 0.09533245796573041, 0.03881956943821953]","[0.3881956412939532, 0.26693068150403243, 0.2669306815040306, 0.222442379586701, 0.1747760784371654]",E,r,E,r,E,r,"[0.2993197478911557, 0.19047667047620562, 0.19047604047618574, 0.19047604047618574, 0.039440889425105596]","[0.3822714301158754, 0.20408149265305822, 0.24489795918367346, 0.2040816326530612, 0.047619167619051404]","[0.27586210182266235, 0.1904766704761859, 0.19047604047619193, 0.19047604047619193, 0.039440869236615606]","[0.3822714884381617, 0.19569340381947337, 0.27586206039408806, 0.21182215724138242, 0.04761916761904648]","[0.28620506809536983, 0.1908038309001082, 0.1908031998180321, 0.1908028262693645, 0.039508995660479745]","[0.3829280272327462, 0.19423886936733667, 0.28620502511350393, 0.19080319981803173, 0.04770095772502705]"
121,"[0.2666666780952378, 0.19718312671654814, 0.10000001105263195, 0.10000001105263186, 0.037558687633509114]","[0.3999999742857141, 0.28169012397007126, 0.22535212580105501, 0.26666667809523803, 0.09999999357142858]","[0.26666665546666585, 0.18556705230927684, 0.10169492841213243, 0.09278352615463824, 0.02424137807237988]","[0.4067796515432645, 0.3505154139175276, 0.20338982577163314, 0.2666666554666657, 0.10169491288581632]","[0.2675862060594916, 0.18620694727078047, 0.10034483500586189, 0.09310347363539079, 0.03103449121179675]","[0.4013792779181851, 0.35172410440036306, 0.2006896389590925, 0.2675862060594916, 0.10034481947954631]",E,r,E,r,E,r,"[0.28169022751173584, 0.1999999854054057, 0.1887324914833127, 0.14460088509326305, 0.06666666720720718]","[0.3999999708108114, 0.28169022751173584, 0.22535199267605804, 0.14460088509326305, 0.06666666720720718]","[0.34776638966041634, 0.2000000016363636, 0.18556719780927086, 0.12930273320985908, 0.06666666812121212]","[0.4067796360169492, 0.2105538146694293, 0.19999998527272728, 0.18556695530928058, 0.0677966182944915]","[0.3480040793342572, 0.1985670578561531, 0.1494370187929675, 0.1815081014244258, 0.06618902900931002]","[0.397134102054615, 0.21289643316673557, 0.1985670479278, 0.1815081014244258, 0.06618902900931002]"
122,"[0.258620701812035, 0.15517242545976995, 0.10344828363984718, 0.06896552439824188, 0.05172414181992348]","[0.4137930893306292, 0.20689657319472565, 0.20689654466531404, 0.3103447864750943, 0.1034482684110884]","[0.25862070965517336, 0.16666667833333365, 0.10344828811206845, 0.0689655322413803, 0.055555559444444604]","[0.41379309444827633, 0.2892720015838798, 0.20689654722413783, 0.33333332166666596, 0.10344826729063983]","[0.27522935819790245, 0.16513763666874284, 0.11009174677916057, 0.07339450518610746, 0.055045878889580846]","[0.44036692911664577, 0.22018351555832338, 0.22018346455832222, 0.33027523833748174, 0.11009172670773273]",E,r,E,r,E,r,"[0.3103448583554383, 0.20689654301446075, 0.20689653458128096, 0.1034483220371832, 0.06896551433815358]","[0.4137930860289215, 0.20689654301446075, 0.20689653458128096, 0.20689654988436385, 0.06896551433815358]","[0.32610841022709414, 0.20689654722413808, 0.19507388097561545, 0.11527096161059094, 0.06502462699187182]","[0.4137930944482761, 0.20689654722413808, 0.20689653458128077, 0.19507388097561548, 0.06896551574137935]","[0.3359451851713748, 0.2056806902983854, 0.1302644604337125, 0.17825662294481495, 0.06464250471583986]","[0.41136140126033693, 0.2056806902983854, 0.2056806902983854, 0.19392751414751958, 0.0685602300994618]"
123,"[0.2499999960526312, 0.19354838709677416, 0.09677419354838658, 0.09677421021505445, 0.027777780777777733]","[0.39999999368421024, 0.19999999684210512, 0.19999999684210448, 0.24999999605263046, 0.12903225806451638]","[0.28333334433333374, 0.19444444900966185, 0.10135136665622851, 0.10000000600000009, 0.027777778429951685]","[0.40540539442979645, 0.26651648811619727, 0.20270269721489817, 0.28333334433333374, 0.13513513147659875]","[0.2947976948871508, 0.2023121408285716, 0.10404624737193588, 0.10404624737193566, 0.028901734404081652]","[0.41618494148774005, 0.2080924947438713, 0.20809249474387104, 0.2947976948871508, 0.1387283092736913]",E,r,E,r,E,r,"[0.38709674086021495, 0.1935484278375151, 0.19354838956590995, 0.17956994780645502, 0.028673856656311697]","[0.3888888768888892, 0.19999998799999794, 0.19999998799999844, 0.1944444384444446, 0.038709677913181986]","[0.3777778057046077, 0.19444444444444445, 0.18888890364498676, 0.16246252199207672, 0.03333333357723578]","[0.4054053325482646, 0.2027026662741323, 0.19999998682926778, 0.1944444294444442, 0.04054057554053957]","[0.3878116246159115, 0.19390581230795575, 0.1883656739934977, 0.1772853534864673, 0.033240999415831675]","[0.3878116246159115, 0.19944597256147092, 0.19944597256147092, 0.19390581230795575, 0.038781154133526896]"
124,"[0.2580645559250587, 0.19354839077023664, 0.13859019566869746, 0.09677419538513218, 0.032258065128377394]","[0.3870967815404733, 0.27718039133738387, 0.2628434886045778, 0.19354837179066656, 0.12903224786043482]","[0.26804121586340024, 0.15584422709414908, 0.1546392096327358, 0.05117499634493116, 0.03225806566612913]","[0.3870967693935471, 0.31168826168831576, 0.3116882616883154, 0.19354838469677443, 0.1340206079317005]","[0.2634550366206829, 0.1512138795749227, 0.15121378332492452, 0.09511836890438774, 0.03170612296812923]","[0.38047345701755025, 0.30242756664984904, 0.30242756664984893, 0.19023672850877515, 0.1317274897809298]",E,r,E,r,E,r,"[0.3225806684265979, 0.19354839077024355, 0.19354839077024355, 0.1290322547992095, 0.06451614239960524]","[0.3870967435813038, 0.2580644659249496, 0.19354839077024355, 0.1290322547992095, 0.09677422007899966]","[0.3092784192654629, 0.19354839225302437, 0.19354839225302437, 0.1340206079317012, 0.06996232920624751]","[0.38709675544354766, 0.2680412158634024, 0.2186974277331858, 0.1558441308441561, 0.06996232920624762]","[0.3083299782605784, 0.19295484344261982, 0.19295484344261982, 0.13360961695352702, 0.0770824469586973]","[0.3859096579118637, 0.26721923390705404, 0.21069203824694804, 0.1541648939173946, 0.0770824469586973]"
125,"[0.22857142714285716, 0.17142858285714288, 0.1000000170270263, 0.10000000081081084, 0.02717391232919254]","[0.3999999708108122, 0.26086957807453404, 0.26086954521739125, 0.22857142714285716, 0.09999999270270302]","[0.2608695722762152, 0.14285719285714352, 0.10169492744173708, 0.10169492744173668, 0.02717391039641931]","[0.40677963601694966, 0.2858064331369914, 0.28571424571428494, 0.2857142457142851, 0.10169490900423742]","[0.2715444282074255, 0.13878941747595358, 0.10409204101321452, 0.10409204101321445, 0.02828587455592039]","[0.4163680903028536, 0.2775786949519012, 0.2775786949519016, 0.27757869495190235, 0.10409202257571372]",E,r,E,r,E,r,"[0.2608696052173897, 0.2000000340540534, 0.20000000162162154, 0.13167700149068462, 0.06832299202282902]","[0.3999999708108114, 0.2608695652173913, 0.2608695652173913, 0.13167700149068462, 0.085714262857143]","[0.26086960521739144, 0.2033898180084746, 0.20338985488347452, 0.11864407279661011, 0.0677966182944915]","[0.4067796360169492, 0.26086956521739135, 0.26086956521739135, 0.14596270086043084, 0.07142856348739501]","[0.2608696052173918, 0.20000002538229203, 0.18260873202613281, 0.15072457590338117, 0.06666668844444434]","[0.3999999782437496, 0.26086956521739135, 0.2608695652173913, 0.15072457590338117, 0.06666668844444436]"
126,"[0.22222218274853708, 0.2222222622222241, 0.14545455212121278, 0.07407408460039012, 0.03703704370370372]","[0.37037028089668306, 0.2962962896296291, 0.2545453745454459, 0.222222182748537, 0.1272726872727236]","[0.23076930362637013, 0.2068968217242587, 0.14545455212121197, 0.06335500672112879, 0.03448280362070987]","[0.38461513461539876, 0.32183892045969736, 0.2545454356565692, 0.23076930362637013, 0.1272727178282846]","[0.22453724647863227, 0.20905220228816704, 0.14696978225498847, 0.07484574882621109, 0.0348420337146947]","[0.37422837270247666, 0.32519173467018764, 0.25719708839067384, 0.22453724647863293, 0.1285985441953354]",E,r,E,r,E,r,"[0.2909091042424248, 0.22222225380117078, 0.22222225380117078, 0.1454545521212124, 0.08686870686868697]","[0.29629628962962923, 0.25454537454545134, 0.22222225380117078, 0.17239049589934224, 0.08686870686868697]","[0.2909091042424222, 0.2307693036263747, 0.20689682172424445, 0.14545455212121117, 0.07957549395982028]","[0.32183892045970697, 0.2771640279523019, 0.20689682172424445, 0.16091946022985348, 0.07957549395982028]","[0.2909091131313106, 0.22222223198325036, 0.1915712314650111, 0.1454545565656553, 0.10344836586206538]","[0.3218387804597821, 0.26861673297595756, 0.1915712314650111, 0.16091939022989105, 0.10344836586206538]"
127,"[0.2999999999999998, 0.17647063323529474, 0.09999999999999981, 0.09375003000000076, 0.03846155846153885]","[0.3846153246153826, 0.2999999999999998, 0.19230766230769147, 0.19230766230769158, 0.17647054823529412]","[0.3000000549999999, 0.17647063323529405, 0.10000001833333334, 0.09615390915384725, 0.03846153246153834]","[0.3846153246153836, 0.31733865847579895, 0.21818165818181856, 0.1923076623076918, 0.17647054823529423]","[0.30262361918584507, 0.17801387393285126, 0.10087453972861503, 0.09699477748264211, 0.03879787979305725]","[0.3879787979305727, 0.30262361918584507, 0.22008970486243454, 0.19398939896528636, 0.1780137889328501]",E,r,E,r,E,r,"[0.30000001499999984, 0.19230779230769307, 0.1764706332352934, 0.14999999500000008, 0.07352936676470656]","[0.3529412664705868, 0.2999999900000001, 0.19230766230769208, 0.18891391214932157, 0.07352936676470657]","[0.30000000000000004, 0.19230779230769424, 0.17647059091073264, 0.15000000000000002, 0.07352941825593373]","[0.3529411641898865, 0.2999999908333337, 0.19230766230769172, 0.1889139629387936, 0.07352941825593373]","[0.30000000000000004, 0.1923077923076943, 0.1764706332352943, 0.15, 0.07352937593137215]","[0.3653845362179475, 0.29999999083333345, 0.19230766230769167, 0.1764706332352943, 0.07352937593137215]"
128,"[0.26086955598662476, 0.1666666866666715, 0.08333334333333584, 0.09375000409090925, 0.05555556222222303]","[0.37499997272727537, 0.26086955598662476, 0.27777773111110693, 0.33333325333332087, 0.17708334106060516]","[0.22083341578787125, 0.17142859142857456, 0.08571429571428402, 0.09375000409090911, 1.0e-8]","[0.37499997272727315, 0.26666662466667657, 0.26666661999999725, 0.34285712452380823, 0.17708334106060591]","[0.2578862745673983, 0.1620999511566515, 0.08104997557832597, 0.08864840394220258, 0.05403331705221734]","[0.3545935721324472, 0.2578862745673985, 0.2521554017992321, 0.3241998439799669, 0.16744698522415963]",E,r,E,r,E,r,"[0.3333333733333326, 0.1666666866666663, 0.173913055016722, 0.173913055016722, 0.08333334333333316]","[0.3541666166666643, 0.21739126127090458, 0.22916668666667206, 0.18749990999999588, 0.08695651866220748]","[0.34285718285714495, 0.17142859142857247, 0.17777779477777791, 0.17777779477777791, 0.08571429571428624]","[0.35416661666666777, 0.20138891888888777, 0.18750002999999932, 0.21249989999999697, 0.08888887488888876]","[0.34285718285714484, 0.1714285914285724, 0.1818181954158061, 0.1818181954158061, 0.0857142957142862]","[0.3579545172133258, 0.1875, 0.1875, 0.21249992999999634, 0.090909091955062]"
129,"[0.344827726206887, 0.17241386310344436, 0.09677444354848355, 0.09090910090909618, 0.038709777419393424]","[0.38709653419345275, 0.22727266060603557, 0.20689646172414924, 0.193548267096724, 0.1818182018181832]","[0.38709672419354524, 0.19354836209677262, 0.09677421979838877, 0.09677421979838878, 0.017539396707158424]","[0.4054054030244531, 0.20270270151222655, 0.20270270151222655, 0.20270270151222655, 0.19475356984461395]","[0.39215684982843185, 0.19607842491421593, 0.09803923183210726, 0.09803921245710796, 0.03921569273284291]","[0.39215684982843185, 0.19607846366421453, 0.19607842491421593, 0.19607842491421593, 0.19607842491421595]",E,r,E,r,"[0.3999999861145239, 0.19999999305726196, 0.10000001654946408, 0.09999999652863098, 0.06666666435242065]","[0.3999999861145239, 0.20000003309892816, 0.19999999305726196, 0.19999999305726196, 0.13333333806972258]","[0.34482772620688895, 0.1935488870967872, 0.18181817038961023, 0.17241386310344448, 0.06512254521661592]","[0.3870965341935422, 0.20689646172414286, 0.20062684781908546, 0.17241386310344448, 0.07523510114643828]","[0.3870967629435485, 0.19354842022177388, 0.16129030820564536, 0.16608556581470213, 0.06451612715725809]","[0.40540533254826294, 0.20270266627413144, 0.16129030820564536, 0.19354838147177425, 0.06451612715725809]","[0.3870966960463821, 0.19354835608232723, 0.0967743888084387, 0.19354832704739133, 0.12903223201546068]","[0.3870966960463821, 0.19354835608232723, 0.0967743888084387, 0.19354832704739133, 0.12903223201546068]"
