Trial,entani論文のCommonGround_wᴸ,解の非唯一性考慮のCommonGround_wᴸ,entani論文のCommonGround_wᵁ,解の非唯一性考慮のCommonGround_wᵁ,entani論文のCommonGround_wᴸ_1,解の非唯一性考慮のCommonGround_wᴸ_1,entani論文のCommonGround_wᵁ_1,解の非唯一性考慮のCommonGround_wᵁ_1,entani論文のCommonGround_wᴸ_2,解の非唯一性考慮のCommonGround_wᴸ_2,entani論文のCommonGround_wᵁ_2,解の非唯一性考慮のCommonGround_wᵁ_2,entani論文のCommonGround_wᴸ_3,解の非唯一性考慮のCommonGround_wᴸ_3,entani論文のCommonGround_wᵁ_3,解の非唯一性考慮のCommonGround_wᵁ_3
1,E,E,r,r,E,E,r,r,E,E,r,r,E,E,r,r
2,E,E,r,r,E,E,r,r,E,E,r,r,E,E,r,r
3,E,E,r,r,E,E,r,r,E,E,r,r,E,E,r,r
4,E,E,r,r,E,E,r,r,E,E,r,r,E,E,r,r
5,E,E,r,r,E,E,r,r,E,E,r,r,E,E,r,r
6,E,E,r,r,E,E,r,r,E,E,r,r,E,E,r,r
7,E,E,r,r,E,E,r,r,E,E,r,r,E,E,r,r
8,E,E,r,r,E,E,r,r,E,E,r,r,E,E,r,r
9,E,E,r,r,E,E,r,r,E,E,r,r,E,E,r,r
10,E,E,r,r,E,E,r,r,E,E,r,r,E,E,r,r
11,E,E,r,r,E,E,r,r,E,E,r,r,E,E,r,r
12,E,E,r,r,E,E,r,r,E,E,r,r,E,E,r,r
13,E,E,r,r,E,E,r,r,E,E,r,r,E,E,r,r
14,E,E,r,r,E,E,r,r,E,E,r,r,E,E,r,r
15,E,E,r,r,E,E,r,r,E,E,r,r,E,E,r,r
16,E,E,r,r,E,E,r,r,E,E,r,r,E,E,r,r
17,E,E,r,r,E,E,r,r,E,E,r,r,E,E,r,r
18,E,E,r,r,E,E,r,r,E,E,r,r,E,E,r,r
19,E,E,r,r,E,E,r,r,E,E,r,r,E,E,r,r
20,E,E,r,r,E,E,r,r,E,E,r,r,E,E,r,r
21,E,E,r,r,E,E,r,r,E,E,r,r,E,E,r,r
