与えた重要度,0.210000,0.250000,0.170000,0.230000,0.140000,0.220000,0.100000,0.200000,0.070000,0.190000,0.040000,0.180000,1.000000,

実行回数,wL[0],wR[0],wL[1],wR[1],wL[2],wR[2],wL[3],wR[3],wL[4],wR[4],wL[5],wR[5],区間幅の総和
182,0.155844, 0.350649,0.077922, 0.207792,0.077922, 0.216450,0.077922, 0.272727,0.077922, 0.272727,0.038961, 0.173160,0.987013
183,0.107213, 0.325212,0.066370, 0.315256,0.060598, 0.232294,0.053606, 0.246589,0.055751, 0.287843,0.021443, 0.227827,1.270040
184,0.139302, 0.313430,0.139302, 0.336647,0.085129, 0.241199,0.069651, 0.217079,0.046434, 0.170258,0.034826, 0.206742,0.970712
185,0.110522, 0.349985,0.082891, 0.303934,0.055261, 0.271280,0.041446, 0.235779,0.041446, 0.258782,0.027630, 0.221043,1.281610
186,0.120655, 0.275784,0.090492, 0.294098,0.090492, 0.309180,0.048262, 0.235699,0.045246, 0.265442,0.022623, 0.202028,1.164461
187,0.145263, 0.334104,0.099868, 0.247293,0.088772, 0.275192,0.044386, 0.197387,0.072631, 0.266315,0.029053, 0.199736,1.040055
188,0.122730, 0.343643,0.066943, 0.294551,0.073638, 0.250368,0.049092, 0.245459,0.036819, 0.240292,0.024546, 0.251919,1.252465
189,0.151279, 0.302557,0.097250, 0.259335,0.078248, 0.252131,0.063033, 0.252131,0.050426, 0.247784,0.025213, 0.220614,1.069103
190,0.153803, 0.320423,0.118310, 0.285916,0.080949, 0.270580,0.051268, 0.230705,0.025634, 0.176496,0.029578, 0.256339,1.080917
191,0.139921, 0.314823,0.115435, 0.259729,0.083196, 0.264539,0.057718, 0.242581,0.055464, 0.230870,0.020799, 0.214924,1.054932
192,0.141837, 0.283674,0.112288, 0.252647,0.112288, 0.262004,0.089830, 0.209604,0.089830, 0.209604,0.047279, 0.189116,0.813297
193,0.128784, 0.279032,0.096588, 0.239170,0.096588, 0.305862,0.048294, 0.223226,0.096588, 0.289764,0.032196, 0.163907,1.001923
194,0.110687, 0.221375,0.177100, 0.318780,0.104176, 0.253496,0.088550, 0.259746,0.059033, 0.208353,0.035420, 0.163284,0.850066
195,0.085194, 0.241384,0.141991, 0.283982,0.141991, 0.343145,0.085194, 0.255583,0.042597, 0.173051,0.035498, 0.170389,0.935069
196,0.088200, 0.304291,0.079380, 0.327076,0.060137, 0.296674,0.055125, 0.260592,0.026460, 0.248725,0.015876, 0.237463,1.349643
197,0.101372, 0.321011,0.078845, 0.245295,0.050686, 0.230142,0.064509, 0.296743,0.064509, 0.289098,0.025804, 0.231986,1.228549
198,0.155125, 0.349030,0.094798, 0.252796,0.094798, 0.236996,0.077562, 0.213296,0.077562, 0.213296,0.031599, 0.203139,0.937109
199,0.145998, 0.272530,0.145998, 0.316329,0.072999, 0.210886,0.072999, 0.210886,0.072999, 0.262796,0.029200, 0.186380,0.919615
200,0.097648, 0.288063,0.133157, 0.306261,0.133157, 0.328454,0.066578, 0.214826,0.044386, 0.168359,0.026631, 0.192480,0.996885
201,0.136901, 0.280646,0.136901, 0.285210,0.136901, 0.285210,0.136901, 0.285210,0.034225, 0.145733,0.022817, 0.113348,0.790711
202,0.065518, 0.294832,0.065518, 0.262073,0.071474, 0.314488,0.071474, 0.321635,0.039311, 0.248280,0.035737, 0.209658,1.301933
203,0.086779, 0.286369,0.120155, 0.366472,0.065084, 0.266844,0.071001, 0.279269,0.043389, 0.223726,0.017356, 0.173557,1.192474
204,0.151629, 0.341165,0.092662, 0.247099,0.096226, 0.256603,0.075814, 0.236288,0.052950, 0.192452,0.032075, 0.225037,0.997287
205,0.112971, 0.299375,0.141728, 0.320972,0.141728, 0.330699,0.041759, 0.171949,0.047243, 0.182780,0.027839, 0.180956,0.973463
206,0.100356, 0.326158,0.125445, 0.342124,0.077863, 0.250891,0.050178, 0.241930,0.025089, 0.209075,0.031361, 0.219529,1.179414
207,0.147219, 0.314068,0.147219, 0.314068,0.147219, 0.287895,0.078517, 0.174482,0.049073, 0.166848,0.026172, 0.147219,0.809160
208,0.136099, 0.306222,0.102074, 0.265392,0.090732, 0.235904,0.068049, 0.267248,0.074236, 0.235904,0.029694, 0.188444,0.998231
209,0.100815, 0.357893,0.085760, 0.263878,0.050408, 0.274034,0.054608, 0.278005,0.039715, 0.262119,0.017592, 0.215172,1.302204
210,0.091041, 0.236706,0.155236, 0.371324,0.100903, 0.252258,0.077618, 0.236787,0.051745, 0.183178,0.031047, 0.212156,0.984819
211,0.124354, 0.279797,0.124354, 0.341974,0.074612, 0.279797,0.062177, 0.217054,0.062177, 0.237403,0.018653, 0.177649,1.067345
212,0.100224, 0.359593,0.133632, 0.329627,0.072890, 0.235193,0.074586, 0.223757,0.044544, 0.245550,0.020045, 0.160359,1.108156
213,0.140577, 0.273344,0.118950, 0.297374,0.072485, 0.219066,0.118950, 0.297374,0.046859, 0.229536,0.029737, 0.155747,0.944884
214,0.121594, 0.303985,0.075273, 0.243188,0.083196, 0.263454,0.083196, 0.307363,0.041598, 0.249588,0.041598, 0.185967,1.107091
215,0.149466, 0.269039,0.149466, 0.290563,0.149466, 0.290563,0.080712, 0.171727,0.074733, 0.209851,0.029893, 0.134520,0.732525
216,0.095099, 0.301148,0.112710, 0.281776,0.076079, 0.299246,0.076079, 0.262051,0.040468, 0.190199,0.030432, 0.234713,1.138264
217,0.095156, 0.274895,0.128210, 0.288473,0.071367, 0.253750,0.064105, 0.253750,0.041149, 0.261679,0.061723, 0.205743,1.076580
218,0.141755, 0.327227,0.099558, 0.336839,0.079278, 0.274424,0.024890, 0.212594,0.024603, 0.206123,0.019912, 0.252797,1.220007
219,0.112880, 0.329233,0.158032, 0.362157,0.075465, 0.213077,0.039508, 0.232400,0.037627, 0.220333,0.019754, 0.199535,1.113470
220,0.147938, 0.314369,0.110954, 0.295876,0.081755, 0.265705,0.055477, 0.224827,0.041608, 0.197976,0.027738, 0.235777,1.069060
221,0.083947, 0.293813,0.107931, 0.283320,0.083947, 0.293813,0.068684, 0.269828,0.062960, 0.240392,0.031480, 0.179886,1.122104
222,0.137001, 0.342503,0.137001, 0.331086,0.083723, 0.265123,0.068501, 0.226052,0.034250, 0.167446,0.027908, 0.179406,1.023232
223,0.093512, 0.272033,0.085010, 0.325873,0.085010, 0.286910,0.051006, 0.272033,0.042505, 0.208662,0.034004, 0.243439,1.217904
224,0.121391, 0.303478,0.068053, 0.221171,0.074858, 0.286955,0.074858, 0.265122,0.049905, 0.273519,0.037429, 0.223260,1.147012
225,0.107596, 0.276675,0.127159, 0.360283,0.063579, 0.256437,0.053798, 0.238422,0.063579, 0.256437,0.021193, 0.174843,1.126192
226,0.069721, 0.232403,0.080050, 0.330205,0.065495, 0.248430,0.065495, 0.301278,0.065495, 0.301278,0.020012, 0.220137,1.267463
227,0.178230, 0.371313,0.089115, 0.220666,0.089115, 0.282198,0.044558, 0.190112,0.089115, 0.237641,0.029705, 0.178230,0.960323
228,0.121955, 0.335378,0.121955, 0.302786,0.075697, 0.271012,0.027101, 0.243911,0.050464, 0.239706,0.027101, 0.182933,1.151451
229,0.157303, 0.340824,0.104869, 0.243446,0.078652, 0.283146,0.078652, 0.227216,0.052434, 0.227216,0.031461, 0.174782,0.993258
230,0.147303, 0.319156,0.090018, 0.200041,0.147303, 0.319156,0.073651, 0.189039,0.073651, 0.189039,0.049101, 0.202541,0.837944
231,0.147199, 0.318931,0.089955, 0.209895,0.147199, 0.294398,0.073600, 0.245332,0.073600, 0.188906,0.049066, 0.161919,0.838762
232,0.146269, 0.318541,0.146269, 0.318541,0.146269, 0.292538,0.078010, 0.180579,0.048756, 0.158458,0.019503, 0.146269,0.829850
233,0.141665, 0.342357,0.141665, 0.283330,0.086573, 0.245290,0.070833, 0.220761,0.047222, 0.174639,0.035416, 0.210249,0.953253
234,0.104438, 0.278503,0.100837, 0.263997,0.075628, 0.277302,0.075628, 0.277302,0.056236, 0.243690,0.034813, 0.211625,1.104839
235,0.187297, 0.280946,0.187297, 0.280946,0.187297, 0.280946,0.093649, 0.181054,0.062432, 0.129667,0.031216, 0.097251,0.501621
236,0.156425, 0.286778,0.156425, 0.286778,0.156425, 0.286778,0.078212, 0.167598,0.078212, 0.208566,0.026071, 0.111732,0.696462
237,0.161451, 0.303907,0.122962, 0.266418,0.097345, 0.253944,0.061481, 0.230089,0.061481, 0.233628,0.016930, 0.190364,0.956700
238,0.084736, 0.296577,0.098859, 0.321292,0.079087, 0.249749,0.041625, 0.249749,0.079087, 0.276805,0.024715, 0.197718,1.183781
239,0.123067, 0.246134,0.173741, 0.333005,0.095719, 0.206393,0.086871, 0.271203,0.043435, 0.185807,0.057914, 0.176711,0.838506
240,0.115250, 0.303064,0.065774, 0.306944,0.071165, 0.298498,0.063466, 0.287549,0.012805, 0.202583,0.025386, 0.247517,1.292308
241,0.095037, 0.268340,0.090844, 0.280103,0.045422, 0.250326,0.090844, 0.325525,0.060563, 0.276483,0.022711, 0.193801,1.189157
242,0.122625, 0.357657,0.076641, 0.268243,0.080675, 0.258159,0.049446, 0.284313,0.051094, 0.235032,0.020438, 0.195679,1.198164
243,0.215587, 0.334160,0.215587, 0.341347,0.107794, 0.233553,0.061596, 0.174523,0.030798, 0.134143,0.035931, 0.114980,0.665412
244,0.147788, 0.332524,0.147788, 0.332524,0.082969, 0.248907,0.041484, 0.203846,0.049263, 0.163271,0.036947, 0.212690,0.987521
245,0.211556, 0.423111,0.105778, 0.264444,0.052889, 0.190591,0.052889, 0.209650,0.035259, 0.222690,0.035259, 0.195885,1.012741
246,0.151218, 0.360030,0.151218, 0.324839,0.081210, 0.222312,0.037805, 0.187210,0.050406, 0.209185,0.030244, 0.194323,0.995799
247,0.156164, 0.359178,0.104109, 0.244657,0.156164, 0.359178,0.039041, 0.166132,0.026027, 0.172602,0.031233, 0.185514,0.974522
248,0.087851, 0.217590,0.161455, 0.373365,0.080728, 0.224019,0.080728, 0.263552,0.080728, 0.228167,0.020182, 0.181637,0.976660
249,0.113018, 0.263708,0.175805, 0.380911,0.087903, 0.210966,0.043951, 0.217171,0.058602, 0.228209,0.043951, 0.175805,0.953541
250,0.118227, 0.314375,0.118227, 0.325123,0.076847, 0.219564,0.069861, 0.256157,0.059113, 0.234811,0.020770, 0.186926,1.073912
251,0.147544, 0.331975,0.064919, 0.243448,0.147544, 0.286892,0.073772, 0.229923,0.032460, 0.240912,0.036886, 0.163723,0.993747
252,0.123872, 0.278712,0.123872, 0.260256,0.123872, 0.317187,0.073197, 0.187872,0.073197, 0.187872,0.048798, 0.201292,0.866384
253,0.143973, 0.316740,0.143973, 0.316740,0.143973, 0.287945,0.079185, 0.175967,0.035993, 0.166705,0.035993, 0.152813,0.833821
254,0.120963, 0.376329,0.094873, 0.308337,0.063001, 0.239406,0.047436, 0.205558,0.067202, 0.263919,0.026881, 0.186097,1.159289
255,0.045756, 0.244031,0.108942, 0.354062,0.069327, 0.251578,0.069327, 0.311971,0.054471, 0.285973,0.019065, 0.185496,1.266224
256,0.123083, 0.261552,0.166162, 0.318478,0.166162, 0.267706,0.083081, 0.184625,0.055387, 0.171892,0.041541, 0.160332,0.729167
257,0.119283, 0.308148,0.159044, 0.337969,0.088358, 0.223656,0.059642, 0.265074,0.039761, 0.210500,0.019881, 0.168683,1.028062
258,0.135580, 0.311833,0.101685, 0.284717,0.073952, 0.241030,0.081348, 0.227774,0.067790, 0.266229,0.020337, 0.187726,1.038618
259,0.114484, 0.305291,0.114484, 0.305291,0.114484, 0.305291,0.057242, 0.208153,0.057242, 0.208153,0.038161, 0.171726,1.007806
260,0.145790, 0.291581,0.160872, 0.348556,0.089717, 0.212059,0.045738, 0.213445,0.053624, 0.179434,0.045738, 0.213445,0.917040
261,0.136217, 0.291353,0.136217, 0.329191,0.059935, 0.194790,0.068109, 0.235857,0.045406, 0.245426,0.034054, 0.223444,1.040124
262,0.091279, 0.301220,0.112343, 0.340774,0.056172, 0.258389,0.073023, 0.299394,0.036511, 0.224193,0.018256, 0.188446,1.224833
263,0.135911, 0.263585,0.135911, 0.305799,0.108729, 0.271822,0.076450, 0.190275,0.049422, 0.203866,0.067955, 0.190275,0.851245
264,0.073117, 0.316840,0.101239, 0.297690,0.059823, 0.299115,0.050619, 0.286843,0.024372, 0.236899,0.019941, 0.233502,1.341778
265,0.160810, 0.321619,0.083497, 0.256290,0.045228, 0.201947,0.080405, 0.301518,0.045228, 0.225134,0.055665, 0.222660,1.058336
266,0.153846, 0.307692,0.153846, 0.307692,0.092308, 0.184615,0.092308, 0.184615,0.076923, 0.184615,0.076923, 0.184615,0.707692
267,0.095757, 0.239392,0.095757, 0.255352,0.156693, 0.365617,0.061558, 0.191514,0.052231, 0.191514,0.052231, 0.242385,0.971546
268,0.140746, 0.351865,0.078192, 0.236899,0.070373, 0.234577,0.070373, 0.269763,0.046915, 0.230532,0.035187, 0.234577,1.116427
269,0.182763, 0.292421,0.125323, 0.250646,0.097474, 0.206415,0.062662, 0.243684,0.091381, 0.243684,0.048737, 0.154811,0.783321
270,0.150984, 0.334680,0.150984, 0.334680,0.079266, 0.251010,0.039633, 0.203033,0.050328, 0.166877,0.030197, 0.208328,0.997217
271,0.144052, 0.367333,0.088032, 0.272899,0.088032, 0.272899,0.072026, 0.245609,0.036013, 0.176064,0.028810, 0.208229,1.086068
272,0.145147, 0.290293,0.145147, 0.358028,0.072573, 0.239492,0.049894, 0.241155,0.024947, 0.249471,0.024191, 0.159661,1.076202
273,0.089416, 0.277191,0.146318, 0.360917,0.089416, 0.253347,0.073159, 0.236059,0.044708, 0.188700,0.029264, 0.211504,1.055437
274,0.120612, 0.321633,0.080408, 0.281428,0.120612, 0.341735,0.040204, 0.219295,0.040204, 0.203533,0.026803, 0.203533,1.142313
275,0.100758, 0.303474,0.140451, 0.316014,0.077248, 0.257493,0.070225, 0.231744,0.041383, 0.201516,0.025190, 0.234503,1.089490
276,0.123788, 0.270084,0.110804, 0.323177,0.067521, 0.240075,0.055402, 0.229162,0.055402, 0.240075,0.036935, 0.247577,1.100298
277,0.159796, 0.346224,0.099872, 0.224713,0.159796, 0.332908,0.039949, 0.196240,0.053265, 0.179081,0.039949, 0.168206,0.894746
278,0.159865, 0.358318,0.122973, 0.307432,0.090246, 0.206277,0.079932, 0.239797,0.048444, 0.192940,0.024222, 0.169554,0.948636
279,0.177841, 0.311221,0.111151, 0.222301,0.177841, 0.320114,0.088920, 0.189192,0.055575, 0.177841,0.035568, 0.132435,0.706208
280,0.104450, 0.279776,0.135845, 0.312444,0.087042, 0.261125,0.052225, 0.254161,0.058028, 0.210908,0.027169, 0.216827,1.070483
281,0.114685, 0.334499,0.160559, 0.374639,0.064224, 0.192671,0.047223, 0.236117,0.047223, 0.200699,0.026760, 0.200699,1.078649
282,0.104996, 0.272991,0.165784, 0.345383,0.082892, 0.195582,0.052498, 0.209993,0.082892, 0.262491,0.027631, 0.196868,0.966614
283,0.105261, 0.289469,0.105261, 0.263153,0.084209, 0.243271,0.084209, 0.303153,0.070174, 0.210523,0.026315, 0.215002,1.049139
284,0.157130, 0.319498,0.157130, 0.345686,0.093961, 0.227497,0.046980, 0.208495,0.052377, 0.163195,0.023490, 0.204560,0.937864
285,0.091657, 0.290247,0.098340, 0.295021,0.078672, 0.276810,0.039336, 0.200537,0.078672, 0.327801,0.026224, 0.196681,1.174195
286,0.151460, 0.344150,0.080225, 0.277649,0.109808, 0.301362,0.037865, 0.228082,0.016829, 0.204975,0.021962, 0.225633,1.163703
287,0.120019, 0.270044,0.139114, 0.336191,0.069557, 0.242289,0.061210, 0.229537,0.030605, 0.241618,0.034778, 0.225037,1.089434
288,0.082967, 0.335819,0.082967, 0.338782,0.050373, 0.230799,0.043177, 0.287845,0.028784, 0.264457,0.022749, 0.231282,1.377966
289,0.143716, 0.354499,0.117921, 0.300697,0.063874, 0.212912,0.058960, 0.259425,0.023953, 0.217582,0.023584, 0.222878,1.135987
290,0.115108, 0.268585,0.115108, 0.306954,0.115108, 0.326139,0.057554, 0.230216,0.038369, 0.194245,0.038369, 0.194245,1.040767
291,0.151144, 0.362745,0.092366, 0.258624,0.066503, 0.212810,0.075572, 0.232761,0.075572, 0.272059,0.015114, 0.184731,1.047459
292,0.093488, 0.249301,0.132583, 0.338823,0.151918, 0.295396,0.077165, 0.237481,0.025320, 0.167634,0.037980, 0.192912,0.963094
293,0.151061, 0.327299,0.114598, 0.286495,0.089018, 0.247273,0.075531, 0.221556,0.051927, 0.171897,0.029673, 0.233673,0.976385
294,0.147014, 0.307607,0.147014, 0.281777,0.147014, 0.307607,0.080245, 0.175080,0.036754, 0.154859,0.049005, 0.166025,0.785909
295,0.139072, 0.365064,0.071765, 0.246050,0.069536, 0.260760,0.053311, 0.275440,0.042088, 0.266554,0.026655, 0.183706,1.195148
296,0.148569, 0.297138,0.123808, 0.302641,0.079591, 0.220102,0.074285, 0.228568,0.049523, 0.238772,0.024762, 0.212242,0.998927
297,0.140004, 0.345343,0.140004, 0.322009,0.060002, 0.204006,0.093336, 0.292453,0.046668, 0.180005,0.018667, 0.157504,1.002639
298,0.078964, 0.305669,0.069772, 0.274438,0.063218, 0.311875,0.063218, 0.263408,0.040906, 0.253615,0.025287, 0.249630,1.317269
299,0.118542, 0.256842,0.096316, 0.288947,0.070048, 0.280191,0.070048, 0.280191,0.048158, 0.205474,0.048158, 0.237085,1.097461
300,0.134455, 0.313727,0.134455, 0.330025,0.089636, 0.253970,0.062056, 0.201682,0.044818, 0.180818,0.036669, 0.217688,0.995822
301,0.136057, 0.294791,0.055158, 0.242697,0.081634, 0.299326,0.074213, 0.267167,0.066190, 0.267167,0.027211, 0.188387,1.119071
302,0.120486, 0.387015,0.064259, 0.253823,0.100405, 0.331336,0.036511, 0.194468,0.060243, 0.267746,0.014604, 0.169103,1.206984
303,0.091451, 0.342940,0.089584, 0.321010,0.069677, 0.292642,0.043036, 0.229523,0.029861, 0.223546,0.022863, 0.243868,1.307058
304,0.129448, 0.366770,0.062135, 0.258896,0.097086, 0.323620,0.064724, 0.258896,0.031068, 0.200240,0.020712, 0.186405,1.189655
305,0.145091, 0.350637,0.099750, 0.247001,0.088667, 0.232751,0.072546, 0.315876,0.036273, 0.178657,0.033250, 0.199501,1.048846
306,0.132363, 0.350372,0.099272, 0.330907,0.088242, 0.264726,0.066181, 0.240660,0.041799, 0.176484,0.041799, 0.167195,1.060688
307,0.126668, 0.380005,0.095001, 0.217145,0.095001, 0.237503,0.063334, 0.285003,0.047501, 0.202669,0.047501, 0.202669,1.049989
308,0.110434, 0.305818,0.111041, 0.323870,0.077729, 0.226709,0.055521, 0.297960,0.037014, 0.194322,0.027760, 0.231823,1.161003
309,0.168330, 0.288031,0.168330, 0.347882,0.082112, 0.239494,0.084165, 0.205281,0.056110, 0.203157,0.016833, 0.140275,0.848240
310,0.076733, 0.281354,0.076733, 0.255777,0.127888, 0.341036,0.063944, 0.255777,0.042629, 0.215812,0.046505, 0.215812,1.131134
311,0.164853, 0.309100,0.164853, 0.336576,0.082427, 0.193188,0.082427, 0.241785,0.054951, 0.206859,0.020607, 0.142373,0.859763
312,0.092498, 0.258995,0.151361, 0.302722,0.104061, 0.312182,0.079284, 0.249746,0.037840, 0.175260,0.037840, 0.198211,0.994231
313,0.089884, 0.227074,0.135900, 0.345414,0.067950, 0.230465,0.135900, 0.345414,0.045300, 0.210221,0.016988, 0.149491,1.016155
314,0.149154, 0.298307,0.100430, 0.266526,0.079287, 0.261118,0.052307, 0.245790,0.050215, 0.245790,0.020923, 0.230152,1.095367
315,0.193309, 0.273854,0.193309, 0.273854,0.193309, 0.273854,0.096654, 0.177200,0.064436, 0.111524,0.048327, 0.100372,0.421314
316,0.150986, 0.327137,0.103803, 0.257036,0.075493, 0.276808,0.092269, 0.242207,0.046135, 0.185916,0.034601, 0.207606,0.993424
317,0.207840, 0.325615,0.207840, 0.360255,0.103920, 0.230933,0.069280, 0.195558,0.034640, 0.128992,0.020784, 0.114344,0.711395
318,0.170430, 0.316512,0.119996, 0.299991,0.093331, 0.209994,0.059998, 0.279992,0.056810, 0.193840,0.031110, 0.167995,0.936650
319,0.127953, 0.284339,0.081037, 0.270122,0.097244, 0.291732,0.057883, 0.231533,0.054024, 0.226903,0.042651, 0.234580,1.078417
320,0.141293, 0.329683,0.105969, 0.239110,0.097139, 0.284940,0.044406, 0.192427,0.047098, 0.253012,0.035323, 0.229600,1.057545
321,0.106180, 0.283147,0.141574, 0.359833,0.070787, 0.242510,0.070787, 0.242510,0.035393, 0.231888,0.017697, 0.197693,1.115165
322,0.203925, 0.387457,0.101962, 0.268501,0.101962, 0.280396,0.050981, 0.197650,0.050981, 0.197650,0.020392, 0.138142,0.939592
323,0.089970, 0.301398,0.139044, 0.354562,0.139044, 0.354562,0.034761, 0.191185,0.017380, 0.173805,0.027809, 0.176479,1.103984
324,0.106767, 0.329941,0.083412, 0.330868,0.062559, 0.266919,0.041706, 0.263953,0.027804, 0.266919,0.016682, 0.202470,1.322138
325,0.150954, 0.280610,0.116647, 0.287728,0.098701, 0.230302,0.102649, 0.248068,0.065801, 0.181359,0.023329, 0.213852,0.883839
326,0.220183, 0.385321,0.110092, 0.220183,0.110092, 0.275229,0.055046, 0.158080,0.055046, 0.177841,0.055046, 0.177841,0.788991
327,0.113452, 0.247532,0.120328, 0.320875,0.060164, 0.196901,0.060164, 0.218778,0.040109, 0.180492,0.120328, 0.320875,0.970908
328,0.105086, 0.315257,0.105086, 0.254020,0.078814, 0.254630,0.044582, 0.218381,0.052543, 0.262714,0.052543, 0.256345,1.122695
329,0.139779, 0.289912,0.119278, 0.332985,0.077119, 0.238142,0.037274, 0.183102,0.039759, 0.221317,0.051413, 0.269918,1.070753
330,0.151102, 0.339979,0.092340, 0.277020,0.092340, 0.230850,0.046170, 0.264428,0.075551, 0.207765,0.037775, 0.184680,1.009444
331,0.120306, 0.290740,0.178232, 0.380227,0.066837, 0.196055,0.047179, 0.200510,0.047179, 0.245330,0.030077, 0.197328,1.020382
332,0.129277, 0.269327,0.086185, 0.272162,0.068041, 0.253853,0.064638, 0.253853,0.086185, 0.310265,0.027216, 0.178999,1.076917
333,0.163663, 0.362787,0.118656, 0.296640,0.093063, 0.251069,0.040916, 0.235697,0.027277, 0.195433,0.032733, 0.182065,1.047383
334,0.116185, 0.309827,0.077457, 0.271099,0.063374, 0.285182,0.058093, 0.225536,0.058093, 0.271099,0.031687, 0.232370,1.190225
335,0.151398, 0.357468,0.151398, 0.357468,0.086089, 0.243920,0.037850, 0.166892,0.028696, 0.189248,0.043045, 0.186527,1.003047
336,0.128487, 0.321217,0.128487, 0.321217,0.128487, 0.321217,0.064243, 0.224852,0.032122, 0.148774,0.032122, 0.148774,0.972105
337,0.138992, 0.354431,0.101928, 0.270746,0.088207, 0.302843,0.029402, 0.214048,0.044103, 0.227777,0.027798, 0.199723,1.139138
338,0.132115, 0.264230,0.099086, 0.320124,0.088077, 0.249550,0.074315, 0.249550,0.049543, 0.198172,0.044038, 0.231201,1.025654
339,0.084978, 0.276179,0.146781, 0.318025,0.080729, 0.254148,0.042489, 0.269098,0.042489, 0.201823,0.042489, 0.240772,1.120089
340,0.120608, 0.293981,0.120608, 0.293981,0.120608, 0.239540,0.065329, 0.178170,0.120608, 0.271367,0.032665, 0.142536,0.839152
341,0.116184, 0.290460,0.138775, 0.323809,0.092517, 0.246712,0.078061, 0.222040,0.046258, 0.234183,0.038728, 0.172273,0.978953
342,0.104545, 0.292726,0.104545, 0.292726,0.083636, 0.260201,0.083636, 0.278787,0.066909, 0.214108,0.018182, 0.199999,1.077095
343,0.136046, 0.328777,0.136046, 0.351451,0.083139, 0.263273,0.068023, 0.236946,0.034011, 0.170654,0.022674, 0.168960,1.040123
344,0.154068, 0.277323,0.112984, 0.301289,0.082004, 0.225967,0.094153, 0.251075,0.056492, 0.225967,0.027335, 0.191343,0.945929
345,0.122085, 0.244170,0.180867, 0.376805,0.090433, 0.207804,0.090433, 0.256228,0.030144, 0.179058,0.036995, 0.184977,0.898084
346,0.139091, 0.343091,0.139091, 0.324546,0.085594, 0.256783,0.069546, 0.225104,0.023182, 0.171189,0.027818, 0.194965,1.031356
347,0.080986, 0.274761,0.096412, 0.337441,0.048206, 0.287258,0.061353, 0.282223,0.026995, 0.237559,0.024541, 0.242265,1.323014
348,0.087422, 0.249778,0.084300, 0.303481,0.084300, 0.330778,0.042150, 0.233793,0.042150, 0.269761,0.033720, 0.238366,1.251914
349,0.070081, 0.297843,0.096361, 0.332445,0.077089, 0.277520,0.070081, 0.275651,0.046720, 0.236084,0.017520, 0.202605,1.244296
350,0.151494, 0.302987,0.114926, 0.260380,0.096140, 0.272397,0.096140, 0.272397,0.032047, 0.199971,0.028732, 0.172389,0.961043
351,0.129794, 0.320158,0.129794, 0.320158,0.129794, 0.288431,0.064897, 0.192744,0.043265, 0.167389,0.025959, 0.187619,0.952997
352,0.136574, 0.330054,0.109259, 0.286806,0.136574, 0.330054,0.058532, 0.219494,0.029266, 0.175596,0.034144, 0.153646,0.991302
353,0.127981, 0.319953,0.127981, 0.319953,0.076789, 0.230366,0.063991, 0.186155,0.063991, 0.209424,0.063991, 0.209424,0.950553
354,0.148651, 0.297302,0.115618, 0.247752,0.096348, 0.224812,0.096348, 0.224812,0.049550, 0.198202,0.057809, 0.242797,0.871353
355,0.118875, 0.326908,0.064155, 0.293354,0.087864, 0.322170,0.024949, 0.237017,0.024949, 0.224543,0.029288, 0.245928,1.299837
356,0.128865, 0.289946,0.104703, 0.261756,0.076147, 0.232672,0.093069, 0.232672,0.038074, 0.199433,0.076147, 0.266516,0.965991
357,0.126645, 0.284951,0.126645, 0.299342,0.069079, 0.189967,0.126645, 0.310855,0.063322, 0.189967,0.031661, 0.180921,0.912007
358,0.138445, 0.346112,0.092512, 0.256187,0.080152, 0.308586,0.046256, 0.255628,0.020038, 0.181744,0.032061, 0.242278,1.181072
359,0.136390, 0.329610,0.088171, 0.292547,0.075250, 0.288458,0.068195, 0.288458,0.022732, 0.189760,0.022043, 0.198386,1.174437
360,0.148595, 0.307803,0.099771, 0.266055,0.099771, 0.239449,0.066514, 0.269729,0.034404, 0.209883,0.025803, 0.232225,1.050288
361,0.070844, 0.271568,0.118073, 0.334540,0.088555, 0.321011,0.039358, 0.232456,0.044277, 0.232456,0.033208, 0.213656,1.211372
362,0.116995, 0.321736,0.100439, 0.258272,0.078669, 0.253489,0.069133, 0.288055,0.052446, 0.262230,0.023044, 0.175492,1.118547
363,0.174612, 0.334673,0.125502, 0.292839,0.096540, 0.210990,0.062751, 0.257441,0.043653, 0.187827,0.029102, 0.184070,0.935678
364,0.105893, 0.349447,0.105893, 0.300030,0.052946, 0.218204,0.052946, 0.269546,0.052946, 0.269546,0.017649, 0.204954,1.223452
365,0.098558, 0.271036,0.098558, 0.295675,0.078847, 0.262823,0.078847, 0.315387,0.052565, 0.224305,0.026282, 0.197117,1.132686
366,0.109039, 0.289944,0.109039, 0.327116,0.054519, 0.248063,0.054519, 0.226800,0.064432, 0.248063,0.032216, 0.236250,1.152472
367,0.148346, 0.305683,0.100875, 0.246584,0.100875, 0.246584,0.134860, 0.249491,0.044953, 0.217574,0.022417, 0.181757,0.895346
368,0.160339, 0.320678,0.114528, 0.305408,0.094317, 0.250530,0.047159, 0.220073,0.038176, 0.220073,0.040085, 0.188634,1.010793
369,0.116530, 0.268020,0.168768, 0.371290,0.095966, 0.234517,0.065257, 0.241451,0.047983, 0.201529,0.019577, 0.169111,0.971836
370,0.085024, 0.255072,0.113366, 0.297585,0.056683, 0.267955,0.056683, 0.267955,0.041224, 0.233816,0.056683, 0.267955,1.180676
