与えた重要度,0.210000,0.250000,0.170000,0.230000,0.140000,0.220000,0.100000,0.200000,0.070000,0.190000,0.040000,0.180000,1.000000,

実行回数,wL[0],wR[0],wL[1],wR[1],wL[2],wR[2],wL[3],wR[3],wL[4],wR[4],wL[5],wR[5],区間幅の総和
42,0.131414, 0.295681,0.131414, 0.302252,0.131414, 0.302252,0.065707, 0.186369,0.078848, 0.205006,0.026283, 0.143361,0.869841
43,0.160721, 0.344403,0.111521, 0.252781,0.080361, 0.254433,0.080361, 0.283346,0.028913, 0.181110,0.034695, 0.187355,1.006856
44,0.104572, 0.241320,0.142598, 0.285196,0.104572, 0.287572,0.104572, 0.313715,0.026143, 0.174286,0.026143, 0.189311,0.982801
45,0.101069, 0.320053,0.078610, 0.280046,0.073188, 0.280046,0.073188, 0.288235,0.036594, 0.211004,0.026203, 0.231763,1.222295
46,0.172732, 0.333125,0.124305, 0.269328,0.095619, 0.234198,0.086366, 0.270921,0.033148, 0.207175,0.014394, 0.158687,0.946871
47,0.143290, 0.322403,0.143290, 0.322403,0.087566, 0.248105,0.071645, 0.197024,0.043783, 0.197024,0.035823, 0.187642,0.949204
48,0.082434, 0.224820,0.148381, 0.370953,0.052993, 0.225221,0.074191, 0.231846,0.074191, 0.259667,0.037095, 0.218208,1.061430
49,0.110822, 0.258584,0.096969, 0.290907,0.070523, 0.282091,0.048484, 0.206867,0.070523, 0.277054,0.048484, 0.238693,1.108390
50,0.128980, 0.296655,0.085987, 0.286623,0.077388, 0.278598,0.070353, 0.253271,0.064490, 0.253271,0.025796, 0.178588,1.094010
51,0.110340, 0.239071,0.147120, 0.283732,0.160495, 0.334365,0.091316, 0.196161,0.055170, 0.197852,0.026749, 0.157629,0.817618
52,0.131481, 0.361573,0.131481, 0.361573,0.032870, 0.185621,0.032870, 0.207602,0.065741, 0.262962,0.032870, 0.193355,1.145372
53,0.062140, 0.285845,0.089327, 0.357307,0.044663, 0.303169,0.031070, 0.248561,0.043310, 0.267980,0.043310, 0.223317,1.372359
54,0.096256, 0.304812,0.096256, 0.298395,0.077005, 0.270944,0.077005, 0.282352,0.041253, 0.196288,0.025668, 0.233766,1.173112
55,0.191496, 0.296820,0.191496, 0.328736,0.143622, 0.269292,0.063832, 0.159089,0.047874, 0.145312,0.035906, 0.126524,0.651546
56,0.163454, 0.337805,0.163454, 0.337805,0.103047, 0.219834,0.081727, 0.231560,0.027242, 0.171745,0.016345, 0.145983,0.889461
57,0.165191, 0.323041,0.108659, 0.252914,0.065196, 0.203736,0.097793, 0.260782,0.054330, 0.244483,0.027165, 0.196711,0.963333
58,0.133588, 0.282018,0.105757, 0.282018,0.084605, 0.225615,0.105757, 0.282018,0.044529, 0.222646,0.056404, 0.175046,0.938721
59,0.143590, 0.323077,0.107692, 0.287179,0.095726, 0.255271,0.071795, 0.191453,0.071795, 0.215385,0.031909, 0.205128,0.954986
60,0.175801, 0.360392,0.118666, 0.253153,0.087901, 0.206017,0.087901, 0.272492,0.039555, 0.195449,0.023733, 0.178940,0.932888
61,0.114009, 0.252019,0.059854, 0.199515,0.099757, 0.304023,0.099757, 0.266020,0.099757, 0.304023,0.033252, 0.168013,0.987224
62,0.079863, 0.303479,0.089846, 0.278522,0.074355, 0.317249,0.074355, 0.269538,0.044923, 0.242894,0.015973, 0.209003,1.241370
63,0.104761, 0.323014,0.104761, 0.252082,0.104761, 0.314284,0.066666, 0.255554,0.044444, 0.217707,0.026190, 0.185776,1.096832
64,0.128132, 0.340619,0.128132, 0.316060,0.070473, 0.214029,0.064066, 0.242740,0.035236, 0.229964,0.025626, 0.204921,1.096666
65,0.163249, 0.293848,0.163249, 0.312893,0.096842, 0.207520,0.081624, 0.239431,0.048421, 0.191395,0.032650, 0.168878,0.827930
66,0.131929, 0.303436,0.087952, 0.257994,0.098946, 0.355008,0.071961, 0.224279,0.047974, 0.242419,0.019789, 0.158314,1.082897
67,0.096982, 0.254577,0.117186, 0.322262,0.117186, 0.341793,0.058593, 0.245026,0.039062, 0.193357,0.024245, 0.189730,1.093491
68,0.110372, 0.246366,0.137965, 0.317319,0.066223, 0.258270,0.091977, 0.285127,0.033112, 0.231781,0.027593, 0.193896,1.065519
69,0.166053, 0.326570,0.166053, 0.318267,0.100638, 0.211340,0.072197, 0.228623,0.055351, 0.176652,0.025159, 0.153098,0.829100
