Trial,統合した解の中心の総和,t_L,t_U,DM1,DM1の式1の最適値,DM1の積,DM1の式10の最適値,DM2,DM2の式1の最適値,DM2の積,DM2の式10の最適値,DM3,DM3の式1の最適値,DM3の積,DM3の式10の最適値
199,0.9999999715254237,1.0000000000000002,1.0000000569491556,0.9791666438700566,0.29166666666666663,0.29166665987618684,0.2978723404255317,0.9553571105690072,0.3392857142857144,0.3392857028188997,0.3551401869158878,0.9999999329660956,0.17857142857143038,0.17857141660108874,0.17857142857142883
506,0.9999999833333316,1.0,1.0000000333333376,0.9826086839855055,0.29565217391304244,0.2956521704027181,0.30088495575221197,0.999999995,0.26086956521739135,0.26086956391304356,0.26086956521739135,0.9826086739855057,0.2956521739130441,0.29565216739386974,0.3008849557522132
530,1.0,1.0,1.0,0.9333333257333328,0.33333333333333415,0.31869918439674727,0.34146341463414576,0.9615384135384599,0.30769230769230804,0.3036437095384611,0.3157894736842106,1.0,0.17948717948718007,0.17948717948717974,0.17948717948717974
659,0.9999999750000009,1.0,1.000000050000001,0.968749984999999,0.31250000000000067,0.31249999516128996,0.32258064516129026,0.9999999750000009,0.1499999999999997,0.14999999625000004,0.1499999999999999,0.968749984999999,0.31250000000000067,0.31249999516128996,0.32258064516129026
678,0.9999999784652699,1.0,1.000000043069462,1.0000000020297692,0.25384615384615383,0.25384615436140384,0.2538461538461547,0.9499999898255105,0.39999999999999947,0.38703703289187386,0.40740740740740655,0.9714285615846651,0.20714285714285674,0.20122448775682308,0.20714285714285674
724,0.9966328977441106,1.0,1.0067798614855845,0.9606058956060886,0.32121212121211984,0.3127554078717495,0.3255813953488369,0.9208754669865309,0.33333333333333315,0.3175432644781143,0.3448275862068968,0.969696924696971,0.30303030303030276,0.2983682845221447,0.3076923076923075
772,1.0,1.0,1.0,0.9606060850178219,0.32121212121211984,0.3127554695406859,0.3255813953488369,0.9999999999999999,0.16666666666666663,0.1666666666666665,0.16666666666666652,0.9999999999999999,0.051948051948050744,0.05194805194805196,0.051948051948051965
811,0.9848484848484853,0.9999999900000008,1.0312500106347642,0.954545459545455,0.2727272727272724,0.26033057987603336,0.27272727272727293,0.9848484798484857,0.21212121212121193,0.21212121104428935,0.2153846153846155,0.9848484798484842,0.21212121212121127,0.20890725330119345,0.21212121212121193
838,0.979166666383648,1.0,1.043478261485893,0.9791666701572329,0.2916666666666664,0.2916666677064098,0.2978723404255319,0.9624999959433961,0.3250000000000002,0.32499999863023776,0.3376623376623378,0.9625000034905661,0.3250000000000002,0.3250000011786328,0.3376623376623378
965,0.9848907820098356,1.0,1.0311600437680788,0.9521669233768562,0.3235294117647046,0.31738897445895187,0.33333333333333315,0.9366153140794312,0.33333333333333304,0.3162597164424056,0.3376623376623379,0.9140350227193037,0.3824561403508764,0.38033672086306614,0.41610738255033575
