Trial,PCM,式1の解の中心の総和,式10の解に対するt_L,式10の解に対するt_U,式1の最適値,式10の最適値,式10の最適値とt_Lの積,式10の最適値とt_Uの積,式2の最適値,式20の最適値,式20のt,,,,,式(1)の最適値が式(10)の最適値のt_L倍より小さい,式(1)の最適値が式(10)の最適値のt_L倍より大きい
24,3,0.909090909,1,1,0.327272727,0.347826087,0.347826087,0.347826087,0.083292261,0.163140946,0.982206406,,,,,24,FALSE
25,1,0.946428571,1,1,0.392857143,0.392857143,0.392857143,0.392857143,,,,,,,,FALSE,25
25,2,0.976190476,1,1,0.19047619,0.19047619,0.19047619,0.19047619,,,,,,,,FALSE,25
25,3,0.966666667,1,1,0.266666667,0.266666667,0.266666667,0.266666667,0.095238026,0.139285576,0.992321325,,,,,FALSE,25
26,1,0.942857143,1,1,0.342857143,0.352941176,0.352941176,0.352941176,,,,,,,,26,FALSE
26,2,0.96875,1,1,0.3125,0.318181818,0.318181818,0.318181818,,,,,,,,26,FALSE
26,3,0.930555556,1,1,0.305555556,0.305555556,0.305555556,0.305555556,0.092856943,0.093062549,0.993616481,,,,,FALSE,26
27,1,1,1,1,0.2,0.2,0.2,0.2,,,,,,,,FALSE,27
27,2,0.928070175,1,1,0.438596491,0.448087432,0.448087432,0.448087432,,,,,,,,27,FALSE
27,3,0.930555556,1,1,0.305555556,0.305555556,0.305555556,0.305555556,0.143859569,0.203551782,0.991735549,,,,,FALSE,27
28,1,0.944444444,1,1,0.277777778,0.277777778,0.277777778,0.277777778,,,,,,,,FALSE,28
28,2,0.883838384,1,1,0.414141414,0.418439716,0.418439716,0.418439716,,,,,,,,28,FALSE
28,3,0.930555556,0.986111111,1.014285714,0.361111111,0.366197183,0.361111111,0.371428571,0.040403948,0.09929056,0.999999959,,,,,FALSE,28
29,1,0.964285714,1,1,0.214285714,0.214285714,0.214285714,0.214285714,,,,,,,,FALSE,29
29,2,0.976190476,1,1,0.285714286,0.285714286,0.285714286,0.285714286,,,,,,,,FALSE,29
29,3,0.974358974,1,1,0.282051282,0.282051282,0.282051282,0.282051282,0.082417502,0.108058446,1.006451607,,,,,FALSE,29
34,1,0.971428571,1,1,0.342857143,0.342857143,0.342857143,0.342857143,,,,,,,,FALSE,34
34,2,1,1,1,0.19047619,0.19047619,0.19047619,0.19047619,,,,,,,,FALSE,34
34,3,0.930555556,1,1,0.305555556,0.305555556,0.305555556,0.305555556,0.047618902,0.091269663,1.012048186,,,,,FALSE,34
36,1,0.916666667,1,1,0.388888889,0.4,0.4,0.4,,,,,,,,36,FALSE
36,2,1,1,1,0.280701754,0.280701754,0.280701754,0.280701754,,,,,,,,FALSE,36
36,3,0.916666667,1,1,0.401960784,0.408304498,0.408304498,0.408304498,0.043343315,0.193310149,1,,,,,36,FALSE
37,1,0.951923077,1,1,0.25,0.25,0.25,0.25,,,,,,,,FALSE,37
37,2,0.930555556,1,1,0.305555556,0.305555556,0.305555556,0.305555556,,,,,,,,FALSE,37
37,3,1,1,1,0.222222222,0.222222222,0.222222222,0.222222222,0.111110951,0.111110951,1,,,,,FALSE,37
38,1,0.963888889,0.963888889,1.038922156,0.294444444,0.305475504,0.294444444,0.317365269,,,,,,,,FALSE,38
38,2,0.976190476,1,1,0.238095238,0.242424242,0.242424242,0.242424242,,,,,,,,38,FALSE
38,3,0.976190476,1,1,0.19047619,0.19047619,0.19047619,0.19047619,0.12698405,0.166233302,1.008733548,,,,,FALSE,38
39,1,0.951388889,0.993055556,1.007042254,0.347222222,0.34965035,0.347222222,0.352112676,,,,,,,,FALSE,39
39,2,0.953125,1,1,0.34375,0.34375,0.34375,0.34375,,,,,,,,FALSE,39
39,3,0.944444444,1,1,0.333333333,0.333333333,0.333333333,0.333333333,0.024305491,0.091666558,0.991735549,,,,,FALSE,39
40,1,0.972222222,1,1,0.222222222,0.222222222,0.222222222,0.222222222,,,,,,,,FALSE,40
40,2,0.93452381,0.982142857,1.018518519,0.369047619,0.375757576,0.369047619,0.382716049,,,,,,,,FALSE,40
40,3,1,1,1,0.19047619,0.19047619,0.19047619,0.19047619,0.047618872,0.142856933,1,,,,,FALSE,40
41,1,0.958333333,0.958333333,1.045454545,0.305555556,0.31884058,0.305555556,0.333333333,,,,,,,,FALSE,41
41,2,0.916666667,1,1,0.333333333,0.333333333,0.333333333,0.333333333,,,,,,,,FALSE,41
41,3,1,1,1,0.233333333,0.233333333,0.233333333,0.233333333,0.11111094,0.141666523,1.016949128,,,,,FALSE,41
42,1,0.944444444,1,1,0.333333333,0.333333333,0.333333333,0.333333333,,,,,,,,FALSE,42
42,2,0.951923077,1,1,0.25,0.25,0.25,0.25,,,,,,,,FALSE,42
42,3,0.981481481,1,1,0.296296296,0.296296296,0.296296296,0.296296296,0.066666498,0.104938043,0.990825705,,,,,FALSE,42
43,1,0.93452381,0.982142857,1.018518519,0.369047619,0.375757576,0.369047619,0.382716049,,,,,,,,FALSE,43
43,2,1,1,1,0.287878788,0.287878788,0.287878788,0.287878788,,,,,,,,FALSE,43
43,3,0.958333333,1,1,0.25,0.25,0.25,0.25,0.015151458,0.045454424,1,,,,,FALSE,43
44,1,0.961538462,1,1,0.333333333,0.333333333,0.333333333,0.333333333,,,,,,,,FALSE,44
44,2,0.938888889,1,1,0.322222222,0.322222222,0.322222222,0.322222222,,,,,,,,FALSE,44
