Trial,統合した解の中心の総和,t_L,t_U,DM1,DM1の式1の最適値,DM1の積,DM1の式10の最適値,DM2,DM2の式1の最適値,DM2の積,DM2の式10の最適値,DM3,DM3の式1の最適値,DM3の積,DM3の式10の最適値
107,1.0540541035300408,0.9999999999999998,1.0,1.0328185037365365,0.33928571428571463,0.3667953564671817,0.35514018691588833,1.040540536089339,0.3250000000000004,0.35135134984834937,0.3376623376623388,0.9729731189189486,0.32352941176470573,0.32432437297298333,0.3333333333333338
199,1.0000000349639708,1.0000000000000002,1.0000000000000002,0.9791667045849669,0.29166666666666663,0.29166667796147927,0.2978723404255317,0.9553571799545134,0.3392857142857144,0.33928572746048136,0.3551401869158878,1.0000000215384623,0.17857142857143038,0.1785714324175828,0.17857142857142883
313,1.0067567671094606,0.9933333232548616,1.0067567671094604,1.0022522669895593,0.2888888888888894,0.2927927970980729,0.29213483146067354,1.0135134971441844,0.3043478260869563,0.3153153102226345,0.31111111111111045,1.0180180226019215,0.2956521739130441,0.30630630768553474,0.3008849557522132
345,1.0135135572447604,1.0,1.0000000000000002,1.013513529026871,0.3043478260869559,0.315315320141691,0.3111111111111089,1.0328185472338207,0.3392857142857144,0.3667953719148141,0.3551401869158871,1.006756764882514,0.27999999999999936,0.28378378607426596,0.28187919463087274
363,0.9909910122655831,0.9999999999999998,1.0000000000000002,1.0405405502280787,0.3250000000000002,0.3513513546224692,0.33766233766233866,1.0135134465358424,0.21739130434782572,0.2252252103412982,0.2222222222222221,1.040540550228084,0.3249999999999994,0.3513513546224699,0.33766233766233766
500,1.0000000085185192,0.9999999999999998,1.0,0.9999999479922085,0.16521739130434732,0.1652173827117559,0.16521739130434754,1.0043478185311003,0.32307692307692304,0.33913043223128053,0.33766233766233755,1.0000000042592596,0.3478260869565224,0.34782608843800433,0.34782608695652273
506,1.000000008157353,0.9999999910455816,1.0000000089544188,0.9826087041348475,0.29565217391304244,0.2956521764653519,0.30088495575221197,1.000000008157353,0.26086956521739135,0.2608695673453965,0.26086956521739135,0.9826087041348469,0.2956521739130441,0.29565217646535297,0.3008849557522132
659,1.0000000172459975,0.9999999827540028,1.0000000172459973,0.9687500013884027,0.31250000000000067,0.3125000004478718,0.32258064516129026,1.0000000172459975,0.1499999999999997,0.15000000258689955,0.1499999999999999,0.9687500013884027,0.31250000000000067,0.3125000004478718,0.32258064516129026
743,1.0000000241314948,0.9999999889795917,1.0000000110204086,1.0227272713575517,0.21739130434782572,0.2272727269683447,0.2222222222222221,0.9999999709183666,0.21212121212121127,0.2121212059523806,0.21212121212121193,1.0000000471428583,0.21212121212121127,0.21212122212121218,0.21212121212121193
776,0.9532967319277482,0.9999999999999996,1.0,0.9830769687145394,0.2148148148148149,0.21846154860323108,0.22222222222222232,1.0,0.3333333333333327,0.3333333333333337,0.3333333333333337,1.000000052000001,0.1923076923076925,0.19230770230769226,0.19230769230769207
799,0.9583333496875003,0.9999999999999998,1.0,0.9999999971428571,0.16666666666666696,0.16666666619047615,0.16666666666666663,1.0416666684151787,0.3684210526315794,0.4166666673660719,0.40000000000000036,0.9624999946604167,0.32307692307692304,0.3249999981970237,0.33766233766233755
811,1.0000000733333367,0.9999999999999998,1.0000000000000002,1.0000000366666684,0.2727272727272724,0.27272728272727337,0.27272727272727293,0.9848485526252138,0.21212121212121193,0.21212122671927694,0.2153846153846155,1.0000000261904796,0.21212121212121127,0.2121212176767682,0.21212121212121193
838,1.0217391396953817,0.9791666581617069,1.0217391396953819,1.0217391396953817,0.2916666666666664,0.3043478288454328,0.2978723404255319,1.0043478352643247,0.3250000000000002,0.3391304378814604,0.3376623376623378,1.0043478352643247,0.3250000000000002,0.3391304378814604,0.3376623376623378
967,0.964285745375001,1.0000000000000004,0.9999999999999998,0.9999999999999998,0.2142857142857144,0.2142857142857139,0.21428571428571397,1.0178571694910723,0.30769230769230804,0.3214285798392861,0.3157894736842106,1.0,0.21428571428571375,0.2142857142857144,0.2142857142857144
