PCM_Identifiers,entani論文のPerfectIncorporation,中心総和1のPerfectIncorporation,解の非唯一性考慮のPerfectIncorporation,entani論文のCommonGround,中心総和1のCommonGround,解の非唯一性考慮のCommonGround,entani論文のPartialIncorporation,中心総和1のPartialIncorporation,解の非唯一性考慮のPartialIncorporation
"Any[""Trial-1_PCM-1"", ""Trial-1_PCM-2"", ""Trial-1_PCM-3""]",36.569153071873544,37.25294156893622,36.11781254444809,Error,Error,Error,5.749529585838886,7.295982519108028,6.119921501239229
"Any[""Trial-2_PCM-1"", ""Trial-2_PCM-2"", ""Trial-2_PCM-3""]",30.699022032165573,30.037417739023297,27.631021115928462,Error,Error,10.750556815368478,2.6416898797283768,0.9434623104161588,0.0
"Any[""Trial-3_PCM-1"", ""Trial-3_PCM-2"", ""Trial-3_PCM-3""]",32.22494434400968,45.62044798137124,30.03708566248078,Error,Error,9.73116259459612,3.4999938873171437,6.162645939592803,0.0
"Any[""Trial-4_PCM-1"", ""Trial-4_PCM-2"", ""Trial-4_PCM-3""]",23.783462454073078,20.420578735226357,19.068322982087746,Error,Error,12.476649250079117,2.1469028911045784,0.3374071994153094,0.0
"Any[""Trial-5_PCM-1"", ""Trial-5_PCM-2"", ""Trial-5_PCM-3""]",31.824141027077122,33.943976887434886,31.032653796794786,Error,Error,Error,5.919212345859402,6.534046945555877,1.431979864363837
"Any[""Trial-6_PCM-1"", ""Trial-6_PCM-2"", ""Trial-6_PCM-3""]",36.62272632926971,51.99184484961856,37.20366764695696,Error,Error,Error,3.323072588842428,6.812703306189592,5.757386719634612
"Any[""Trial-7_PCM-1"", ""Trial-7_PCM-2"", ""Trial-7_PCM-3""]",33.6380875772276,33.84034982989959,32.88383354005216,Error,Error,Error,3.8551002098372873,5.902088530414689,2.2979535135374753
"Any[""Trial-8_PCM-1"", ""Trial-8_PCM-2"", ""Trial-8_PCM-3""]",29.95075323778594,36.299852397011996,30.525578011393428,Error,Error,Error,4.561328732800833,1.8574605705888132,0.7066982139375355
"Any[""Trial-9_PCM-1"", ""Trial-9_PCM-2"", ""Trial-9_PCM-3""]",30.93571739047855,29.267013585557685,28.724950456692262,Error,Error,12.476649250079085,1.8294968966848915,0.667842582803527,0.0
"Any[""Trial-10_PCM-1"", ""Trial-10_PCM-2"", ""Trial-10_PCM-3""]",35.54760255038274,42.45546356065972,36.83838943138156,Error,Error,Error,3.8697067535222702,7.532236213424084,5.355538668804114
"Any[""Trial-11_PCM-1"", ""Trial-11_PCM-2"", ""Trial-11_PCM-3""]",37.3478382216667,38.417533139977365,38.136645964175926,Error,Error,Error,6.442105892611756,7.8965657318463816,5.884975518070824
"Any[""Trial-12_PCM-1"", ""Trial-12_PCM-2"", ""Trial-12_PCM-3""]",37.38076714693942,44.40818186718215,38.136645964175585,Error,Error,Error,5.743109922043221,4.229558551560585,4.158883083359697
"Any[""Trial-13_PCM-1"", ""Trial-13_PCM-2"", ""Trial-13_PCM-3""]",29.75111575774364,31.098526620762367,27.63102111592855,Error,Error,10.750556815367768,1.9523157078601874,3.588019626463659,0.0
"Any[""Trial-14_PCM-1"", ""Trial-14_PCM-2"", ""Trial-14_PCM-3""]",37.38065996259833,41.5495729849931,38.13664596417426,Error,Error,Error,4.342422580221788,8.546021924788189,4.570439832151699
"Any[""Trial-15_PCM-1"", ""Trial-15_PCM-2"", ""Trial-15_PCM-3""]",30.68756790603617,34.357254055482194,32.01724767721596,Error,Error,Error,4.131526336209955,6.421056486249974,3.7140978893713927
"Any[""Trial-16_PCM-1"", ""Trial-16_PCM-2"", ""Trial-16_PCM-3""]",35.60943852054028,130.96136802249455,37.685305436748685,Error,Error,Error,5.603284396851437,8.616973533474718,4.899043113833164
"Any[""Trial-17_PCM-1"", ""Trial-17_PCM-2"", ""Trial-17_PCM-3""]",31.77448557125312,132.84504946997396,33.59053175398989,Error,Error,7.795697904782779,2.418078749165342,6.6783705002266185,0.0
"Any[""Trial-18_PCM-1"", ""Trial-18_PCM-2"", ""Trial-18_PCM-3""]",38.12655344707754,154.292359750703,38.13664596417479,Error,Error,Error,5.075697798947452,6.230034914773784,2.7653294164558964
"Any[""Trial-19_PCM-1"", ""Trial-19_PCM-2"", ""Trial-19_PCM-3""]",37.99434680447129,38.04869172911447,35.31662418870154,Error,Error,4.15888308335926,4.388822573944099,4.795979248875657,0.0
"Any[""Trial-20_PCM-1"", ""Trial-20_PCM-2"", ""Trial-20_PCM-3""]",34.64068663844366,140.20684115656894,35.7465601221391,Error,Error,Error,8.787127413851895,5.623061080700882,4.158883083359353
"Any[""Trial-21_PCM-1"", ""Trial-21_PCM-2"", ""Trial-21_PCM-3""]",29.34966244544752,120.22640916657076,27.596617864544932,Error,Error,Error,1.78229893473261,4.053743120662238,0.27828958650681557
"Any[""Trial-22_PCM-1"", ""Trial-22_PCM-2"", ""Trial-22_PCM-3""]",30.743783876419585,128.82496894390914,33.51599663399742,Error,Error,Error,5.564905367079236,9.92035295856814,8.92846233257787
"Any[""Trial-23_PCM-1"", ""Trial-23_PCM-2"", ""Trial-23_PCM-3""]",39.125399580738026,46.257482586114705,39.817428860302016,Error,Error,Error,5.21220952777894,8.837203587021754,3.5153079591870533
"Any[""Trial-24_PCM-1"", ""Trial-24_PCM-2"", ""Trial-24_PCM-3""]",27.191388076369012,29.982294431889883,28.018252242754073,Error,Error,6.59167373200912,3.712486511270409,1.6817233600800803,0.0
"Any[""Trial-25_PCM-1"", ""Trial-25_PCM-2"", ""Trial-25_PCM-3""]",31.360342280166165,38.68352351023014,29.424877590351862,Error,Error,Error,9.01895220755516,7.187826038829965,5.497744391244976
"Any[""Trial-26_PCM-1"", ""Trial-26_PCM-2"", ""Trial-26_PCM-3""]",30.678386369328987,30.466040234476374,27.38608914880901,Error,Error,12.476649250079898,3.4521848694182053,6.1445572711996155,0.0
"Any[""Trial-27_PCM-1"", ""Trial-27_PCM-2"", ""Trial-27_PCM-3""]",31.72613147218859,34.10868430735435,28.724950456692152,Error,Error,14.909439898727994,2.6223568411581626,4.241069330621668,0.0
"Any[""Trial-28_PCM-1"", ""Trial-28_PCM-2"", ""Trial-28_PCM-3""]",24.686600794132094,25.22162426014118,23.227206065447522,Error,Error,14.90943989872795,2.34546333532355,1.741377509467457,0.0
"Any[""Trial-29_PCM-1"", ""Trial-29_PCM-2"", ""Trial-29_PCM-3""]",34.06846620357255,36.75822974405458,32.793115669471064,Error,Error,Error,6.155699377367172,3.8526560798485296,3.5155985775172036
"Any[""Trial-30_PCM-1"", ""Trial-30_PCM-2"", ""Trial-30_PCM-3""]",31.75839478084503,37.15721259009662,30.451042891401762,Error,Error,7.516577810973244,1.819117553926879,3.190222175733462,0.0
"Any[""Trial-31_PCM-1"", ""Trial-31_PCM-2"", ""Trial-31_PCM-3""]",40.42036637284227,134.61292351237094,40.33301483984623,Error,Error,Error,4.310789931265753,7.9780148510774564,5.497744391244863
"Any[""Trial-32_PCM-1"", ""Trial-32_PCM-2"", ""Trial-32_PCM-3""]",22.8269492473092,23.71112377185123,22.133276724683572,Error,Error,14.909439898728037,0.8870332062249346,0.6703190994196833,0.0
"Any[""Trial-33_PCM-1"", ""Trial-33_PCM-2"", ""Trial-33_PCM-3""]",31.679809367277727,32.850601968810444,30.088554067680178,Error,Error,Error,6.115211817036553,6.624576889538271,5.761259794852929
"Any[""Trial-34_PCM-1"", ""Trial-34_PCM-2"", ""Trial-34_PCM-3""]",36.59561013888921,36.03477238833689,33.92797006392759,Error,Error,Error,6.333729571878013,8.32276788324092,3.9989954344612895
"Any[""Trial-35_PCM-1"", ""Trial-35_PCM-2"", ""Trial-35_PCM-3""]",33.74919497556114,45.34677842008222,32.30558589011072,Error,Error,Error,6.450694624946041,5.531932517932775,5.497744391244911
"Any[""Trial-36_PCM-1"", ""Trial-36_PCM-2"", ""Trial-36_PCM-3""]",36.171624564344725,39.4211610563652,37.64321737475214,Error,Error,Error,4.5479267310065,4.487888998891931,1.7468321719162265
"Any[""Trial-37_PCM-1"", ""Trial-37_PCM-2"", ""Trial-37_PCM-3""]",36.87370250837982,37.65397339794475,35.436088110629505,Error,Error,Error,2.7440793931362295,6.691215406035385,1.495477051302852
"Any[""Trial-38_PCM-1"", ""Trial-38_PCM-2"", ""Trial-38_PCM-3""]",36.17522925054525,131.63517639742372,37.04271662341162,Error,Error,Error,7.568523554215707,8.422802763368004,5.294633738208164
"Any[""Trial-39_PCM-1"", ""Trial-39_PCM-2"", ""Trial-39_PCM-3""]",29.280150215845893,43.58621316096277,30.206110924281234,Error,Error,10.107968002030626,1.2791643674311022,3.5152396785544266,0.0
"Any[""Trial-40_PCM-1"", ""Trial-40_PCM-2"", ""Trial-40_PCM-3""]",38.74885403630447,44.43425771394329,37.475536136384775,Error,Error,Error,3.7211516777168536,8.880946142888387,3.139488862586623
"Any[""Trial-41_PCM-1"", ""Trial-41_PCM-2"", ""Trial-41_PCM-3""]",33.20330062716308,37.81931967825873,32.361765278113964,Error,Error,Error,6.759233971213856,6.6878041839780655,5.354614724237534
"Any[""Trial-42_PCM-1"", ""Trial-42_PCM-2"", ""Trial-42_PCM-3""]",34.14678814261575,40.03081387495092,36.36274451156923,Error,Error,Error,5.903977466746788,8.572540942248953,7.0629977603938645
"Any[""Trial-43_PCM-1"", ""Trial-43_PCM-2"", ""Trial-43_PCM-3""]",34.29687553605358,47.62325950285073,35.11442467802504,Error,Error,Error,3.2303350098499717,5.643162722641964,1.7260924347105568
"Any[""Trial-44_PCM-1"", ""Trial-44_PCM-2"", ""Trial-44_PCM-3""]",33.77951203760732,36.03819934825924,32.8838335400519,Error,Error,Error,7.156308238412938,3.9431188069720364,2.6777226157706124
"Any[""Trial-45_PCM-1"", ""Trial-45_PCM-2"", ""Trial-45_PCM-3""]",31.709371678361855,38.31220396338317,33.59053175399029,Error,Error,7.342652589733019,2.8554813993668122,2.3822521555348883,0.0
"Any[""Trial-46_PCM-1"", ""Trial-46_PCM-2"", ""Trial-46_PCM-3""]",31.77202691966366,34.759005933665,34.549623959641686,Error,Error,Error,3.901853598602678,4.54626726945717,2.0576685067605176
"Any[""Trial-47_PCM-1"", ""Trial-47_PCM-2"", ""Trial-47_PCM-3""]",35.87141555473377,37.3958037917291,35.13580162217949,Error,Error,Error,3.7275352025193507,5.732368472469158,1.759040895150139
"Any[""Trial-48_PCM-1"", ""Trial-48_PCM-2"", ""Trial-48_PCM-3""]",30.804698105203016,42.56245245980339,33.271064666880726,Error,Error,Error,4.304424949232435,5.105610392997443,4.158883083361274
"Any[""Trial-49_PCM-1"", ""Trial-49_PCM-2"", ""Trial-49_PCM-3""]",34.131516166649575,33.79083488060171,32.99392837206162,Error,Error,Error,7.505937251677885,5.52868889818034,4.1588830833599895
"Any[""Trial-50_PCM-1"", ""Trial-50_PCM-2"", ""Trial-50_PCM-3""]",33.71136398560184,33.4498001578705,30.739912811778183,Error,Error,Error,5.7117048782759525,4.354238341456927,1.4319798643642634
