Trial,PCM,式1の解の中心の総和,式5の解に対するt_L,式1の最適値,式5の最適値とt_Lの積,式1の最適値と式1の解の中心の総和の商,式5の最適値
2,1,1.0,1.0000000000000004,0.15686274509804057,0.15686274509803919,0.15686274509804057,0.1568627450980391
2,2,1.0,1.0000000000000002,0.1774193548387093,0.17741935483871,0.1774193548387093,0.17741935483870996
2,3,0.9999999999999996,1.0,0.1818181818181821,0.18181818181818188,0.18181818181818218,0.18181818181818188
3,1,1.0000000000000002,1.0,0.3076923076923076,0.3076923076923077,0.30769230769230754,0.3076923076923077
3,2,0.9999999999999999,1.0000000000000002,0.1666666666666662,0.166666666666667,0.16666666666666624,0.16666666666666696
3,3,0.9999999999999996,0.9999999999999998,0.13333333333333391,0.13333333333333328,0.13333333333333397,0.1333333333333333
6,1,0.9166666666666663,0.9999999999999996,0.3333333333333338,0.3333333333333333,0.3636363636363643,0.3333333333333335
6,2,0.9999999999999998,1.0000000000000004,0.20512820512820568,0.20512820512820526,0.20512820512820573,0.20512820512820518
6,3,0.9791666666666661,0.9791666666666665,0.29166666666666696,0.29166666666666663,0.2978723404255324,0.2978723404255319
8,1,0.9843749999999989,1.0000000000000004,0.21875,0.21874999999999997,0.22222222222222246,0.2187499999999999
8,2,0.9999999999999996,1.0,0.09090909090909116,0.09090909090909116,0.0909090909090912,0.09090909090909116
8,3,0.9687499999999989,1.0,0.1875000000000011,0.18750000000000044,0.19354838709677555,0.18750000000000044
9,1,0.9687499999999992,1.0,0.2500000000000008,0.24999999999999756,0.25806451612903325,0.24999999999999756
9,2,0.999999999999999,1.0,0.18181818181818257,0.18181818181818188,0.18181818181818277,0.18181818181818188
9,3,1.0,1.0000000000000004,0.20000000000000065,0.20000000000000004,0.20000000000000065,0.19999999999999996
10,1,0.9999999999999998,1.0,0.16666666666666663,0.16666666666666674,0.16666666666666666,0.16666666666666674
10,2,0.9999999999999999,1.0000000000000002,0.1250000000000007,0.12500000000000003,0.12500000000000072,0.125
10,3,0.9999999999999996,0.9999999999999998,0.13333333333333391,0.13333333333333328,0.13333333333333397,0.1333333333333333
11,1,0.9696969696969691,0.96969696969697,0.24242424242424204,0.24242424242424238,0.24999999999999978,0.2499999999999999
11,2,0.9583333333333328,1.0000000000000002,0.2500000000000012,0.24999999999999983,0.26086956521739274,0.24999999999999978
11,3,0.9999999999999992,1.0000000000000002,0.11111111111111324,0.11111111111111119,0.11111111111111333,0.11111111111111116
16,1,1.0000000000000007,1.0,0.3529411764705891,0.3529411764705884,0.35294117647058887,0.3529411764705884
16,2,0.999999999999999,1.0,0.18181818181818257,0.18181818181818188,0.18181818181818277,0.18181818181818188
16,3,0.9583333333333335,1.0000000000000002,0.2499999999999999,0.2500000000000005,0.26086956521739113,0.25000000000000044
17,1,0.9679487179487174,0.9833333333333334,0.166666666666668,0.16666666666666635,0.17218543046357762,0.16949152542372847
17,2,0.9555555555555555,1.0,0.2888888888888889,0.3015873015873025,0.3023255813953489,0.3015873015873025
17,3,0.9999999999999997,1.0000000000000002,0.1428571428571432,0.14285714285714282,0.14285714285714327,0.1428571428571428
18,1,0.9583333333333335,1.0000000000000002,0.2499999999999999,0.2500000000000005,0.26086956521739113,0.25000000000000044
18,2,0.9999999999999996,1.0,0.16666666666666735,0.16666666666666696,0.16666666666666743,0.16666666666666696
18,3,0.958333333333333,1.0000000000000002,0.25,0.25000000000000006,0.2608695652173914,0.25
19,1,1.0,1.0,0.240740740740741,0.2407407407407407,0.240740740740741,0.2407407407407407
19,2,0.9722222222222228,1.0000000000000002,0.27777777777777796,0.27777777777777773,0.28571428571428575,0.2777777777777777
