entani論文のPerfectIncorporation,中心総和1のPerfectIncorporation,解の非唯一性考慮のPerfectIncorporation,entani論文のCommonGround,中心総和1のCommonGround,解の非唯一性考慮のCommonGround,entani論文のPartialIncorporation,中心総和1のPartialIncorporation,解の非唯一性考慮のPartialIncorporation
26.75292897546906,31.180500302985884,36.29410127658292,Error,Error,Error,4.367931595195164,5.320645891736092,5.405914941765443
24.623004783772267,102.94550875273859,27.05601112563546,Error,Error,Error,3.3636556236842017,6.692441356329523,6.370236325966002
27.714140633701625,112.44304138385908,30.042757413896624,Error,Error,Error,5.691651615392779,10.299370904120302,5.584683561010381
20.834430181112236,21.855253104694228,21.8768127524664,Error,Error,Error,4.153723099627532,5.946347351441286,6.304819984889774
20.944317348761203,16.871103246759343,16.917077952823284,Error,Error,4.151520207779953,0.9775209023077591,0.6907516924041646,0.0
20.246832834695375,96.7489240342586,19.944920232821325,Error,Error,Error,4.7901032660633565,4.0467259650421585,3.465735902799698
25.09301731872728,28.08727728184039,27.97516381769323,Error,Error,Error,4.529267369903135,5.269560548751104,5.362999094945735
21.48642703109327,97.28709245824994,22.633124754984202,Error,Error,Error,2.1714071894115494,2.54287497594912,1.6800269579363813
30.928872509526435,39.856049181744574,33.23503044445012,Error,Error,Error,2.2447511002392204,6.562235402435867,3.5862236606949995
23.25709320218524,28.376705436540874,28.65250924647725,Error,Error,Error,3.012206331477797,2.423071003547551,1.6119925470466934
24.52637389219251,33.521973010371696,25.194030855316505,Error,Error,Error,3.942286801822089,4.24760331427888,3.549771494382412
21.781486943540436,26.18834946691679,24.244997746911807,Error,Error,Error,3.2620819296476613,3.5307809387975073,2.8145432476180976
25.59014621941706,32.22740558785297,30.422053298087043,Error,Error,Error,5.245187515191084,6.374571569715153,5.368846008970506
20.392981026269624,26.09108258824964,22.07534220936673,Error,Error,Error,3.0253409051295224,5.602084617264886,3.964048375521333
19.756447479981873,25.46017091182911,21.854883992437397,Error,Error,Error,2.5738076494361097,5.199024331596062,3.654976049506443
22.49904835165171,25.9983790056936,23.493425165868025,Error,Error,Error,6.144727879982898,7.784618899065466,6.703013713321555
28.871921049787943,31.863264084572805,29.589623553364067,Error,Error,Error,5.076459708486205,6.856309031018615,5.341761417627313
