Trial,PCM,式1の解の中心の総和,式10の解に対するt_L,式1の最適値,式10の最適値とt_Lの積,式1の最適値と式1の解の中心の総和の商,式10の最適値
1,1,0.9999999999999998,0.9999999999999998,0.2051282051282059,0.205128205128205,0.20512820512820595,0.20512820512820507
1,2,0.9999999999999998,1.0,0.2,0.20000000000000062,0.20000000000000007,0.20000000000000062
1,3,0.9552845528455288,1.0000000000000002,0.3821138211382107,0.40000000000000036,0.39999999999999913,0.40000000000000024
2,1,1.0000000000000002,0.9999999999999996,0.16666666666666652,0.16666666666666644,0.1666666666666665,0.16666666666666652
2,2,0.9266666666666667,1.0,0.413333333333337,0.43720930232558164,0.4460431654676298,0.43720930232558164
2,3,0.9999999999999994,1.000000000000001,0.25925925925926036,0.2592592592592577,0.2592592592592605,0.2592592592592574
4,1,1.0,1.0,0.17204301075268835,0.17204301075268824,0.17204301075268835,0.17204301075268824
4,2,0.94375,1.0,0.2624999999999991,0.26249999999999973,0.2781456953642375,0.26249999999999973
4,3,0.9444444444444438,1.0000000000000004,0.222222222222223,0.22222222222222243,0.2352941176470598,0.22222222222222232
6,1,0.9999999999999994,1.0000000000000004,0.10000000000000014,0.09999999999999991,0.1000000000000002,0.09999999999999987
6,2,0.9354838709677421,0.9558823529411766,0.3225806451612906,0.32352941176470607,0.3448275862068968,0.3384615384615386
6,3,0.9782608695652177,0.9782608695652194,0.21739130434782586,0.21739130434782664,0.2222222222222219,0.22222222222222232
8,1,0.942424242424242,0.9999999999999996,0.2363636363636369,0.23636363636363644,0.250803858520901,0.23636363636363655
8,2,0.9548387096774191,0.9548387096774195,0.2838709677419369,0.28387096774193527,0.2972972972972988,0.29729729729729704
8,3,0.9948453608247423,1.0000000000000002,0.13402061855670136,0.1343283582089553,0.1347150259067361,0.13432835820895528
9,1,1.0000000000000002,0.9999999999999996,0.2222222222222225,0.22222222222222265,0.22222222222222243,0.22222222222222276
9,2,0.9999999999999999,0.9999999999999998,0.11290322580645193,0.1129032258064517,0.11290322580645194,0.11290322580645173
9,3,0.9625,0.9625000000000002,0.3250000000000002,0.3250000000000003,0.33766233766233783,0.3376623376623379
12,1,0.9999999999999998,1.0,0.21052631578947434,0.210526315789474,0.2105263157894744,0.210526315789474
12,2,0.9999999999999998,1.0000000000000002,0.11764705882352956,0.11764705882352958,0.11764705882352959,0.11764705882352955
12,3,0.9791666666666661,1.0,0.16666666666666616,0.1666666666666664,0.1702127659574464,0.1666666666666664
13,1,0.9642857142857142,1.0,0.27142857142857135,0.27428571428571413,0.28148148148148144,0.27428571428571413
13,2,0.9011299435028248,0.9999999999999996,0.4011299435028245,0.4202898550724638,0.4451410658307206,0.42028985507246397
13,3,0.9999999999999982,1.0,0.15053763440860507,0.15053763440860268,0.15053763440860535,0.15053763440860268
14,1,0.9999999999999997,1.0000000000000007,0.1720430107526884,0.1720430107526888,0.17204301075268846,0.17204301075268869
14,2,1.0,1.0,0.22222222222222254,0.2222222222222221,0.22222222222222254,0.2222222222222221
14,3,0.9473684210526314,0.9999999999999996,0.3157894736842105,0.31578947368421023,0.33333333333333337,0.3157894736842104
15,1,0.9999999999999999,1.0,0.26666666666666705,0.2666666666666666,0.2666666666666671,0.2666666666666666
15,2,1.0,1.0000000000000002,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.33333333333333326
15,3,0.9750000000000002,1.0,0.2500000000000009,0.2553191489361696,0.2564102564102573,0.2553191489361696
16,1,0.9999999999999997,1.0,0.21333333333333432,0.21333333333333382,0.2133333333333344,0.21333333333333382
16,2,0.9715447154471545,1.0000000000000002,0.3495934959349588,0.35862068965517274,0.35983263598326304,0.3586206896551727
16,3,0.9166666666666665,0.9166666666666667,0.4166666666666667,0.41666666666666635,0.45454545454545464,0.45454545454545414
17,1,0.9999999999999998,0.9999999999999998,0.27513227513227567,0.27513227513227506,0.2751322751322757,0.2751322751322751
17,2,0.9999999999999991,1.0,0.24242424242424399,0.242424242424242,0.2424242424242442,0.242424242424242
17,3,0.9861111111111114,0.9999999999999998,0.3055555555555557,0.30555555555555575,0.3098591549295775,0.3055555555555558
18,1,0.9999999999999993,1.0,0.17204301075268885,0.17204301075268857,0.17204301075268896,0.17204301075268857
18,2,1.0000000000000002,0.9999999999999996,0.2222222222222225,0.22222222222222265,0.22222222222222243,0.22222222222222276
18,3,0.9999999999999994,1.0,0.1935483870967752,0.1935483870967739,0.1935483870967753,0.1935483870967739
24,1,0.9999999999999998,1.0,0.22222222222222285,0.222222222222222,0.2222222222222229,0.222222222222222
24,2,0.9365079365079366,1.0,0.34920634920634896,0.3651685393258426,0.37288135593220306,0.3651685393258426
24,3,0.9618226600985219,0.9999999999999996,0.2832512315270941,0.28653295128939804,0.29449423815621056,0.28653295128939815
29,1,0.9729729729729728,1.0000000000000002,0.21621621621621576,0.21621621621621595,0.2222222222222218,0.2162162162162159
29,2,0.9999999999999994,1.0000000000000002,0.18181818181818205,0.1818181818181819,0.18181818181818216,0.18181818181818188
29,3,0.9999999999999987,1.0000000000000002,0.19354838709677624,0.19354838709677463,0.1935483870967765,0.19354838709677458
32,1,0.9326923076923076,0.9999999999999998,0.4423076923076924,0.44230769230769196,0.4742268041237115,0.44230769230769207
32,2,1.0,1.0000000000000002,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.33333333333333326
32,3,1.0,1.0,0.1617647058823529,0.16176470588235237,0.1617647058823529,0.16176470588235237
33,1,0.9769230769230766,0.976923076923077,0.3538461538461539,0.35384615384615403,0.362204724409449,0.36220472440944895
