Trial,PCM,式1の解の中心の総和,式10の解に対するt_L,式10の解に対するt_U,式1の最適値,式10の最適値,式10の最適値とt_Lの積,式10の最適値とt_Uの積,式2の最適値,式20の最適値,式20のt,,,,,式(1)の最適値が式(10)の最適値のt_L倍より小さい,式(1)の最適値が式(10)の最適値のt_L倍より大きい
27,2,0.960606061,0.992307692,1.0078125,0.321212121,0.325581395,0.323076923,0.328125,,,,,,,,27,FALSE
27,3,1,1,1,0.213333333,0.213333333,0.213333333,0.213333333,0.623029583,0.679494335,0.994126246,,,,,FALSE,27
28,1,0.99,1,1,0.32,0.32,0.32,0.32,,,,,,,,FALSE,28
28,2,1,1,1,0.242424242,0.242424242,0.242424242,0.242424242,,,,,,,,FALSE,28
28,3,0.96875,1,1,0.3125,0.321428571,0.321428571,0.321428571,0.659847893,0.682834798,0.986789365,,,,,28,FALSE
29,1,0.96969697,1,1,0.303030303,0.307692308,0.307692308,0.307692308,,,,,,,,29,FALSE
29,2,0.996598639,0.996598639,1.003424658,0.292517007,0.293515358,0.292517007,0.294520548,,,,,,,,FALSE,29
29,3,0.938271605,1,1,0.271604938,0.285714286,0.285714286,0.285714286,0.631553249,0.633176036,0.966127243,,,,,29,FALSE
30,1,1,1,1,0.28,0.28,0.28,0.28,,,,,,,,FALSE,30
30,2,0.96875,0.96875,1.033333333,0.3125,0.322580645,0.3125,0.333333333,,,,,,,,FALSE,30
30,3,0.97826087,0.97826087,1.022727273,0.304347826,0.311111111,0.304347826,0.318181818,0.462608481,0.462608594,1.018600585,,,,,FALSE,30
32,1,0.902298851,0.976190476,1.025,0.333333333,0.341463415,0.333333333,0.35,,,,,,,,FALSE,32
32,2,1,1,1,0.148148148,0.148148148,0.148148148,0.148148148,,,,,,,,FALSE,32
32,3,0.982142857,1,1,0.25,0.25,0.25,0.25,0.447089894,0.544311967,0.993756117,,,,,FALSE,32
35,1,0.981481481,1,1,0.185185185,0.186046512,0.186046512,0.186046512,,,,,,,,35,FALSE
35,2,0.977966102,1,1,0.349152542,0.35483871,0.35483871,0.35483871,,,,,,,,35,FALSE
35,3,0.967391304,1,1,0.239130435,0.243902439,0.243902439,0.243902439,0.587886825,0.669080059,0.981841956,,,,,35,FALSE
36,1,1,1,1,0.207692308,0.207692308,0.207692308,0.207692308,,,,,,,,FALSE,36
36,2,0.962962963,1,1,0.222222222,0.224,0.224,0.224,,,,,,,,36,FALSE
36,3,0.993333333,0.993333333,1.006756757,0.28,0.281879195,0.28,0.283783784,0.451851787,0.495999881,0.964747621,,,,,FALSE,36
37,1,1,1,1,0.206349206,0.206349206,0.206349206,0.206349206,,,,,,,,FALSE,37
37,2,1,1,1,0.206349206,0.206349206,0.206349206,0.206349206,,,,,,,,FALSE,37
37,3,0.933333333,1,1,0.355555556,0.358974359,0.358974359,0.358974359,0.510316967,0.587301519,0.993630593,,,,,37,FALSE
38,1,1,1,1,0.214285714,0.214285714,0.214285714,0.214285714,,,,,,,,FALSE,38
