Trial-1_PCM-1
1.0,1.0,3.0,1.0,[0.29999999999999993, 0.29999999999999993]
1.0,1.0,3.0,1.0,[0.29999999999999993, 0.3]
0.3333333333333333,0.3333333333333333,1.0,1.0,[0.09999999999999964, 0.2000000000000001]
1.0,1.0,1.0,1.0,[0.2000000000000003, 0.3]

Trial-1_PCM-2
1.0,1.0,2.0,1.0,[0.3076923076923076, 0.30769230769230765]
1.0,1.0,4.0,1.0,[0.30769230769230765, 0.30769230769230776]
0.5,0.25,1.0,1.0,[0.07692307692307698, 0.19230769230769237]
1.0,1.0,1.0,1.0,[0.19230769230769235, 0.3076923076923076]

Trial-1_PCM-3
1.0,1.0,1.0,1.0,[0.25000000000000006, 0.25000000000000006]
1.0,1.0,2.0,1.0,[0.25000000000000006, 0.3333333333333333]
1.0,0.5,1.0,1.0,[0.16666666666666663, 0.25]
1.0,1.0,1.0,1.0,[0.24999999999999994, 0.24999999999999997]

Trial-2_PCM-1
1.0,1.0,2.0,1.0,[0.30000000000000004, 0.30000000000000004]
1.0,1.0,3.0,1.0,[0.29999999999999993, 0.29999999999999993]
0.5,0.3333333333333333,1.0,1.0,[0.10000000000000031, 0.19999999999999984]
1.0,1.0,1.0,1.0,[0.19999999999999973, 0.30000000000000004]

Trial-2_PCM-2
1.0,1.0,2.0,1.0,[0.30000000000000004, 0.30000000000000004]
1.0,1.0,3.0,1.0,[0.29999999999999993, 0.29999999999999993]
0.5,0.3333333333333333,1.0,1.0,[0.10000000000000031, 0.19999999999999984]
1.0,1.0,1.0,1.0,[0.19999999999999973, 0.30000000000000004]

Trial-2_PCM-3
1.0,1.0,2.0,1.0,[0.3076923076923076, 0.30769230769230765]
1.0,1.0,4.0,1.0,[0.30769230769230765, 0.30769230769230776]
0.5,0.25,1.0,1.0,[0.07692307692307698, 0.19230769230769237]
1.0,1.0,1.0,1.0,[0.19230769230769235, 0.3076923076923076]

Trial-3_PCM-1
1.0,1.0,1.0,1.0,[0.2500000000000002, 0.2500000000000002]
1.0,1.0,4.0,1.0,[0.2500000000000002, 0.3999999999999997]
1.0,0.25,1.0,1.0,[0.09999999999999987, 0.2499999999999998]
1.0,1.0,1.0,1.0,[0.24999999999999978, 0.25000000000000017]

Trial-3_PCM-2
1.0,1.0,2.0,1.0,[0.30000000000000004, 0.30000000000000004]
1.0,1.0,3.0,1.0,[0.29999999999999993, 0.29999999999999993]
0.5,0.3333333333333333,1.0,1.0,[0.10000000000000031, 0.19999999999999984]
1.0,1.0,1.0,1.0,[0.19999999999999973, 0.30000000000000004]

Trial-3_PCM-3
1.0,1.0,2.0,1.0,[0.3076923076923076, 0.30769230769230765]
1.0,1.0,4.0,1.0,[0.30769230769230765, 0.30769230769230776]
0.5,0.25,1.0,1.0,[0.07692307692307698, 0.19230769230769237]
1.0,1.0,1.0,1.0,[0.19230769230769235, 0.3076923076923076]

Trial-4_PCM-1
1.0,1.0,2.0,1.0,[0.2857142857142857, 0.2857142857142857]
1.0,1.0,2.0,1.0,[0.28571428571428564, 0.28571428571428564]
0.5,0.5,1.0,1.0,[0.1428571428571428, 0.2142857142857143]
1.0,1.0,1.0,1.0,[0.21428571428571452, 0.2857142857142857]

Trial-4_PCM-2
1.0,1.0,1.0,1.0,[0.25000000000000006, 0.25000000000000006]
1.0,1.0,2.0,1.0,[0.25000000000000006, 0.3333333333333333]
1.0,0.5,1.0,1.0,[0.16666666666666663, 0.25]
1.0,1.0,1.0,1.0,[0.24999999999999994, 0.24999999999999997]

Trial-4_PCM-3
1.0,1.0,1.0,1.0,[0.2500000000000002, 0.2500000000000002]
1.0,1.0,3.0,1.0,[0.2500000000000002, 0.3749999999999997]
1.0,0.3333333333333333,1.0,1.0,[0.12499999999999989, 0.24999999999999978]
1.0,1.0,1.0,1.0,[0.24999999999999967, 0.25000000000000017]

Trial-5_PCM-1
1.0,1.0,2.0,1.0,[0.30000000000000004, 0.30000000000000004]
1.0,1.0,3.0,1.0,[0.29999999999999993, 0.29999999999999993]
0.5,0.3333333333333333,1.0,1.0,[0.10000000000000031, 0.19999999999999984]
1.0,1.0,1.0,1.0,[0.19999999999999973, 0.30000000000000004]

Trial-5_PCM-2
1.0,1.0,1.0,1.0,[0.25000000000000006, 0.25000000000000006]
1.0,1.0,2.0,1.0,[0.25000000000000006, 0.3333333333333333]
1.0,0.5,1.0,1.0,[0.16666666666666663, 0.25]
1.0,1.0,1.0,1.0,[0.24999999999999994, 0.24999999999999997]

Trial-5_PCM-3
1.0,1.0,2.0,1.0,[0.2857142857142857, 0.2857142857142857]
1.0,1.0,2.0,1.0,[0.28571428571428564, 0.28571428571428564]
0.5,0.5,1.0,1.0,[0.1428571428571428, 0.2142857142857143]
1.0,1.0,1.0,1.0,[0.21428571428571452, 0.2857142857142857]

Trial-6_PCM-1
1.0,1.0,1.0,1.0,[0.25000000000000006, 0.25000000000000006]
1.0,1.0,2.0,1.0,[0.25000000000000006, 0.3333333333333333]
1.0,0.5,1.0,1.0,[0.16666666666666663, 0.25]
1.0,1.0,1.0,1.0,[0.24999999999999994, 0.24999999999999997]

Trial-6_PCM-2
1.0,1.0,2.0,1.0,[0.2857142857142857, 0.2857142857142857]
1.0,1.0,2.0,1.0,[0.28571428571428564, 0.28571428571428564]
0.5,0.5,1.0,1.0,[0.1428571428571428, 0.2142857142857143]
1.0,1.0,1.0,1.0,[0.21428571428571452, 0.2857142857142857]

Trial-6_PCM-3
1.0,1.0,2.0,1.0,[0.2857142857142857, 0.2857142857142857]
