Trial,Entani統合PCM_L,Entani統合PCM_U,非唯一性統合PCM_L,非唯一性統合PCM_U,非唯一性正規化PCM_L,非唯一性正規化PCM_U,非唯一性t_L_PCM_L,非唯一性t_L_PCM_U,非唯一性t_U_PCM_L,非唯一性t_U_PCM_U,Entani_DM1_PCM_L,Entani_DM1_PCM_U,非唯一性_DM1_PCM_L,非唯一性_DM1_PCM_U,Entani_DM2_PCM_L,Entani_DM2_PCM_U,非唯一性_DM2_PCM_L,非唯一性_DM2_PCM_U
3,"[[1.0, 0.9167, 1.1, 1.1579, 1.0], [1.0909, 1.0, 1.2, 1.2632, 1.0909], [0.5455, 0.5, 1.0, 0.6316, 0.5455], [0.5, 0.4583, 0.55, 1.0, 0.5], [1.0, 0.9167, 1.1, 1.1579, 1.0]]","[[1.0, 0.9167, 1.8333, 2.0, 1.0], [1.0909, 1.0, 2.0, 2.1818, 1.0909], [0.9091, 0.8333, 1.0, 1.8182, 0.9091], [0.8636, 0.7917, 1.5833, 1.0, 0.8636], [1.0, 0.9167, 1.8333, 2.0, 1.0]]","[[1.0, 0.9167, 1.0476, 1.1, 1.0], [1.0909, 1.0, 1.1429, 1.2, 1.0909], [0.5455, 0.5, 1.0, 0.6, 0.5455], [0.5, 0.4583, 0.5238, 1.0, 0.5], [1.0, 0.9167, 1.0476, 1.1, 1.0]]","[[1.0, 0.9167, 1.8333, 2.0, 1.0], [1.0909, 1.0, 2.0, 2.1818, 1.0909], [0.9545, 0.875, 1.0, 1.9091, 0.9545], [0.9091, 0.8333, 1.6667, 1.0, 0.9091], [1.0, 0.9167, 1.8333, 2.0, 1.0]]","[[1.0, 0.9167, 1.0476, 1.1, 1.0], [1.0909, 1.0, 1.1429, 1.2, 1.0909], [0.5455, 0.5, 1.0, 0.6, 0.5455], [0.5, 0.4583, 0.5238, 1.0, 0.5], [1.0, 0.9167, 1.0476, 1.1, 1.0]]","[[1.0, 0.9167, 1.8333, 2.0, 1.0], [1.0909, 1.0, 2.0, 2.1818, 1.0909], [0.9545, 0.875, 1.0, 1.9091, 0.9545], [0.9091, 0.8333, 1.6667, 1.0, 0.9091], [1.0, 0.9167, 1.8333, 2.0, 1.0]]","[[1.0, 0.9167, 1.0476, 1.1, 1.0], [1.0909, 1.0, 1.1429, 1.2, 1.0909], [0.5455, 0.5, 1.0, 0.6, 0.5455], [0.5, 0.4583, 0.5238, 1.0, 0.5], [1.0, 0.9167, 1.0476, 1.1, 1.0]]","[[1.0, 0.9167, 1.8333, 2.0, 1.0], [1.0909, 1.0, 2.0, 2.1818, 1.0909], [0.9545, 0.875, 1.0, 1.9091, 0.9545], [0.9091, 0.8333, 1.6667, 1.0, 0.9091], [1.0, 0.9167, 1.8333, 2.0, 1.0]]","[[1.0, 0.9167, 1.0476, 1.1, 1.0], [1.0909, 1.0, 1.1429, 1.2, 1.0909], [0.5455, 0.5, 1.0, 0.6, 0.5455], [0.5, 0.4583, 0.5238, 1.0, 0.5], [1.0, 0.9167, 1.0476, 1.1, 1.0]]","[[1.0, 0.9167, 1.8333, 2.0, 1.0], [1.0909, 1.0, 2.0, 2.1818, 1.0909], [0.9545, 0.875, 1.0, 1.9091, 0.9545], [0.9091, 0.8333, 1.6667, 1.0, 0.9091], [1.0, 0.9167, 1.8333, 2.0, 1.0]]","[[1.0, 0.875, 1.0, 1.0, 0.875], [1.0, 1.0, 1.1429, 1.1429, 1.0], [0.5, 0.5, 1.0, 0.5714, 0.5], [0.25, 0.25, 0.2857, 1.0, 0.25], [0.875, 0.875, 1.0, 1.0, 1.0]]","[[1.0, 1.0, 2.0, 4.0, 1.1429], [1.1429, 1.0, 2.0, 4.0, 1.1429], [1.0, 0.875, 1.0, 3.5, 1.0], [1.0, 0.875, 1.75, 1.0, 1.0], [1.1429, 1.0, 2.0, 4.0, 1.0]]","[[1.0, 0.875, 1.0, 1.0, 0.875], [1.0, 1.0, 1.1429, 1.1429, 1.0], [0.5, 0.5, 1.0, 0.5714, 0.5], [0.25, 0.25, 0.2857, 1.0, 0.25], [0.875, 0.875, 1.0, 1.0, 1.0]]","[[1.0, 1.0, 2.0, 4.0, 1.1429], [1.1429, 1.0, 2.0, 4.0, 1.1429], [1.0, 0.875, 1.0, 3.5, 1.0], [1.0, 0.875, 1.75, 1.0, 1.0], [1.1429, 1.0, 2.0, 4.0, 1.0]]","[[1.0, 0.8889, 1.0, 1.0, 1.0], [1.0, 1.0, 1.0, 1.0, 1.0], [0.375, 0.3333, 1.0, 0.375, 0.375], [0.5, 0.4444, 0.5, 1.0, 0.5], [1.0, 0.8889, 1.0, 1.0, 1.0]]","[[1.0, 1.0, 2.6667, 2.0, 1.0], [1.125, 1.0, 3.0, 2.25, 1.125], [1.0, 1.0, 1.0, 2.0, 1.0], [1.0, 1.0, 2.6667, 1.0, 1.0], [1.0, 1.0, 2.6667, 2.0, 1.0]]","[[1.0, 0.8889, 1.0, 1.0, 1.0], [1.0, 1.0, 1.0, 1.0, 1.0], [0.375, 0.3333, 1.0, 0.375, 0.375], [0.5, 0.4444, 0.5, 1.0, 0.5], [1.0, 0.8889, 1.0, 1.0, 1.0]]","[[1.0, 1.0, 2.6667, 2.0, 1.0], [1.125, 1.0, 3.0, 2.25, 1.125], [1.0, 1.0, 1.0, 2.0, 1.0], [1.0, 1.0, 2.6667, 1.0, 1.0], [1.0, 1.0, 2.6667, 2.0, 1.0]]"
5,"[[1.0, 1.0, 1.0, 1.0, 1.0], [1.0, 1.0, 1.0, 1.0, 1.0], [0.5, 0.5, 1.0, 0.5, 0.5], [0.5, 0.5, 0.5, 1.0, 0.5], [1.0, 1.0, 1.0, 1.0, 1.0]]","[[1.0, 1.0, 2.0, 2.0, 1.0], [1.0, 1.0, 2.0, 2.0, 1.0], [1.0, 1.0, 1.0, 2.0, 1.0], [1.0, 1.0, 2.0, 1.0, 1.0], [1.0, 1.0, 2.0, 2.0, 1.0]]","[[1.0, 1.0, 1.0, 1.0, 1.0], [1.0, 1.0, 1.0, 1.0, 1.0], [0.5, 0.5, 1.0, 0.5, 0.5], [0.5, 0.5, 0.5, 1.0, 0.5], [1.0, 1.0, 1.0, 1.0, 1.0]]","[[1.0, 1.0, 2.0, 2.0, 1.0], [1.0, 1.0, 2.0, 2.0, 1.0], [1.0, 1.0, 1.0, 2.0, 1.0], [1.0, 1.0, 2.0, 1.0, 1.0], [1.0, 1.0, 2.0, 2.0, 1.0]]","[[1.0, 1.0, 1.0, 1.0, 1.0], [1.0, 1.0, 1.0, 1.0, 1.0], [0.5, 0.5, 1.0, 0.5, 0.5], [0.5, 0.5, 0.5, 1.0, 0.5], [1.0, 1.0, 1.0, 1.0, 1.0]]","[[1.0, 1.0, 2.0, 2.0, 1.0], [1.0, 1.0, 2.0, 2.0, 1.0], [1.0, 1.0, 1.0, 2.0, 1.0], [1.0, 1.0, 2.0, 1.0, 1.0], [1.0, 1.0, 2.0, 2.0, 1.0]]","[[1.0, 1.0, 1.0, 1.0, 1.0], [1.0, 1.0, 1.0, 1.0, 1.0], [0.5, 0.5, 1.0, 0.5, 0.5], [0.5, 0.5, 0.5, 1.0, 0.5], [1.0, 1.0, 1.0, 1.0, 1.0]]","[[1.0, 1.0, 2.0, 2.0, 1.0], [1.0, 1.0, 2.0, 2.0, 1.0], [1.0, 1.0, 1.0, 2.0, 1.0], [1.0, 1.0, 2.0, 1.0, 1.0], [1.0, 1.0, 2.0, 2.0, 1.0]]","[[1.0, 1.0, 1.0, 1.0, 1.0], [1.0, 1.0, 1.0, 1.0, 1.0], [0.5, 0.5, 1.0, 0.5, 0.5], [0.5, 0.5, 0.5, 1.0, 0.5], [1.0, 1.0, 1.0, 1.0, 1.0]]","[[1.0, 1.0, 2.0, 2.0, 1.0], [1.0, 1.0, 2.0, 2.0, 1.0], [1.0, 1.0, 1.0, 2.0, 1.0], [1.0, 1.0, 2.0, 1.0, 1.0], [1.0, 1.0, 2.0, 2.0, 1.0]]","[[1.0, 1.0, 1.0, 1.0, 1.0], [0.5, 1.0, 0.5, 0.5, 0.5], [0.5, 0.5, 1.0, 0.5, 0.5], [0.5, 0.5, 0.5, 1.0, 0.5], [1.0, 1.0, 1.0, 1.0, 1.0]]","[[1.0, 2.0, 2.0, 2.0, 1.0], [1.0, 1.0, 2.0, 2.0, 1.0], [1.0, 2.0, 1.0, 2.0, 1.0], [1.0, 2.0, 2.0, 1.0, 1.0], [1.0, 2.0, 2.0, 2.0, 1.0]]","[[1.0, 1.0, 1.0, 1.0, 1.0], [0.5, 1.0, 0.5, 0.5, 0.5], [0.5, 0.5, 1.0, 0.5, 0.5], [0.5, 0.5, 0.5, 1.0, 0.5], [1.0, 1.0, 1.0, 1.0, 1.0]]","[[1.0, 2.0, 2.0, 2.0, 1.0], [1.0, 1.0, 2.0, 2.0, 1.0], [1.0, 2.0, 1.0, 2.0, 1.0], [1.0, 2.0, 2.0, 1.0, 1.0], [1.0, 2.0, 2.0, 2.0, 1.0]]","[[1.0, 1.0, 1.0, 1.0, 1.0], [1.0, 1.0, 1.0, 1.0, 1.0], [0.5, 0.5, 1.0, 0.5, 0.5], [0.5, 0.5, 0.5, 1.0, 0.5], [1.0, 1.0, 1.0, 1.0, 1.0]]","[[1.0, 1.0, 2.0, 2.0, 1.0], [1.0, 1.0, 2.0, 2.0, 1.0], [1.0, 1.0, 1.0, 2.0, 1.0], [1.0, 1.0, 2.0, 1.0, 1.0], [1.0, 1.0, 2.0, 2.0, 1.0]]","[[1.0, 1.0, 1.0, 1.0, 1.0], [1.0, 1.0, 1.0, 1.0, 1.0], [0.5, 0.5, 1.0, 0.5, 0.5], [0.5, 0.5, 0.5, 1.0, 0.5], [1.0, 1.0, 1.0, 1.0, 1.0]]","[[1.0, 1.0, 2.0, 2.0, 1.0], [1.0, 1.0, 2.0, 2.0, 1.0], [1.0, 1.0, 1.0, 2.0, 1.0], [1.0, 1.0, 2.0, 1.0, 1.0], [1.0, 1.0, 2.0, 2.0, 1.0]]"
16,"[[1.0, 1.0, 1.0, 1.0, 1.0], [1.0, 1.0, 1.0, 1.0, 1.0], [1.0, 1.0, 1.0, 1.0, 1.0], [1.0, 1.0, 1.0, 1.0, 1.0], [1.0, 1.0, 1.0, 1.0, 1.0]]","[[1.0, 1.0, 1.0, 1.0, 1.0], [1.0, 1.0, 1.0, 1.0, 1.0], [1.0, 1.0, 1.0, 1.0, 1.0], [1.0, 1.0, 1.0, 1.0, 1.0], [1.0, 1.0, 1.0, 1.0, 1.0]]","[[1.0, 1.0, 1.0, 1.0, 1.0], [1.0, 1.0, 1.0, 1.0, 1.0], [1.0, 1.0, 1.0, 1.0, 1.0], [1.0, 1.0, 1.0, 1.0, 1.0], [1.0, 1.0, 1.0, 1.0, 1.0]]","[[1.0, 1.0, 1.0, 1.0, 1.0], [1.0, 1.0, 1.0, 1.0, 1.0], [1.0, 1.0, 1.0, 1.0, 1.0], [1.0, 1.0, 1.0, 1.0, 1.0], [1.0, 1.0, 1.0, 1.0, 1.0]]","[[1.0, 1.0, 1.0, 1.0, 1.0], [1.0, 1.0, 1.0, 1.0, 1.0], [1.0, 1.0, 1.0, 1.0, 1.0], [1.0, 1.0, 1.0, 1.0, 1.0], [1.0, 1.0, 1.0, 1.0, 1.0]]","[[1.0, 1.0, 1.0, 1.0, 1.0], [1.0, 1.0, 1.0, 1.0, 1.0], [1.0, 1.0, 1.0, 1.0, 1.0], [1.0, 1.0, 1.0, 1.0, 1.0], [1.0, 1.0, 1.0, 1.0, 1.0]]","[[1.0, 1.0, 1.0, 1.0, 1.0], [1.0, 1.0, 1.0, 1.0, 1.0], [1.0, 1.0, 1.0, 1.0, 1.0], [1.0, 1.0, 1.0, 1.0, 1.0], [1.0, 1.0, 1.0, 1.0, 1.0]]","[[1.0, 1.0, 1.0, 1.0, 1.0], [1.0, 1.0, 1.0, 1.0, 1.0], [1.0, 1.0, 1.0, 1.0, 1.0], [1.0, 1.0, 1.0, 1.0, 1.0], [1.0, 1.0, 1.0, 1.0, 1.0]]","[[1.0, 1.0, 1.0, 1.0, 1.0], [1.0, 1.0, 1.0, 1.0, 1.0], [1.0, 1.0, 1.0, 1.0, 1.0], [1.0, 1.0, 1.0, 1.0, 1.0], [1.0, 1.0, 1.0, 1.0, 1.0]]","[[1.0, 1.0, 1.0, 1.0, 1.0], [1.0, 1.0, 1.0, 1.0, 1.0], [1.0, 1.0, 1.0, 1.0, 1.0], [1.0, 1.0, 1.0, 1.0, 1.0], [1.0, 1.0, 1.0, 1.0, 1.0]]","[[1.0, 0.625, 1.0, 1.0, 1.0], [1.0, 1.0, 1.0, 1.0, 1.0], [0.8, 0.5, 1.0, 0.8, 0.8], [0.4, 0.25, 0.4, 1.0, 0.4], [1.0, 0.625, 1.0, 1.0, 1.0]]","[[1.0, 1.0, 1.25, 2.5, 1.0], [1.6, 1.0, 2.0, 4.0, 1.6], [1.0, 1.0, 1.0, 2.5, 1.0], [1.0, 1.0, 1.25, 1.0, 1.0], [1.0, 1.0, 1.25, 2.5, 1.0]]","[[1.0, 0.625, 1.0, 1.0, 1.0], [1.0, 1.0, 1.0, 1.0, 1.0], [0.8, 0.5, 1.0, 0.8, 0.8], [0.4, 0.25, 0.4, 1.0, 0.4], [1.0, 0.625, 1.0, 1.0, 1.0]]","[[1.0, 1.0, 1.25, 2.5, 1.0], [1.6, 1.0, 2.0, 4.0, 1.6], [1.0, 1.0, 1.0, 2.5, 1.0], [1.0, 1.0, 1.25, 1.0, 1.0], [1.0, 1.0, 1.25, 2.5, 1.0]]","[[1.0, 1.0, 1.0, 1.0, 1.0], [0.75, 1.0, 1.0, 1.0, 1.0], [0.75, 1.0, 1.0, 1.0, 1.0], [0.5, 0.6667, 0.6667, 1.0, 0.6667], [0.75, 1.0, 1.0, 1.0, 1.0]]","[[1.0, 1.3333, 1.3333, 2.0, 1.3333], [1.0, 1.0, 1.0, 1.5, 1.0], [1.0, 1.0, 1.0, 1.5, 1.0], [1.0, 1.0, 1.0, 1.0, 1.0], [1.0, 1.0, 1.0, 1.5, 1.0]]","[[1.0, 1.0, 1.0, 1.0, 1.0], [0.75, 1.0, 1.0, 1.0, 1.0], [0.75, 1.0, 1.0, 1.0, 1.0], [0.5, 0.6667, 0.6667, 1.0, 0.6667], [0.75, 1.0, 1.0, 1.0, 1.0]]","[[1.0, 1.3333, 1.3333, 2.0, 1.3333], [1.0, 1.0, 1.0, 1.5, 1.0], [1.0, 1.0, 1.0, 1.5, 1.0], [1.0, 1.0, 1.0, 1.0, 1.0], [1.0, 1.0, 1.0, 1.5, 1.0]]"
17,,,"[[1.0, 1.0, 1.0, 1.0909, 1.0], [1.0, 1.0, 1.0, 1.0909, 1.0], [0.5, 0.5, 1.0, 0.5455, 0.5], [0.5, 0.5, 0.5, 1.0, 0.5], [0.9167, 0.9167, 0.9167, 1.0, 1.0]]","[[1.0, 1.0, 2.0, 2.0, 1.0909], [1.0, 1.0, 2.0, 2.0, 1.0909], [1.0, 1.0, 1.0, 2.0, 1.0909], [0.9167, 0.9167, 1.8333, 1.0, 1.0], [1.0, 1.0, 2.0, 2.0, 1.0]]","[[1.0, 1.0, 1.0, 1.0909, 1.0], [1.0, 1.0, 1.0, 1.0909, 1.0], [0.5, 0.5, 1.0, 0.5455, 0.5], [0.5, 0.5, 0.5, 1.0, 0.5], [0.9167, 0.9167, 0.9167, 1.0, 1.0]]","[[1.0, 1.0, 2.0, 2.0, 1.0909], [1.0, 1.0, 2.0, 2.0, 1.0909], [1.0, 1.0, 1.0, 2.0, 1.0909], [0.9167, 0.9167, 1.8333, 1.0, 1.0], [1.0, 1.0, 2.0, 2.0, 1.0]]","[[1.0, 1.0, 1.0, 1.0909, 1.0], [1.0, 1.0, 1.0, 1.0909, 1.0], [0.5, 0.5, 1.0, 0.5455, 0.5], [0.5, 0.5, 0.5, 1.0, 0.5], [0.9167, 0.9167, 0.9167, 1.0, 1.0]]","[[1.0, 1.0, 2.0, 2.0, 1.0909], [1.0, 1.0, 2.0, 2.0, 1.0909], [1.0, 1.0, 1.0, 2.0, 1.0909], [0.9167, 0.9167, 1.8333, 1.0, 1.0], [1.0, 1.0, 2.0, 2.0, 1.0]]","[[1.0, 1.0, 1.0, 1.0909, 1.0], [1.0, 1.0, 1.0, 1.0909, 1.0], [0.5, 0.5, 1.0, 0.5455, 0.5], [0.5, 0.5, 0.5, 1.0, 0.5], [0.9167, 0.9167, 0.9167, 1.0, 1.0]]","[[1.0, 1.0, 2.0, 2.0, 1.0909], [1.0, 1.0, 2.0, 2.0, 1.0909], [1.0, 1.0, 1.0, 2.0, 1.0909], [0.9167, 0.9167, 1.8333, 1.0, 1.0], [1.0, 1.0, 2.0, 2.0, 1.0]]",,,"[[1.0, 1.0, 1.0, 1.0909, 1.0], [1.0, 1.0, 1.0, 1.0909, 1.0], [0.5, 0.5, 1.0, 0.5455, 0.5], [0.3333, 0.3333, 0.3333, 1.0, 0.3333], [0.9167, 0.9167, 0.9167, 1.0, 1.0]]","[[1.0, 1.0, 2.0, 3.0, 1.0909], [1.0, 1.0, 2.0, 3.0, 1.0909], [1.0, 1.0, 1.0, 3.0, 1.0909], [0.9167, 0.9167, 1.8333, 1.0, 1.0], [1.0, 1.0, 2.0, 3.0, 1.0]]",,,"[[1.0, 1.0, 1.0, 1.0, 1.0], [1.0, 1.0, 1.0, 1.0, 1.0], [0.5, 0.5, 1.0, 0.5, 0.5], [0.5, 0.5, 0.5, 1.0, 0.5], [0.5, 0.5, 0.5, 0.5, 1.0]]","[[1.0, 1.0, 2.0, 2.0, 2.0], [1.0, 1.0, 2.0, 2.0, 2.0], [1.0, 1.0, 1.0, 2.0, 2.0], [1.0, 1.0, 2.0, 1.0, 2.0], [1.0, 1.0, 2.0, 2.0, 1.0]]"
24,"[[1.0, 1.0, 1.0, 2.0, 1.0], [1.0, 1.0, 1.0, 2.0, 1.0], [1.0, 1.0, 1.0, 2.0, 1.0], [0.5, 0.5, 0.5, 1.0, 0.5], [1.0, 1.0, 1.0, 2.0, 1.0]]","[[1.0, 1.0, 1.0, 2.0, 1.0], [1.0, 1.0, 1.0, 2.0, 1.0], [1.0, 1.0, 1.0, 2.0, 1.0], [0.5, 0.5, 0.5, 1.0, 0.5], [1.0, 1.0, 1.0, 2.0, 1.0]]","[[1.0, 1.0, 1.0, 1.0, 1.0], [1.0, 1.0, 1.0, 1.0, 1.0], [1.0, 1.0, 1.0, 1.0, 1.0], [1.0, 1.0, 1.0, 1.0, 1.0], [1.0, 1.0, 1.0, 1.0, 1.0]]","[[1.0, 1.0, 1.0, 1.0, 1.0], [1.0, 1.0, 1.0, 1.0, 1.0], [1.0, 1.0, 1.0, 1.0, 1.0], [1.0, 1.0, 1.0, 1.0, 1.0], [1.0, 1.0, 1.0, 1.0, 1.0]]","[[1.0, 1.0, 1.0, 1.0, 1.0], [1.0, 1.0, 1.0, 1.0, 1.0], [1.0, 1.0, 1.0, 1.0, 1.0], [1.0, 1.0, 1.0, 1.0, 1.0], [1.0, 1.0, 1.0, 1.0, 1.0]]","[[1.0, 1.0, 1.0, 1.0, 1.0], [1.0, 1.0, 1.0, 1.0, 1.0], [1.0, 1.0, 1.0, 1.0, 1.0], [1.0, 1.0, 1.0, 1.0, 1.0], [1.0, 1.0, 1.0, 1.0, 1.0]]","[[1.0, 1.0, 1.0, 1.0, 1.0], [1.0, 1.0, 1.0, 1.0, 1.0], [1.0, 1.0, 1.0, 1.0, 1.0], [1.0, 1.0, 1.0, 1.0, 1.0], [1.0, 1.0, 1.0, 1.0, 1.0]]","[[1.0, 1.0, 1.0, 1.0, 1.0], [1.0, 1.0, 1.0, 1.0, 1.0], [1.0, 1.0, 1.0, 1.0, 1.0], [1.0, 1.0, 1.0, 1.0, 1.0], [1.0, 1.0, 1.0, 1.0, 1.0]]","[[1.0, 1.0, 1.0, 1.0, 1.0], [1.0, 1.0, 1.0, 1.0, 1.0], [1.0, 1.0, 1.0, 1.0, 1.0], [1.0, 1.0, 1.0, 1.0, 1.0], [1.0, 1.0, 1.0, 1.0, 1.0]]","[[1.0, 1.0, 1.0, 1.0, 1.0], [1.0, 1.0, 1.0, 1.0, 1.0], [1.0, 1.0, 1.0, 1.0, 1.0], [1.0, 1.0, 1.0, 1.0, 1.0], [1.0, 1.0, 1.0, 1.0, 1.0]]","[[1.0, 1.0, 1.0, 1.0, 1.0], [1.0, 1.0, 1.0, 1.0, 1.0], [0.5, 0.5, 1.0, 0.5, 0.5], [0.5, 0.5, 0.5, 1.0, 0.5], [1.0, 1.0, 1.0, 1.0, 1.0]]","[[1.0, 1.0, 2.0, 2.0, 1.0], [1.0, 1.0, 2.0, 2.0, 1.0], [1.0, 1.0, 1.0, 2.0, 1.0], [1.0, 1.0, 2.0, 1.0, 1.0], [1.0, 1.0, 2.0, 2.0, 1.0]]","[[1.0, 1.0, 1.0, 1.0, 1.0], [1.0, 1.0, 1.0, 1.0, 1.0], [0.5, 0.5, 1.0, 0.5, 0.5], [0.5, 0.5, 0.5, 1.0, 0.5], [1.0, 1.0, 1.0, 1.0, 1.0]]","[[1.0, 1.0, 2.0, 2.0, 1.0], [1.0, 1.0, 2.0, 2.0, 1.0], [1.0, 1.0, 1.0, 2.0, 1.0], [1.0, 1.0, 2.0, 1.0, 1.0], [1.0, 1.0, 2.0, 2.0, 1.0]]","[[1.0, 1.0, 1.0, 1.0, 1.0], [1.0, 1.0, 1.0, 1.0, 1.0], [1.0, 1.0, 1.0, 1.0, 1.0], [0.5, 0.5, 0.5, 1.0, 0.5], [0.5, 0.5, 0.5, 0.5, 1.0]]","[[1.0, 1.0, 1.0, 2.0, 2.0], [1.0, 1.0, 1.0, 2.0, 2.0], [1.0, 1.0, 1.0, 2.0, 2.0], [1.0, 1.0, 1.0, 1.0, 2.0], [1.0, 1.0, 1.0, 2.0, 1.0]]","[[1.0, 1.0, 1.0, 1.0, 1.0], [1.0, 1.0, 1.0, 1.0, 1.0], [1.0, 1.0, 1.0, 1.0, 1.0], [0.5, 0.5, 0.5, 1.0, 0.5], [0.5, 0.5, 0.5, 0.5, 1.0]]","[[1.0, 1.0, 1.0, 2.0, 2.0], [1.0, 1.0, 1.0, 2.0, 2.0], [1.0, 1.0, 1.0, 2.0, 2.0], [1.0, 1.0, 1.0, 1.0, 2.0], [1.0, 1.0, 1.0, 2.0, 1.0]]"
29,,,"[[1.0, 1.0, 1.3333, 2.0, 1.0], [1.0, 1.0, 1.3333, 2.0, 1.0], [0.75, 0.75, 1.0, 1.5, 0.75], [0.5, 0.5, 0.6667, 1.0, 0.5], [1.0, 1.0, 1.3333, 2.0, 1.0]]","[[1.0, 1.0, 1.3333, 2.0, 1.0], [1.0, 1.0, 1.3333, 2.0, 1.0], [0.75, 0.75, 1.0, 1.5, 0.75], [0.5, 0.5, 0.6667, 1.0, 0.5], [1.0, 1.0, 1.3333, 2.0, 1.0]]","[[1.0, 1.0, 1.3333, 2.0, 1.0], [1.0, 1.0, 1.3333, 2.0, 1.0], [0.75, 0.75, 1.0, 1.5, 0.75], [0.5, 0.5, 0.6667, 1.0, 0.5], [1.0, 1.0, 1.3333, 2.0, 1.0]]","[[1.0, 1.0, 1.3333, 2.0, 1.0], [1.0, 1.0, 1.3333, 2.0, 1.0], [0.75, 0.75, 1.0, 1.5, 0.75], [0.5, 0.5, 0.6667, 1.0, 0.5], [1.0, 1.0, 1.3333, 2.0, 1.0]]","[[1.0, 1.0, 1.3333, 2.0, 1.0], [1.0, 1.0, 1.3333, 2.0, 1.0], [0.75, 0.75, 1.0, 1.5, 0.75], [0.5, 0.5, 0.6667, 1.0, 0.5], [1.0, 1.0, 1.3333, 2.0, 1.0]]","[[1.0, 1.0, 1.3333, 2.0, 1.0], [1.0, 1.0, 1.3333, 2.0, 1.0], [0.75, 0.75, 1.0, 1.5, 0.75], [0.5, 0.5, 0.6667, 1.0, 0.5], [1.0, 1.0, 1.3333, 2.0, 1.0]]","[[1.0, 1.0, 1.3333, 2.0, 1.0], [1.0, 1.0, 1.3333, 2.0, 1.0], [0.75, 0.75, 1.0, 1.5, 0.75], [0.5, 0.5, 0.6667, 1.0, 0.5], [1.0, 1.0, 1.3333, 2.0, 1.0]]","[[1.0, 1.0, 1.3333, 2.0, 1.0], [1.0, 1.0, 1.3333, 2.0, 1.0], [0.75, 0.75, 1.0, 1.5, 0.75], [0.5, 0.5, 0.6667, 1.0, 0.5], [1.0, 1.0, 1.3333, 2.0, 1.0]]",,,"[[1.0, 1.0, 1.0, 1.0, 1.0], [1.0, 1.0, 1.0, 1.0, 1.0], [0.3333, 0.3333, 1.0, 0.3333, 0.3333], [0.3333, 0.3333, 0.3333, 1.0, 0.3333], [1.0, 1.0, 1.0, 1.0, 1.0]]","[[1.0, 1.0, 3.0, 3.0, 1.0], [1.0, 1.0, 3.0, 3.0, 1.0], [1.0, 1.0, 1.0, 3.0, 1.0], [1.0, 1.0, 3.0, 1.0, 1.0], [1.0, 1.0, 3.0, 3.0, 1.0]]",,,"[[1.0, 0.6667, 1.0, 2.0, 1.0], [1.0, 1.0, 1.0, 2.0, 1.0], [0.75, 0.5, 1.0, 1.5, 0.75], [0.5, 0.3333, 0.5, 1.0, 0.5], [0.5, 0.3333, 0.5, 1.0, 1.0]]","[[1.0, 1.0, 1.3333, 2.0, 2.0], [1.5, 1.0, 2.0, 3.0, 3.0], [1.0, 1.0, 1.0, 2.0, 2.0], [0.5, 0.5, 0.6667, 1.0, 1.0], [1.0, 1.0, 1.3333, 2.0, 1.0]]"
