Trial,PCM,t_L,t_U
1,1,1.0000000000000002,1.0
1,2,1.0000000000000002,1.0
1,3,0.9687499999999998,1.0333333333333334
2,1,1.0000000000000002,1.0000000000000002
2,2,1.0000000000000002,0.9999999999999998
2,3,0.9702970297029699,1.0315789473684212
3,1,0.9523809523809526,1.0526315789473681
3,2,1.0000000000000002,0.9999999999999998
3,3,0.9523809523809521,1.0526315789473688
4,1,0.9999999999999998,1.0000000000000002
4,2,0.983333333333333,1.0172413793103452
4,3,1.0000000000000002,1.0
5,1,0.9999999999999998,1.0
5,2,1.0000000000000004,1.0
5,3,1.0,1.0000000000000004
6,1,1.0,1.0000000000000004
6,2,1.0,1.0000000000000004
6,3,0.9999999999999998,1.0000000000000004
7,1,1.0000000000000002,1.0
7,2,0.9999999999999998,1.0000000000000004
7,3,1.0000000000000002,0.9999999999999998
8,1,1.0,1.0
8,2,0.9999999999999998,1.0000000000000004
8,3,0.955357142857144,1.049019607843137
9,1,0.9999999999999998,1.0000000000000002
9,2,0.9500000000000003,1.0555555555555558
9,3,1.0,1.0000000000000002
10,1,0.983333333333333,1.0172413793103452
10,2,0.9789473684210529,1.0219780219780215
10,3,1.0000000000000002,0.9999999999999998
11,1,0.9999999999999998,1.0000000000000002
11,2,1.0000000000000002,0.9999999999999998
11,3,1.0000000000000002,1.0
12,1,1.0,1.0
12,2,1.0,1.0
12,3,1.0,1.0000000000000004
13,1,0.9868421052631583,1.0135135135135136
13,2,1.0,1.0000000000000004
13,3,1.0,1.0000000000000004
14,1,0.9583333333333336,1.0454545454545447
14,2,1.0000000000000002,1.0000000000000004
14,3,0.9777777777777782,1.0232558139534882
15,1,1.0000000000000002,1.0
15,2,1.0,1.0
15,3,1.0000000000000002,0.9999999999999998
16,1,1.0000000000000002,0.9999999999999998
16,2,0.9868421052631579,1.013513513513514
16,3,1.0000000000000002,1.0
17,1,1.0000000000000004,0.9999999999999996
17,2,0.9999999999999998,1.0000000000000004
17,3,1.0,1.0
18,1,1.0,1.0000000000000002
18,2,1.0,1.0000000000000002
18,3,0.9999999999999996,1.0000000000000004
19,1,1.0,1.0
19,2,1.0000000000000002,0.9999999999999996
19,3,0.9999999999999998,1.0000000000000004
20,1,0.9947916666666663,1.0052631578947373
20,2,1.0000000000000002,0.9999999999999998
20,3,1.0000000000000002,1.0
21,1,1.0,0.9999999999999998
21,2,1.0,1.0
21,3,1.0,1.0000000000000004
22,1,0.9999999999999998,1.0
22,2,1.0,1.0
22,3,0.9500000000000003,1.0555555555555551
23,1,1.0,1.0
23,2,0.9999999999999998,1.0000000000000004
23,3,1.0000000000000002,0.9999999999999998
24,1,0.9916666666666669,1.0084745762711866
24,2,0.955357142857144,1.049019607843137
24,3,0.9895833333333335,1.01063829787234
25,1,0.9916666666666669,1.008474576271186
25,2,1.0000000000000002,1.0
25,3,1.0000000000000002,0.9999999999999998
26,1,1.0,1.0000000000000004
26,2,1.0000000000000002,0.9999999999999998
26,3,0.9523809523809526,1.0526315789473681
27,1,0.9583333333333336,1.0454545454545454
27,2,1.0000000000000004,0.9999999999999996
27,3,1.0,1.0000000000000007
28,1,0.9375000000000004,1.071428571428571
28,2,1.0000000000000002,1.0000000000000004
28,3,1.0000000000000002,1.0
29,1,0.9999999999999996,1.0000000000000004
29,2,0.9523809523809521,1.0526315789473688
29,3,1.0,1.0
30,1,1.0000000000000002,1.0
30,2,1.0,1.0
30,3,1.0000000000000002,1.0
31,1,0.9916666666666669,1.0084745762711864
31,2,0.9999999999999998,1.0000000000000002
31,3,1.0000000000000002,1.0
32,1,0.9390243902439023,1.0694444444444469
32,2,1.0000000000000004,1.0000000000000002
32,3,0.9916666666666669,1.0084745762711864
33,1,0.9999999999999996,1.0000000000000004
33,2,0.9722222222222221,1.0294117647058827
33,3,0.9999999999999993,1.0000000000000004
34,1,1.0,1.0
34,2,1.0,1.0000000000000004
34,3,0.9999999999999998,1.0000000000000004
35,1,1.0000000000000002,1.0000000000000002
35,2,1.0000000000000002,1.0
35,3,0.9999999999999998,1.0000000000000002
36,1,1.0,1.0000000000000004
36,2,1.0,1.0000000000000002
36,3,0.9999999999999998,1.0
37,1,0.9868421052631583,1.0135135135135136
37,2,1.0000000000000002,0.9999999999999998
37,3,1.0000000000000002,1.0
38,1,1.0000000000000002,0.9999999999999998
38,2,1.0,1.0000000000000004
38,3,0.9833333333333334,1.0172413793103448
39,1,0.9999999999999993,1.0000000000000004
39,2,1.0000000000000002,1.0000000000000002
39,3,1.0000000000000007,0.9999999999999996
40,1,1.0,1.0
40,2,0.9999999999999998,1.0000000000000002
40,3,1.0000000000000002,1.0
41,1,0.9999999999999996,1.0000000000000002
41,2,1.0,1.0000000000000002
41,3,1.0,1.0
42,1,0.9999999999999998,1.0000000000000002
42,2,0.9868421052631572,1.013513513513514
42,3,1.0,1.0000000000000004
43,1,1.0000000000000007,0.9999999999999996
43,2,1.0000000000000002,0.9999999999999998
43,3,1.0000000000000004,0.9999999999999998
44,1,0.9880952380952369,1.0121951219512215
44,2,0.9999999999999996,1.0000000000000007
44,3,1.0,1.0000000000000004
45,1,1.0000000000000004,0.9999999999999998
45,2,0.9999999999999998,1.0000000000000002
45,3,1.0000000000000002,1.0
46,1,1.0,0.9999999999999998
46,2,0.9736842105263153,1.0277777777777786
46,3,1.0,1.0000000000000007
47,1,0.9999999999999998,1.0000000000000004
47,2,1.0,0.9999999999999996
47,3,1.0,1.0
48,1,1.0,1.0000000000000004
48,2,1.0,1.0
48,3,0.9791666666666667,1.0217391304347834
