Trial,Entani統合PCM_L,Entani統合PCM_U,非唯一性統合PCM_L,非唯一性統合PCM_U,Entani_DM1_PCM_L,Entani_DM1_PCM_U,Entani_DM2_PCM_L,Entani_DM2_PCM_U,Entani_DM3_PCM_L,Entani_DM3_PCM_U,非唯一性_DM1_PCM_L,非唯一性_DM1_PCM_U,非唯一性_DM2_PCM_L,非唯一性_DM2_PCM_U,非唯一性_DM3_PCM_L,非唯一性_DM3_PCM_U
1,"[[0.6328, 1.0323, 1.0, 1.4915, 1.4915], [0.25, 0.4078, 0.3951, 0.5893, 0.5893], [0.4242, 0.6921, 0.6705, 1.0, 1.0], [0.1582, 0.2581, 0.25, 0.3729, 0.3729], [0.0833, 0.1359, 0.1317, 0.1964, 0.1964]]","[[1.5804, 4.0, 2.3571, 6.3214, 12.0], [0.9687, 2.452, 1.4449, 3.875, 7.3559], [1.0, 2.5311, 1.4915, 4.0, 7.5932], [0.6705, 1.697, 1.0, 2.6818, 5.0909], [0.6705, 1.697, 1.0, 2.6818, 5.0909]]","[[0.6982, 1.0, 1.0, 1.6457, 1.6457], [0.25, 0.3581, 0.3581, 0.5893, 0.5893], [0.4242, 0.6077, 0.6077, 1.0, 1.0], [0.147, 0.2105, 0.2105, 0.3465, 0.3465], [0.0833, 0.1194, 0.1194, 0.1964, 0.1964]]","[[1.4323, 4.0, 2.3571, 6.8036, 12.0], [1.0, 2.7927, 1.6457, 4.75, 8.378], [1.0, 2.7927, 1.6457, 4.75, 8.378], [0.6077, 1.697, 1.0, 2.8864, 5.0909], [0.6077, 1.697, 1.0, 2.8864, 5.0909]]","[[0.8, 1.0323, 1.0, 3.2, 2.0], [0.5, 0.6452, 0.625, 2.0, 1.25], [0.775, 1.0, 0.9687, 3.1, 1.9375], [0.2, 0.2581, 0.25, 0.8, 0.5], [0.125, 0.1613, 0.1563, 0.5, 0.3125]]","[[1.25, 2.0, 1.2903, 5.0, 8.0], [0.9687, 1.55, 1.0, 3.875, 6.2], [1.0, 1.6, 1.0323, 4.0, 6.4], [0.3125, 0.5, 0.3226, 1.25, 2.0], [0.5, 0.8, 0.5161, 2.0, 3.2]]","[[1.0, 2.0, 2.0, 2.0, 2.0], [0.5, 1.0, 1.0, 1.0, 1.0], [0.5, 1.0, 1.0, 1.0, 1.0], [0.25, 0.5, 0.5, 0.5, 0.5], [0.25, 0.5, 0.5, 0.5, 0.5]]","[[1.0, 2.0, 2.0, 4.0, 4.0], [0.5, 1.0, 1.0, 2.0, 2.0], [0.5, 1.0, 1.0, 2.0, 2.0], [0.5, 1.0, 1.0, 2.0, 2.0], [0.5, 1.0, 1.0, 2.0, 2.0]]","[[1.0, 2.0, 2.0, 4.0, 3.0], [0.25, 0.5, 0.5, 1.0, 0.75], [0.5, 1.0, 1.0, 2.0, 1.5], [0.1667, 0.3333, 0.3333, 0.6667, 0.5], [0.0833, 0.1667, 0.1667, 0.3333, 0.25]]","[[1.0, 4.0, 2.0, 6.0, 12.0], [0.5, 2.0, 1.0, 3.0, 6.0], [0.5, 2.0, 1.0, 3.0, 6.0], [0.25, 1.0, 0.5, 1.5, 3.0], [0.3333, 1.3333, 0.6667, 2.0, 4.0]]","[[0.95, 1.0, 1.0, 3.8, 2.0], [0.5, 0.5263, 0.5263, 2.0, 1.0526], [0.95, 1.0, 1.0, 3.8, 2.0], [0.2, 0.2105, 0.2105, 0.8, 0.4211], [0.125, 0.1316, 0.1316, 0.5, 0.2632]]","[[1.0526, 2.0, 1.0526, 5.0, 8.0], [1.0, 1.9, 1.0, 4.75, 7.6], [1.0, 1.9, 1.0, 4.75, 7.6], [0.2632, 0.5, 0.2632, 1.25, 2.0], [0.5, 0.95, 0.5, 2.375, 3.8]]","[[1.0, 2.0, 2.0, 2.0, 2.0], [0.5, 1.0, 1.0, 1.0, 1.0], [0.5, 1.0, 1.0, 1.0, 1.0], [0.25, 0.5, 0.5, 0.5, 0.5], [0.25, 0.5, 0.5, 0.5, 0.5]]","[[1.0, 2.0, 2.0, 4.0, 4.0], [0.5, 1.0, 1.0, 2.0, 2.0], [0.5, 1.0, 1.0, 2.0, 2.0], [0.5, 1.0, 1.0, 2.0, 2.0], [0.5, 1.0, 1.0, 2.0, 2.0]]","[[1.0, 2.0, 2.0, 4.0, 3.0], [0.25, 0.5, 0.5, 1.0, 0.75], [0.5, 1.0, 1.0, 2.0, 1.5], [0.1667, 0.3333, 0.3333, 0.6667, 0.5], [0.0833, 0.1667, 0.1667, 0.3333, 0.25]]","[[1.0, 4.0, 2.0, 6.0, 12.0], [0.5, 2.0, 1.0, 3.0, 6.0], [0.5, 2.0, 1.0, 3.0, 6.0], [0.25, 1.0, 0.5, 1.5, 3.0], [0.3333, 1.3333, 0.6667, 2.0, 4.0]]"
2,"[[0.6667, 1.837, 1.3333, 2.0, 2.0], [0.1935, 0.5333, 0.3871, 0.5806, 0.5806], [0.25, 0.6889, 0.5, 0.75, 0.75], [0.1111, 0.3062, 0.2222, 0.3333, 0.3333], [0.1111, 0.3062, 0.2222, 0.3333, 0.3333]]","[[1.5, 5.1667, 4.0, 9.0, 9.0], [0.5444, 1.875, 1.4516, 3.2661, 3.2661], [0.75, 2.5833, 2.0, 4.5, 4.5], [0.5, 1.7222, 1.3333, 3.0, 3.0], [0.5, 1.7222, 1.3333, 3.0, 3.0]]","[[0.75, 1.898, 1.5, 2.0, 2.0], [0.1935, 0.4898, 0.3871, 0.5161, 0.5161], [0.25, 0.6327, 0.5, 0.6667, 0.6667], [0.1111, 0.2812, 0.2222, 0.2963, 0.2963], [0.1111, 0.2812, 0.2222, 0.2963, 0.2963]]","[[1.3333, 5.1667, 4.0, 9.0, 9.0], [0.5269, 2.0417, 1.5806, 3.5565, 3.5565], [0.6667, 2.5833, 2.0, 4.5, 4.5], [0.5, 1.9375, 1.5, 3.375, 3.375], [0.5, 1.9375, 1.5, 3.375, 3.375]]","[[1.0, 2.6667, 2.0, 5.0, 6.0], [0.2, 0.5333, 0.4, 1.0, 1.2], [0.375, 1.0, 0.75, 1.875, 2.25], [0.125, 0.3333, 0.25, 0.625, 0.75], [0.125, 0.3333, 0.25, 0.625, 0.75]]","[[1.0, 5.0, 2.6667, 8.0, 8.0], [0.375, 1.875, 1.0, 3.0, 3.0], [0.5, 2.5, 1.3333, 4.0, 4.0], [0.2, 1.0, 0.5333, 1.6, 1.6], [0.1667, 0.8333, 0.4444, 1.3333, 1.3333]]","[[1.0, 4.0, 2.0, 4.0, 4.0], [0.25, 1.0, 0.5, 1.0, 1.0], [0.25, 1.0, 0.5, 1.0, 1.0], [0.1111, 0.4444, 0.2222, 0.4444, 0.4444], [0.1111, 0.4444, 0.2222, 0.4444, 0.4444]]","[[1.0, 4.0, 4.0, 9.0, 9.0], [0.25, 1.0, 1.0, 2.25, 2.25], [0.5, 2.0, 2.0, 4.5, 4.5], [0.25, 1.0, 1.0, 2.25, 2.25], [0.25, 1.0, 1.0, 2.25, 2.25]]","[[1.0, 2.0, 1.3333, 2.0, 2.0], [0.5, 1.0, 0.6667, 1.0, 1.0], [0.5, 1.0, 0.6667, 1.0, 1.0], [0.25, 0.5, 0.3333, 0.5, 0.5], [0.25, 0.5, 0.3333, 0.5, 0.5]]","[[1.0, 2.0, 2.0, 4.0, 4.0], [0.5, 1.0, 1.0, 2.0, 2.0], [0.75, 1.5, 1.5, 3.0, 3.0], [0.5, 1.0, 1.0, 2.0, 2.0], [0.5, 1.0, 1.0, 2.0, 2.0]]","[[1.0, 2.449, 2.0, 5.0, 6.0], [0.2, 0.4898, 0.4, 1.0, 1.2], [0.4083, 1.0, 0.8167, 2.0417, 2.45], [0.125, 0.3061, 0.25, 0.625, 0.75], [0.125, 0.3061, 0.25, 0.625, 0.75]]","[[1.0, 5.0, 2.449, 8.0, 8.0], [0.4083, 2.0417, 1.0, 3.2667, 3.2667], [0.5, 2.5, 1.2245, 4.0, 4.0], [0.2, 1.0, 0.4898, 1.6, 1.6], [0.1667, 0.8333, 0.4082, 1.3333, 1.3333]]","[[1.0, 4.0, 2.0, 4.0, 4.0], [0.25, 1.0, 0.5, 1.0, 1.0], [0.25, 1.0, 0.5, 1.0, 1.0], [0.1111, 0.4444, 0.2222, 0.4444, 0.4444], [0.1111, 0.4444, 0.2222, 0.4444, 0.4444]]","[[1.0, 4.0, 4.0, 9.0, 9.0], [0.25, 1.0, 1.0, 2.25, 2.25], [0.5, 2.0, 2.0, 4.5, 4.5], [0.25, 1.0, 1.0, 2.25, 2.25], [0.25, 1.0, 1.0, 2.25, 2.25]]","[[1.0, 2.0, 2.0, 2.0, 2.0], [0.5, 1.0, 1.0, 1.0, 1.0], [0.5, 1.0, 1.0, 1.0, 1.0], [0.1667, 0.3333, 0.3333, 0.3333, 0.3333], [0.1667, 0.3333, 0.3333, 0.3333, 0.3333]]","[[1.0, 2.0, 2.0, 6.0, 6.0], [0.5, 1.0, 1.0, 3.0, 3.0], [0.5, 1.0, 1.0, 3.0, 3.0], [0.5, 1.0, 1.0, 3.0, 3.0], [0.5, 1.0, 1.0, 3.0, 3.0]]"
3,"[[0.9175, 1.8349, 1.8349, 2.8333, 2.0], [0.2429, 0.4857, 0.4857, 0.75, 0.5294], [0.3238, 0.6476, 0.6476, 1.0, 0.7059], [0.0625, 0.125, 0.125, 0.193, 0.1362], [0.0667, 0.1333, 0.1333, 0.2059, 0.1453]]","[[1.09, 4.1176, 3.0882, 16.0, 14.9999], [0.545, 2.0588, 1.5441, 8.0, 7.5], [0.545, 2.0588, 1.5441, 8.0, 7.5], [0.3529, 1.3333, 1.0, 5.181, 4.8571], [0.5, 1.8889, 1.4167, 7.3397, 6.8809]]","[[0.9175, 1.8349, 1.8349, 2.8333, 2.0], [0.2429, 0.4857, 0.4857, 0.75, 0.5294], [0.3238, 0.6476, 0.6476, 1.0, 0.7059], [0.0625, 0.125, 0.125, 0.193, 0.1362], [0.0667, 0.1333, 0.1333, 0.2059, 0.1453]]","[[1.09, 4.1176, 3.0882, 16.0, 14.9999], [0.545, 2.0588, 1.5441, 8.0, 7.5], [0.545, 2.0588, 1.5441, 8.0, 7.5], [0.3529, 1.3333, 1.0, 5.181, 4.8571], [0.5, 1.8889, 1.4167, 7.3397, 6.8809]]","[[1.0, 2.0, 2.0, 5.0, 4.2603], [0.4694, 0.9389, 0.9389, 2.3472, 2.0], [0.5, 1.0, 1.0, 2.5, 2.1302], [0.0625, 0.125, 0.125, 0.3125, 0.2663], [0.0667, 0.1333, 0.1333, 0.3333, 0.284]]","[[1.0, 2.1302, 2.0, 16.0, 14.9999], [0.5, 1.0651, 1.0, 8.0, 7.5], [0.5, 1.0651, 1.0, 8.0, 7.5], [0.2, 0.426, 0.4, 3.2, 3.0], [0.2347, 0.5, 0.4694, 3.7556, 3.5208]]","[[0.9444, 2.8333, 1.8889, 2.8333, 2.0], [0.25, 0.75, 0.5, 0.75, 0.5294], [0.3333, 1.0, 0.6667, 1.0, 0.7059], [0.3333, 1.0, 0.6667, 1.0, 0.7059], [0.1667, 0.5, 0.3333, 0.5, 0.3529]]","[[1.0588, 4.0, 3.0, 3.0, 6.0], [0.3529, 1.3333, 1.0, 1.0, 2.0], [0.5294, 2.0, 1.5, 1.5, 3.0], [0.3529, 1.3333, 1.0, 1.0, 2.0], [0.5, 1.8889, 1.4167, 1.4167, 2.8333]]","[[1.0, 2.0, 2.0, 4.0, 4.0], [0.5, 1.0, 1.0, 2.0, 2.0], [0.3333, 0.6667, 0.6667, 1.3333, 1.3333], [0.1667, 0.3333, 0.3333, 0.6667, 0.6667], [0.125, 0.25, 0.25, 0.5, 0.5]]","[[1.0, 2.0, 3.0, 6.0, 8.0], [0.5, 1.0, 1.5, 3.0, 4.0], [0.5, 1.0, 1.5, 3.0, 4.0], [0.25, 0.5, 0.75, 1.5, 2.0], [0.25, 0.5, 0.75, 1.5, 2.0]]","[[1.0, 2.0, 2.0, 5.0, 4.2603], [0.4694, 0.9389, 0.9389, 2.3472, 2.0], [0.5, 1.0, 1.0, 2.5, 2.1302], [0.0625, 0.125, 0.125, 0.3125, 0.2663], [0.0667, 0.1333, 0.1333, 0.3333, 0.284]]","[[1.0, 2.1302, 2.0, 16.0, 14.9999], [0.5, 1.0651, 1.0, 8.0, 7.5], [0.5, 1.0651, 1.0, 8.0, 7.5], [0.2, 0.426, 0.4, 3.2, 3.0], [0.2347, 0.5, 0.4694, 3.7556, 3.5208]]","[[0.9444, 2.8333, 1.8889, 2.8333, 2.0], [0.25, 0.75, 0.5, 0.75, 0.5294], [0.3333, 1.0, 0.6667, 1.0, 0.7059], [0.3333, 1.0, 0.6667, 1.0, 0.7059], [0.1667, 0.5, 0.3333, 0.5, 0.3529]]","[[1.0588, 4.0, 3.0, 3.0, 6.0], [0.3529, 1.3333, 1.0, 1.0, 2.0], [0.5294, 2.0, 1.5, 1.5, 3.0], [0.3529, 1.3333, 1.0, 1.0, 2.0], [0.5, 1.8889, 1.4167, 1.4167, 2.8333]]","[[1.0, 2.0, 2.0, 4.0, 4.0], [0.5, 1.0, 1.0, 2.0, 2.0], [0.3333, 0.6667, 0.6667, 1.3333, 1.3333], [0.1667, 0.3333, 0.3333, 0.6667, 0.6667], [0.125, 0.25, 0.25, 0.5, 0.5]]","[[1.0, 2.0, 3.0, 6.0, 8.0], [0.5, 1.0, 1.5, 3.0, 4.0], [0.5, 1.0, 1.5, 3.0, 4.0], [0.25, 0.5, 0.75, 1.5, 2.0], [0.25, 0.5, 0.75, 1.5, 2.0]]"
4,"[[0.9448, 2.1066, 1.8897, 2.0, 2.8966], [0.2, 0.4459, 0.4, 0.4234, 0.6131], [0.3149, 0.7022, 0.6299, 0.6667, 0.9655], [0.1667, 0.3716, 0.3333, 0.3528, 0.5109], [0.1223, 0.2727, 0.2446, 0.2589, 0.375]]","[[1.0584, 5.0, 3.1752, 6.0, 8.1752], [0.4747, 2.2426, 1.4241, 2.6911, 3.6667], [0.5292, 2.5, 1.5876, 3.0, 4.0876], [0.5, 2.3621, 1.5, 2.8345, 3.8621], [0.3452, 1.631, 1.0357, 1.9571, 2.6667]]","[[0.9448, 1.9891, 1.8897, 2.0, 2.8966], [0.2, 0.4211, 0.4, 0.4234, 0.6131], [0.3149, 0.663, 0.6299, 0.6667, 0.9655], [0.1667, 0.3509, 0.3333, 0.3528, 0.5109], [0.1223, 0.2575, 0.2446, 0.2589, 0.375]]","[[1.0584, 5.0, 3.1752, 6.0, 8.1752], [0.5027, 2.375, 1.5082, 2.85, 3.8832], [0.5292, 2.5, 1.5876, 3.0, 4.0876], [0.5, 2.3621, 1.5, 2.8345, 3.8621], [0.3452, 1.631, 1.0357, 1.9571, 2.6667]]","[[1.0, 2.3077, 2.3077, 2.0, 3.0], [0.3333, 0.7692, 0.7692, 0.6667, 1.0], [0.3333, 0.7692, 0.7692, 0.6667, 1.0], [0.2167, 0.5, 0.5, 0.4333, 0.65], [0.25, 0.5769, 0.5769, 0.5, 0.75]]","[[1.0, 3.0, 3.0, 4.6154, 4.0], [0.4333, 1.3, 1.3, 2.0, 1.7333], [0.4333, 1.3, 1.3, 2.0, 1.7333], [0.5, 1.5, 1.5, 2.3077, 2.0], [0.3333, 1.0, 1.0, 1.5385, 1.3333]]","[[1.0, 2.1818, 2.0, 4.0, 3.0], [0.25, 0.5455, 0.5, 1.0, 0.75], [0.4583, 1.0, 0.9167, 1.8333, 1.375], [0.25, 0.5455, 0.5, 1.0, 0.75], [0.125, 0.2727, 0.25, 0.5, 0.375]]","[[1.0, 4.0, 2.1818, 4.0, 8.0], [0.4583, 1.8333, 1.0, 1.8333, 3.6667], [0.5, 2.0, 1.0909, 2.0, 4.0], [0.25, 1.0, 0.5455, 1.0, 2.0], [0.3333, 1.3333, 0.7273, 1.3333, 2.6667]]","[[1.0, 2.7273, 2.0, 3.0, 4.0], [0.2, 0.5455, 0.4, 0.6, 0.8], [0.3667, 1.0, 0.7333, 1.1, 1.4667], [0.1667, 0.4545, 0.3333, 0.5, 0.6667], [0.1667, 0.4545, 0.3333, 0.5, 0.6667]]","[[1.0, 5.0, 2.7273, 6.0, 6.0], [0.3667, 1.8333, 1.0, 2.2, 2.2], [0.5, 2.5, 1.3636, 3.0, 3.0], [0.3333, 1.6667, 0.9091, 2.0, 2.0], [0.25, 1.25, 0.6818, 1.5, 1.5]]","[[1.0, 2.3077, 2.3077, 2.0, 3.0], [0.3333, 0.7692, 0.7692, 0.6667, 1.0], [0.3333, 0.7692, 0.7692, 0.6667, 1.0], [0.2167, 0.5, 0.5, 0.4333, 0.65], [0.25, 0.5769, 0.5769, 0.5, 0.75]]","[[1.0, 3.0, 3.0, 4.6154, 4.0], [0.4333, 1.3, 1.3, 2.0, 1.7333], [0.4333, 1.3, 1.3, 2.0, 1.7333], [0.5, 1.5, 1.5, 2.3077, 2.0], [0.3333, 1.0, 1.0, 1.5385, 1.3333]]","[[1.0, 2.087, 2.0, 4.0, 3.0], [0.25, 0.5217, 0.5, 1.0, 0.75], [0.4792, 1.0, 0.9583, 1.9167, 1.4375], [0.25, 0.5217, 0.5, 1.0, 0.75], [0.125, 0.2609, 0.25, 0.5, 0.375]]","[[1.0, 4.0, 2.087, 4.0, 8.0], [0.4792, 1.9167, 1.0, 1.9167, 3.8333], [0.5, 2.0, 1.0435, 2.0, 4.0], [0.25, 1.0, 0.5217, 1.0, 2.0], [0.3333, 1.3333, 0.6957, 1.3333, 2.6667]]","[[1.0, 2.1053, 2.0, 3.0, 4.0], [0.2, 0.4211, 0.4, 0.6, 0.8], [0.475, 1.0, 0.95, 1.425, 1.9], [0.1667, 0.3509, 0.3333, 0.5, 0.6667], [0.1667, 0.3509, 0.3333, 0.5, 0.6667]]","[[1.0, 5.0, 2.1053, 6.0, 6.0], [0.475, 2.375, 1.0, 2.85, 2.85], [0.5, 2.5, 1.0526, 3.0, 3.0], [0.3333, 1.6667, 0.7018, 2.0, 2.0], [0.25, 1.25, 0.5263, 1.5, 1.5]]"
5,"[[0.6, 0.63, 0.7, 1.0, 1.0], [0.3333, 0.35, 0.3889, 0.5556, 0.5556], [0.5, 0.525, 0.5833, 0.8333, 0.8333], [0.1905, 0.2, 0.2222, 0.3175, 0.3175], [0.1667, 0.175, 0.1944, 0.2778, 0.2778]]","[[1.6667, 3.0, 2.0, 5.25, 6.0], [1.5873, 2.8571, 1.9048, 5.0, 5.7143], [1.4286, 2.5714, 1.7143, 4.5, 5.1429], [1.0, 1.8, 1.2, 3.15, 3.6], [1.0, 1.8, 1.2, 3.15, 3.6]]","[[0.5, 0.5739, 0.7, 1.0, 1.0], [0.3333, 0.3826, 0.4667, 0.6667, 0.6667], [0.4545, 0.5217, 0.6364, 0.9091, 0.9091], [0.1515, 0.1739, 0.2121, 0.303, 0.303], [0.1515, 0.1739, 0.2121, 0.303, 0.303]]","[[2.0, 3.0, 2.2, 6.6, 6.6], [1.7424, 2.6136, 1.9167, 5.75, 5.75], [1.4286, 2.1429, 1.5714, 4.7143, 4.7143], [1.0, 1.5, 1.1, 3.3, 3.3], [1.0, 1.5, 1.1, 3.3, 3.3]]","[[0.6, 1.0, 1.0, 1.0, 1.0], [0.3333, 0.5556, 0.5556, 0.5556, 0.5556], [0.5, 0.8333, 0.8333, 0.8333, 0.8333], [0.6, 1.0, 1.0, 1.0, 1.0], [0.2, 0.3333, 0.3333, 0.3333, 0.3333]]","[[1.6667, 3.0, 2.0, 1.6667, 5.0], [1.0, 1.8, 1.2, 1.0, 3.0], [1.0, 1.8, 1.2, 1.0, 3.0], [1.0, 1.8, 1.2, 1.0, 3.0], [1.0, 1.8, 1.2, 1.0, 3.0]]","[[1.0, 1.3333, 1.0, 2.0, 2.0], [0.5, 0.6667, 0.5, 1.0, 1.0], [0.75, 1.0, 0.75, 1.5, 1.5], [0.5, 0.6667, 0.5, 1.0, 1.0], [0.25, 0.3333, 0.25, 0.5, 0.5]]","[[1.0, 2.0, 1.3333, 2.0, 4.0], [0.75, 1.5, 1.0, 1.5, 3.0], [1.0, 2.0, 1.3333, 2.0, 4.0], [0.5, 1.0, 0.6667, 1.0, 2.0], [0.5, 1.0, 0.6667, 1.0, 2.0]]","[[0.9524, 1.0, 1.6667, 1.6667, 3.3333], [0.5714, 0.6, 1.0, 1.0, 2.0], [0.5, 0.525, 0.875, 0.875, 1.75], [0.1905, 0.2, 0.3333, 0.3333, 0.6667], [0.1667, 0.175, 0.2917, 0.2917, 0.5833]]","[[1.05, 1.75, 2.0, 5.25, 6.0], [1.0, 1.6667, 1.9048, 5.0, 5.7143], [0.6, 1.0, 1.1429, 3.0, 3.4286], [0.6, 1.0, 1.1429, 3.0, 3.4286], [0.3, 0.5, 0.5714, 1.5, 1.7143]]","[[0.5, 1.0, 1.0, 1.0, 1.0], [0.3333, 0.6667, 0.6667, 0.6667, 0.6667], [0.5, 1.0, 1.0, 1.0, 1.0], [0.5, 1.0, 1.0, 1.0, 1.0], [0.1667, 0.3333, 0.3333, 0.3333, 0.3333]]","[[2.0, 3.0, 2.0, 2.0, 6.0], [1.0, 1.5, 1.0, 1.0, 3.0], [1.0, 1.5, 1.0, 1.0, 3.0], [1.0, 1.5, 1.0, 1.0, 3.0], [1.0, 1.5, 1.0, 1.0, 3.0]]","[[1.0, 1.1429, 1.0, 2.0, 2.0], [0.5, 0.5714, 0.5, 1.0, 1.0], [0.875, 1.0, 0.875, 1.75, 1.75], [0.5, 0.5714, 0.5, 1.0, 1.0], [0.25, 0.2857, 0.25, 0.5, 0.5]]","[[1.0, 2.0, 1.1429, 2.0, 4.0], [0.875, 1.75, 1.0, 1.75, 3.5], [1.0, 2.0, 1.1429, 2.0, 4.0], [0.5, 1.0, 0.5714, 1.0, 2.0], [0.5, 1.0, 0.5714, 1.0, 2.0]]","[[0.9583, 1.0, 1.9167, 1.9167, 3.8333], [0.5, 0.5217, 1.0, 1.0, 2.0], [0.5, 0.5217, 1.0, 1.0, 2.0], [0.1667, 0.1739, 0.3333, 0.3333, 0.6667], [0.1667, 0.1739, 0.3333, 0.3333, 0.6667]]","[[1.0435, 2.0, 2.0, 6.0, 6.0], [1.0, 1.9167, 1.9167, 5.75, 5.75], [0.5217, 1.0, 1.0, 3.0, 3.0], [0.5217, 1.0, 1.0, 3.0, 3.0], [0.2609, 0.5, 0.5, 1.5, 1.5]]"
6,"[[0.8367, 0.9932, 0.8367, 1.6735, 2.0], [0.1429, 0.1696, 0.1429, 0.2857, 0.3415], [0.5714, 0.6783, 0.5714, 1.1429, 1.3659], [0.1204, 0.1429, 0.1204, 0.2407, 0.2877], [0.1111, 0.1319, 0.1111, 0.2222, 0.2656]]","[[1.1951, 7.0, 1.75, 8.3089, 9.0], [1.0068, 5.8973, 1.4743, 7.0, 7.5822], [1.1951, 7.0, 1.75, 8.3089, 9.0], [0.5976, 3.5, 0.875, 4.1545, 4.5], [0.5, 2.9286, 0.7321, 3.4762, 3.7653]]","[[0.7868, 0.9932, 0.7868, 1.5737, 2.0], [0.1429, 0.1803, 0.1429, 0.2857, 0.3631], [0.5016, 0.6331, 0.5016, 1.0032, 1.2749], [0.1132, 0.1429, 0.1132, 0.2264, 0.2877], [0.1111, 0.1402, 0.1111, 0.2222, 0.2824]]","[[1.2709, 7.0, 1.9937, 8.8357, 9.0], [1.0068, 5.5457, 1.5795, 7.0, 7.1301], [1.2709, 7.0, 1.9937, 8.8357, 9.0], [0.6354, 3.5, 0.9968, 4.4179, 4.5], [0.5, 2.754, 0.7844, 3.4762, 3.5408]]","[[1.0, 1.3333, 1.0, 2.0, 2.0], [0.5, 0.6667, 0.5, 1.0, 1.0], [0.75, 1.0, 0.75, 1.5, 1.5], [0.3333, 0.4444, 0.3333, 0.6667, 0.6667], [0.25, 0.3333, 0.25, 0.5, 0.5]]","[[1.0, 2.0, 1.3333, 3.0, 4.0], [0.75, 1.5, 1.0, 2.25, 3.0], [1.0, 2.0, 1.3333, 3.0, 4.0], [0.5, 1.0, 0.6667, 1.5, 2.0], [0.5, 1.0, 0.6667, 1.5, 2.0]]","[[1.0, 1.0, 1.0, 2.25, 3.0], [0.8889, 0.8889, 0.8889, 2.0, 2.6667], [1.0, 1.0, 1.0, 2.25, 3.0], [0.1429, 0.1429, 0.1429, 0.3214, 0.4286], [0.1429, 0.1429, 0.1429, 0.3214, 0.4286]]","[[1.0, 1.125, 1.0, 7.0, 7.0], [1.0, 1.125, 1.0, 7.0, 7.0], [1.0, 1.125, 1.0, 7.0, 7.0], [0.4444, 0.5, 0.4444, 3.1111, 3.1111], [0.3333, 0.375, 0.3333, 2.3333, 2.3333]]","[[1.0, 1.75, 1.0, 2.0, 3.5], [0.1429, 0.25, 0.1429, 0.2857, 0.5], [0.5714, 1.0, 0.5714, 1.1429, 2.0], [0.5, 0.875, 0.5, 1.0, 1.75], [0.1111, 0.1944, 0.1111, 0.2222, 0.3889]]","[[1.0, 7.0, 1.75, 2.0, 9.0], [0.5714, 4.0, 1.0, 1.1429, 5.1429], [1.0, 7.0, 1.75, 2.0, 9.0], [0.5, 3.5, 0.875, 1.0, 4.5], [0.2857, 2.0, 0.5, 0.5714, 2.5714]]","[[1.0, 1.0435, 1.0, 2.0, 2.0], [0.5, 0.5217, 0.5, 1.0, 1.0], [0.9583, 1.0, 0.9583, 1.9167, 1.9167], [0.3333, 0.3478, 0.3333, 0.6667, 0.6667], [0.25, 0.2609, 0.25, 0.5, 0.5]]","[[1.0, 2.0, 1.0435, 3.0, 4.0], [0.9583, 1.9167, 1.0, 2.875, 3.8333], [1.0, 2.0, 1.0435, 3.0, 4.0], [0.5, 1.0, 0.5217, 1.5, 2.0], [0.5, 1.0, 0.5217, 1.5, 2.0]]","[[1.0, 1.0, 1.0, 2.25, 3.0], [0.8889, 0.8889, 0.8889, 2.0, 2.6667], [1.0, 1.0, 1.0, 2.25, 3.0], [0.1429, 0.1429, 0.1429, 0.3214, 0.4286], [0.1429, 0.1429, 0.1429, 0.3214, 0.4286]]","[[1.0, 1.125, 1.0, 7.0, 7.0], [1.0, 1.125, 1.0, 7.0, 7.0], [1.0, 1.125, 1.0, 7.0, 7.0], [0.4444, 0.5, 0.4444, 3.1111, 3.1111], [0.3333, 0.375, 0.3333, 2.3333, 2.3333]]","[[1.0, 1.9937, 1.0, 2.0, 3.9873], [0.1429, 0.2848, 0.1429, 0.2857, 0.5696], [0.5016, 1.0, 0.5016, 1.0032, 2.0], [0.5, 0.9968, 0.5, 1.0, 1.9937], [0.1111, 0.2215, 0.1111, 0.2222, 0.443]]","[[1.0, 7.0, 1.9937, 2.0, 9.0], [0.5016, 3.5111, 1.0, 1.0032, 4.5143], [1.0, 7.0, 1.9937, 2.0, 9.0], [0.5, 3.5, 0.9968, 1.0, 4.5], [0.2508, 1.7556, 0.5, 0.5016, 2.2571]]"
