PCM_Identifiers,entani論文のPerfectIncorporation,中心総和1のPerfectIncorporation,解の非唯一性考慮のPerfectIncorporation,entani論文のCommonGround,中心総和1のCommonGround,解の非唯一性考慮のCommonGround,entani論文のPartialIncorporation,中心総和1のPartialIncorporation,解の非唯一性考慮のPartialIncorporation
"Any[""Trial-29_PCM-1"", ""Trial-29_PCM-2"", ""Trial-29_PCM-3""]",12.816115550403202,75.44399943837567,13.468386992041788,Error,Error,Error,3.06314319138997,2.4876394965575894,3.3660846130816724
"Any[""Trial-30_PCM-1"", ""Trial-30_PCM-2"", ""Trial-30_PCM-3""]",19.63007366838165,20.73104392034709,20.177606095183236,Error,Error,Error,4.286690826828124,4.3966491571537905,3.8605510862920425
"Any[""Trial-31_PCM-1"", ""Trial-31_PCM-2"", ""Trial-31_PCM-3""]",14.755514246522383,16.30450764293257,14.755515052367768,Error,Error,Error,1.9369257624567604,2.2969260458146215,1.8449134917825303
"Any[""Trial-32_PCM-1"", ""Trial-32_PCM-2"", ""Trial-32_PCM-3""]",13.534035833843415,13.182672204059607,13.164776775284256,Error,Error,Error,3.3080316252795283,1.7704671854766172,1.1983420468589214
"Any[""Trial-33_PCM-1"", ""Trial-33_PCM-2"", ""Trial-33_PCM-3""]",19.252052229435172,86.92394085902936,18.039307174744653,Error,Error,Error,6.836387454332536,5.4954823974478195,5.4199693365432795
"Any[""Trial-34_PCM-1"", ""Trial-34_PCM-2"", ""Trial-34_PCM-3""]",18.777154628020824,144.66707045860568,20.22877724585513,Error,Error,Error,4.19440541182546,4.264078094485187,4.224209915967335
"Any[""Trial-35_PCM-1"", ""Trial-35_PCM-2"", ""Trial-35_PCM-3""]",18.25739172688235,82.95891318434838,17.99923784724015,Error,Error,Error,3.649294619959391,4.811523024895356,3.2058107493513517
"Any[""Trial-36_PCM-1"", ""Trial-36_PCM-2"", ""Trial-36_PCM-3""]",20.434597527323366,92.40471662297159,20.226255835414474,Error,Error,Error,3.3815915709172786,3.1804224039436955,3.1482740449431037
"Any[""Trial-37_PCM-1"", ""Trial-37_PCM-2"", ""Trial-37_PCM-3""]",23.07328232672187,27.56734082738269,23.802568435445,Error,Error,Error,9.542730045709853,8.453830519951484,7.789161962209521
"Any[""Trial-38_PCM-1"", ""Trial-38_PCM-2"", ""Trial-38_PCM-3""]",24.426077024867283,27.487835580676176,24.763308115688815,Error,Error,Error,6.872014334225001,8.321927557891492,6.889079021954541
