PCM_Identifiers,entani論文のPerfectIncorporation,中心総和1のPerfectIncorporation,解の非唯一性考慮のPerfectIncorporation,entani論文のCommonGround,中心総和1のCommonGround,解の非唯一性考慮のCommonGround,entani論文のPartialIncorporation,中心総和1のPartialIncorporation,解の非唯一性考慮のPartialIncorporation
"Any[""Trial-1_PCM-1"", ""Trial-1_PCM-2"", ""Trial-1_PCM-3""]",17.450103515628342,17.508691913400654,17.450103515627983,Error,Error,Error,2.889057599226108,2.8819361510701946,2.828506201759727
"Any[""Trial-2_PCM-1"", ""Trial-2_PCM-2"", ""Trial-2_PCM-3""]",17.669508417033036,17.632034283394784,16.940759210025295,Error,Error,Error,2.1740758981018637,2.0289176247712613,0.6019190867822044
"Any[""Trial-3_PCM-1"", ""Trial-3_PCM-2"", ""Trial-3_PCM-3""]",14.67552915918806,14.946307528155224,14.675529159188425,Error,Error,Error,1.996834062571371,1.7436709213274315,1.753315220000311
"Any[""Trial-4_PCM-1"", ""Trial-4_PCM-2"", ""Trial-4_PCM-3""]",17.26801658964689,19.447245296250575,17.580618374553964,Error,Error,Error,2.271526805926994,5.376154237752972,2.3648243369500133
"Any[""Trial-5_PCM-1"", ""Trial-5_PCM-2"", ""Trial-5_PCM-3""]",11.762664906045146,12.145365291656113,11.762664906044344,Error,Error,Error,1.8135179910943566,2.3801614176283516,1.4685536336591498
"Any[""Trial-6_PCM-1"", ""Trial-6_PCM-2"", ""Trial-6_PCM-3""]",15.194187652764942,16.162293213005267,15.194187652765404,Error,Error,Error,2.045557641833696,2.838709391964805,2.1041617991112593
"Any[""Trial-7_PCM-1"", ""Trial-7_PCM-2"", ""Trial-7_PCM-3""]",19.127579500495912,21.490752916721707,19.127579500495955,Error,Error,Error,2.1305008715554608,2.294638772963439,1.2522300806477937
"Any[""Trial-8_PCM-1"", ""Trial-8_PCM-2"", ""Trial-8_PCM-3""]",15.358428487534251,17.615372253644498,16.073932705737853,Error,Error,Error,0.6853804008830477,3.540655557920769,0.9563855246706976
"Any[""Trial-9_PCM-1"", ""Trial-9_PCM-2"", ""Trial-9_PCM-3""]",13.530872373349501,14.228549710640866,13.530872373359122,Error,Error,Error,0.31878788077136955,0.31878788077361,0.3337132649911989
"Any[""Trial-10_PCM-1"", ""Trial-10_PCM-2"", ""Trial-10_PCM-3""]",13.039966422275091,14.749432941042622,13.039966422274926,Error,Error,Error,0.6587378800338561,2.0133622528047814,0.9537752440676373
"Any[""Trial-11_PCM-1"", ""Trial-11_PCM-2"", ""Trial-11_PCM-3""]",13.059507215218694,13.64353719527433,13.37731462268053,Error,Error,Error,2.1909542303530194,2.190954230353035,1.0340839780993683
"Any[""Trial-12_PCM-1"", ""Trial-12_PCM-2"", ""Trial-12_PCM-3""]",17.38575402807498,19.893196912337725,17.868658168103998,Error,Error,Error,0.685380400883262,3.2260209717043575,0.9563855246703878
"Any[""Trial-13_PCM-1"", ""Trial-13_PCM-2"", ""Trial-13_PCM-3""]",15.215250847015852,14.15560770485904,13.167306720555608,Error,Error,Error,3.295248424618128,1.499771703892605,0.9537752440676228
"Any[""Trial-14_PCM-1"", ""Trial-14_PCM-2"", ""Trial-14_PCM-3""]",12.49823694786449,12.793417243521537,12.498236947864484,Error,Error,Error,0.5163967472701059,1.0884485031592928,0.5410273389508513
"Any[""Trial-15_PCM-1"", ""Trial-15_PCM-2"", ""Trial-15_PCM-3""]",15.757029444325493,16.671943559949685,14.451858789480717,Error,Error,6.931471805599476,3.0885453745385263,1.901027206744479,0.0
"Any[""Trial-16_PCM-1"", ""Trial-16_PCM-2"", ""Trial-16_PCM-3""]",14.989450605832493,15.972100119812911,14.989450605832168,Error,Error,Error,3.385546481313355,3.385546481311618,2.0605112326236674
"Any[""Trial-17_PCM-1"", ""Trial-17_PCM-2"", ""Trial-17_PCM-3""]",17.552991830765876,20.309902496726295,18.07759810574509,Error,Error,Error,0.8986023609482885,2.1190969434004736,0.6113081332020542
"Any[""Trial-18_PCM-1"", ""Trial-18_PCM-2"", ""Trial-18_PCM-3""]",14.550259781005037,14.7779698832396,14.550259781004897,Error,Error,Error,3.385546481313615,3.3855464813135407,2.0133622528047335
"Any[""Trial-19_PCM-1"", ""Trial-19_PCM-2"", ""Trial-19_PCM-3""]",16.807519502608457,15.693107677585836,14.913433669482053,Error,Error,Error,3.4863544887192344,0.8966317649492328,0.8966317649492372
"Any[""Trial-20_PCM-1"", ""Trial-20_PCM-2"", ""Trial-20_PCM-3""]",19.774995998660817,20.425261639901755,19.774995998660614,Error,Error,Error,3.5688323388134235,4.480440122783239,4.003889223761509
"Any[""Trial-21_PCM-1"", ""Trial-21_PCM-2"", ""Trial-21_PCM-3""]",14.089005325306774,13.124101922421737,12.85959013388821,Error,Error,8.047189562170352,1.4070622971910285,0.3065686128365397,0.0
"Any[""Trial-22_PCM-1"", ""Trial-22_PCM-2"", ""Trial-22_PCM-3""]",18.32257387555007,31.79119055503311,21.696071493388494,Error,Error,Error,2.61295232672805,5.737858133453364,4.0068755419481485
"Any[""Trial-23_PCM-1"", ""Trial-23_PCM-2"", ""Trial-23_PCM-3""]",12.744540075868795,13.04548406092454,12.908489189984014,Error,Error,Error,1.315562018281169,1.3155620182819305,0.5244419922071208
