PCM_Identifiers,entani論文のPerfectIncorporation,中心総和1のPerfectIncorporation,解の非唯一性考慮のPerfectIncorporation,entani論文のCommonGround,中心総和1のCommonGround,解の非唯一性考慮のCommonGround,entani論文のPartialIncorporation,中心総和1のPartialIncorporation,解の非唯一性考慮のPartialIncorporation
"Any[""Trial-1_PCM-1"", ""Trial-1_PCM-2"", ""Trial-1_PCM-3""]",40.46520461054832,40.23779203497601,37.42975271502796,Error,Error,4.852030263918729,6.117603722860433,7.875984191811979,0.0
"Any[""Trial-2_PCM-1"", ""Trial-2_PCM-2"", ""Trial-2_PCM-3""]",44.225624580890965,154.8545799215129,41.61461172031268,Error,Error,Error,9.588794801332268,10.918392085139072,3.7111307821869324
"Any[""Trial-3_PCM-1"", ""Trial-3_PCM-2"", ""Trial-3_PCM-3""]",44.57171928022353,60.55403842107828,46.35915426764882,Error,Error,Error,8.565596235885767,10.205693968360649,7.536181576887159
"Any[""Trial-4_PCM-1"", ""Trial-4_PCM-2"", ""Trial-4_PCM-3""]",38.90479993422798,52.997682689169615,45.230277234480944,Error,Error,Error,5.158503531735626,9.749437221336054,7.512486099935683
"Any[""Trial-5_PCM-1"", ""Trial-5_PCM-2"", ""Trial-5_PCM-3""]",38.57915982478795,46.621213908472335,40.518424902685226,Error,Error,Error,10.361572070969808,6.987200012265629,3.902673481258862
"Any[""Trial-6_PCM-1"", ""Trial-6_PCM-2"", ""Trial-6_PCM-3""]",41.81718311383554,44.30767604025943,42.28178297894163,Error,Error,10.52854177743407,1.143349125830021,2.810007350459962,0.0
"Any[""Trial-7_PCM-1"", ""Trial-7_PCM-2"", ""Trial-7_PCM-3""]",41.307702489987356,44.14933796746887,39.64072336095185,Error,Error,Error,6.149602822773266,6.1186551250804975,3.4473353956843376
"Any[""Trial-8_PCM-1"", ""Trial-8_PCM-2"", ""Trial-8_PCM-3""]",50.81083734087348,371.29796153757627,55.75881901191088,Error,Error,Error,8.162118092179936,10.387641089865985,5.758608708965447
"Any[""Trial-9_PCM-1"", ""Trial-9_PCM-2"", ""Trial-9_PCM-3""]",54.52675726566956,67.2274523493376,54.824099263538365,Error,Error,Error,10.610317576486116,6.730282703520129,4.520214591657733
"Any[""Trial-10_PCM-1"", ""Trial-10_PCM-2"", ""Trial-10_PCM-3""]",45.60298883610618,51.39367841636748,46.50652813203384,Error,Error,Error,13.340136084912876,11.914051678038321,8.769340779467708
"Any[""Trial-11_PCM-1"", ""Trial-11_PCM-2"", ""Trial-11_PCM-3""]",45.22176005498203,52.29614903651483,42.12084325919477,Error,Error,Error,8.715818162141483,6.139845439767509,1.308583518551299
"Any[""Trial-12_PCM-1"", ""Trial-12_PCM-2"", ""Trial-12_PCM-3""]",43.9764303980788,155.47937262533804,45.50250088678331,Error,Error,Error,8.877894810937075,7.671230058313116,3.8480030186698695
"Any[""Trial-13_PCM-1"", ""Trial-13_PCM-2"", ""Trial-13_PCM-3""]",39.01503843300924,40.24140866000903,37.458771017779235,Error,Error,Error,6.030960825294026,7.498910037766725,1.4688086123554849
"Any[""Trial-14_PCM-1"", ""Trial-14_PCM-2"", ""Trial-14_PCM-3""]",37.22501165274174,144.4248860297011,34.78869309703228,Error,Error,9.704060527839378,5.575142626491485,5.718050751914869,0.0
"Any[""Trial-15_PCM-1"", ""Trial-15_PCM-2"", ""Trial-15_PCM-3""]",45.58268242066572,262.41471721239736,51.79099991383006,Error,Error,Error,7.5049021321438065,12.546386192224647,6.9120273455009595
"Any[""Trial-16_PCM-1"", ""Trial-16_PCM-2"", ""Trial-16_PCM-3""]",42.171544480165196,162.21716789353752,45.85756234530264,Error,Error,Error,8.220693929984277,7.880874461103938,3.3399426645479293
"Any[""Trial-17_PCM-1"", ""Trial-17_PCM-2"", ""Trial-17_PCM-3""]",47.08976649025274,158.90355003939467,50.90678874798343,Error,Error,9.704060527840486,0.21213568320822618,6.438190359956899,0.0
"Any[""Trial-18_PCM-1"", ""Trial-18_PCM-2"", ""Trial-18_PCM-3""]",42.512206855322276,72.9823341701067,42.07555843431981,Error,Error,Error,7.690804909535805,6.233868765887935,0.8196099220305402
