Trial,統合した解の中心の総和,t_L,t_U,DM1,DM1の式1の最適値,DM1の積,DM1の式10の最適値,DM2,DM2の式1の最適値,DM2の積,DM2の式10の最適値,DM3,DM3の式1の最適値,DM3の積,DM3の式10の最適値
30,0.9861111041111112,0.9999999880000011,1.0285714560783665,0.9861111101111109,0.2499999999999999,0.2465277775277775,0.24999999999999978,0.9722222032222236,0.277777777777777,0.27006172311728427,0.2777777777777777,0.9361111028111119,0.3500000000000003,0.3303921539333339,0.35294117647058854
167,0.9999999922222218,1.0000000000000002,1.0000000155555564,0.9404761906613757,0.26190476190476253,0.2463151927922648,0.26190476190476164,0.9642857141005291,0.21428571428571397,0.20663265302154207,0.2142857142857144,0.9642857070634916,0.35714285714285765,0.3461538435612532,0.3589743589743588
292,1.0000000234024393,0.9999999523414647,1.000000000853659,0.9999999997560974,0.22727272727272774,0.2272727272172951,0.22727272727272751,1.0000000003414629,0.18181818181818166,0.18181818188026613,0.181818181818182,0.9999999969268305,0.18181818181818132,0.18181818125942345,0.18181818181818155
354,0.9999999813461538,1.0,1.0000000373076938,0.9523809396886447,0.2857142857142856,0.2721088399110416,0.28571428571428603,0.9761904646520145,0.3333333333333335,0.3333333293933711,0.34146341463414664,0.9523809408424909,0.38095238095238093,0.380952376336997,0.4000000000000007
376,0.9999999829807691,1.0000000007692307,1.0000000332692323,0.9791666597435897,0.29166666666666674,0.2855902757585473,0.29166666666666696,0.9444444379059829,0.33333333333333337,0.31481481263532735,0.33333333333333304,0.9833333216025639,0.3000000000000004,0.29499999648076924,0.30000000000000004
377,0.9999999990624999,1.0000000000000002,1.0000000018750002,0.9814814639814808,0.2962962962962967,0.2908093226611796,0.2962962962962964,0.9444444269444436,0.3333333333333338,0.31481480898148156,0.3333333333333337,0.9861111017708328,0.2500000000000008,0.24652777544270732,0.2499999999999991
455,1.0,1.0,1.0,0.944444435277778,0.33333333333333315,0.31481481175925935,0.33333333333333337,1.0000000000000002,0.13333333333333286,0.13333333333333333,0.1333333333333333,0.9444444352777779,0.33333333333333326,0.31481481175926007,0.33333333333333415
485,0.9999999936029412,1.0,1.0000000127941178,0.9305555407026143,0.3611111111111115,0.3407668177220837,0.3661971830985912,0.9999999999999999,0.13333333333333286,0.13333333333333328,0.1333333333333333,0.9222222201633987,0.3777777777777779,0.35631313051767666,0.38636363636363624
698,0.9999999956171429,1.0,1.0000000087657144,0.9249999977999994,0.3500000000000001,0.3264705874588236,0.35294117647058854,0.9791666733580954,0.20833333333333282,0.20833333475704197,0.21276595744680893,0.951388887408888,0.347222222222223,0.3326534571359748,0.3496503496503496
728,1.0,1.0,1.0,0.9583333407407406,0.2500000000000008,0.23958333518518493,0.24999999999999978,0.9249999916666665,0.3500000000000003,0.3264705852941179,0.35294117647058854,1.0,0.16666666666666652,0.16666666666666696,0.16666666666666696
769,0.9999999768045116,1.000000018571429,1.0000000278195489,0.9761904686716791,0.23809523809523858,0.23242630206468565,0.23809523809523825,0.9571428253007523,0.3714285714285712,0.35892855948778213,0.375,0.9583333308145362,0.29761904761904756,0.2869261469504594,0.2994011976047899
825,0.9880952280952373,1.0,1.0243902648899486,0.9523809473809518,0.2857142857142868,0.27210884210884356,0.2857142857142859,0.9642856992857152,0.35714285714285665,0.3571428515873018,0.37037037037037024,0.964285709285714,0.35714285714285765,0.3571428552910055,0.3703703703703707
876,1.0,1.0,1.0000000000000002,0.9404761881463468,0.2619047619047632,0.2463151921335672,0.2619047619047621,0.964285718081526,0.3571428571428571,0.3552631592931938,0.368421052631579,0.9642857095474946,0.357142857142857,0.35526315614907666,0.36842105263157865
904,0.9999999999999997,1.0,1.0000000000000007,0.9833333153333332,0.29999999999999905,0.29797979252525264,0.3030303030303032,0.9749999859999992,0.25000000000000044,0.24999999641025628,0.2564102564102565,0.9749999859999993,0.24999999999999978,0.24999999641025653,0.2564102564102567
