PCM_Identifiers,entani論文のPerfectIncorporation,解の非唯一性考慮のPerfectIncorporation,ダミー,,,,,
"Any[""Trial-42_PCM-1"", ""Trial-42_PCM-2"", ""Trial-42_PCM-3""]",13.09138813,13.09138813,14.0759202,,,,42,
"Any[""Trial-43_PCM-1"", ""Trial-43_PCM-2"", ""Trial-43_PCM-3""]",13.87051131,13.87051131,14.05659125,,,,43,
"Any[""Trial-44_PCM-1"", ""Trial-44_PCM-2"", ""Trial-44_PCM-3""]",12.77944456,12.77944456,12.77944469,,,,44,
"Any[""Trial-45_PCM-1"", ""Trial-45_PCM-2"", ""Trial-45_PCM-3""]",19.1690476,19.1690476,19.2542287,,,,45,
"Any[""Trial-46_PCM-1"", ""Trial-46_PCM-2"", ""Trial-46_PCM-3""]",16.57994984,15.73490015,15.73490015,,,,46,
"Any[""Trial-47_PCM-1"", ""Trial-47_PCM-2"", ""Trial-47_PCM-3""]",10.7091127,10.7091127,15.48480024,,,,47,
"Any[""Trial-48_PCM-1"", ""Trial-48_PCM-2"", ""Trial-48_PCM-3""]",11.34850569,10.83220019,10.83220019,,,,48,
"Any[""Trial-49_PCM-1"", ""Trial-49_PCM-2"", ""Trial-49_PCM-3""]",13.50256807,13.50256807,14.30539537,,,,49,
"Any[""Trial-50_PCM-1"", ""Trial-50_PCM-2"", ""Trial-50_PCM-3""]",17.4547092,17.4547092,18.45255113,,,,50,
"Any[""Trial-51_PCM-1"", ""Trial-51_PCM-2"", ""Trial-51_PCM-3""]",11.17493419,11.17493419,11.26284982,,,,51,
"Any[""Trial-52_PCM-1"", ""Trial-52_PCM-2"", ""Trial-52_PCM-3""]",17.79167075,17.79167075,18.45859054,,,,52,
"Any[""Trial-53_PCM-1"", ""Trial-53_PCM-2"", ""Trial-53_PCM-3""]",13.51504277,13.34870058,13.34870058,,,,53,
"Any[""Trial-54_PCM-1"", ""Trial-54_PCM-2"", ""Trial-54_PCM-3""]",16.06552876,15.94202695,15.94202695,,,,54,
"Any[""Trial-55_PCM-1"", ""Trial-55_PCM-2"", ""Trial-55_PCM-3""]",10.1977772,10.1977772,11.79412217,,,,55,
"Any[""Trial-56_PCM-1"", ""Trial-56_PCM-2"", ""Trial-56_PCM-3""]",12.35375936,11.36500225,11.36500225,,,,56,
"Any[""Trial-57_PCM-1"", ""Trial-57_PCM-2"", ""Trial-57_PCM-3""]",18.27686968,18.27686968,18.57946925,,,,57,
"Any[""Trial-58_PCM-1"", ""Trial-58_PCM-2"", ""Trial-58_PCM-3""]",13.79994984,13.79994984,13.79995018,,,,58,
"Any[""Trial-59_PCM-1"", ""Trial-59_PCM-2"", ""Trial-59_PCM-3""]",16.13486128,16.13486128,18.49986754,,,,59,
"Any[""Trial-60_PCM-1"", ""Trial-60_PCM-2"", ""Trial-60_PCM-3""]",11.51179061,11.51179061,11.68089471,,,,60,
"Any[""Trial-61_PCM-1"", ""Trial-61_PCM-2"", ""Trial-61_PCM-3""]",16.04487543,15.95593565,15.95593565,,,,61,
"Any[""Trial-62_PCM-1"", ""Trial-62_PCM-2"", ""Trial-62_PCM-3""]",17.50023088,17.50023088,19.15613323,,,,62,
"Any[""Trial-63_PCM-1"", ""Trial-63_PCM-2"", ""Trial-63_PCM-3""]",13.9706502,13.43582154,13.43582154,,,,,
"Any[""Trial-64_PCM-1"", ""Trial-64_PCM-2"", ""Trial-64_PCM-3""]",16.6381535,16.6381535,16.6381611,,,,,
"Any[""Trial-65_PCM-1"", ""Trial-65_PCM-2"", ""Trial-65_PCM-3""]",12.79468668,11.73172615,11.73172615,,,,,
"Any[""Trial-66_PCM-1"", ""Trial-66_PCM-2"", ""Trial-66_PCM-3""]",16.1251339,16.1251339,16.40726059,,,,,
"Any[""Trial-67_PCM-1"", ""Trial-67_PCM-2"", ""Trial-67_PCM-3""]",11.48808547,11.48808547,14.97138696,,,,,
"Any[""Trial-68_PCM-1"", ""Trial-68_PCM-2"", ""Trial-68_PCM-3""]",16.75861616,16.75861616,16.79881846,,,,,
"Any[""Trial-69_PCM-1"", ""Trial-69_PCM-2"", ""Trial-69_PCM-3""]",10.41075682,9.950721163,9.950721163,,,,,
"Any[""Trial-70_PCM-1"", ""Trial-70_PCM-2"", ""Trial-70_PCM-3""]",23.8369029,23.8369029,25.93951772,,,,,
"Any[""Trial-71_PCM-1"", ""Trial-71_PCM-2"", ""Trial-71_PCM-3""]",12.05631169,12.05631169,12.91676231,,,,,
"Any[""Trial-72_PCM-1"", ""Trial-72_PCM-2"", ""Trial-72_PCM-3""]",13.0595647,13.0595647,14.25632363,,,,,
"Any[""Trial-73_PCM-1"", ""Trial-73_PCM-2"", ""Trial-73_PCM-3""]",18.25739048,18.25739048,18.25739116,,,,,
"Any[""Trial-74_PCM-1"", ""Trial-74_PCM-2"", ""Trial-74_PCM-3""]",16.9607421,14.99433837,14.99433837,,,,,
"Any[""Trial-75_PCM-1"", ""Trial-75_PCM-2"", ""Trial-75_PCM-3""]",12.13637481,12.13637481,12.22429016,,,,,
