PCM_Identifiers,entani論文のPerfectIncorporation,解の非唯一性考慮のPerfectIncorporation,ダミー,,,,,
"Any[""Trial-190_PCM-1"", ""Trial-190_PCM-2"", ""Trial-190_PCM-3""]",11.78943036,10.47375215,10.47375215,,,,,
"Any[""Trial-191_PCM-1"", ""Trial-191_PCM-2"", ""Trial-191_PCM-3""]",13.44150067,13.44150067,13.69270323,,,,,
"Any[""Trial-192_PCM-1"", ""Trial-192_PCM-2"", ""Trial-192_PCM-3""]",14.55688878,13.66431968,13.66431968,,,,,
"Any[""Trial-193_PCM-1"", ""Trial-193_PCM-2"", ""Trial-193_PCM-3""]",14.03436263,14.03436263,14.35453341,,,,,
"Any[""Trial-194_PCM-1"", ""Trial-194_PCM-2"", ""Trial-194_PCM-3""]",13.14273273,12.59543122,12.59543122,,,,,
"Any[""Trial-195_PCM-1"", ""Trial-195_PCM-2"", ""Trial-195_PCM-3""]",13.39960901,13.39960901,16.41056759,,,,,
"Any[""Trial-196_PCM-1"", ""Trial-196_PCM-2"", ""Trial-196_PCM-3""]",13.65847249,12.64396821,12.64396821,,,,,
"Any[""Trial-197_PCM-1"", ""Trial-197_PCM-2"", ""Trial-197_PCM-3""]",15.10362919,15.10362919,15.15543565,,,,,
"Any[""Trial-198_PCM-1"", ""Trial-198_PCM-2"", ""Trial-198_PCM-3""]",18.22717657,14.75551718,14.75551718,,,,,
"Any[""Trial-199_PCM-1"", ""Trial-199_PCM-2"", ""Trial-199_PCM-3""]",14.4973569,14.4973569,14.99801384,,,,,
"Any[""Trial-200_PCM-1"", ""Trial-200_PCM-2"", ""Trial-200_PCM-3""]",15.12848613,15.12848613,15.14432626,,,,,
"Any[""Trial-201_PCM-1"", ""Trial-201_PCM-2"", ""Trial-201_PCM-3""]",14.95067883,14.95067883,15.24710991,,,,,
"Any[""Trial-202_PCM-1"", ""Trial-202_PCM-2"", ""Trial-202_PCM-3""]",16.86256502,16.86256502,16.89575963,,,,,
"Any[""Trial-203_PCM-1"", ""Trial-203_PCM-2"", ""Trial-203_PCM-3""]",9.744464364,9.744464364,10.01302125,,,,,
"Any[""Trial-204_PCM-1"", ""Trial-204_PCM-2"", ""Trial-204_PCM-3""]",17.84602189,16.36732003,16.36732003,,,,,
"Any[""Trial-205_PCM-1"", ""Trial-205_PCM-2"", ""Trial-205_PCM-3""]",16.98034403,16.54301598,16.54301598,,,,,
"Any[""Trial-206_PCM-1"", ""Trial-206_PCM-2"", ""Trial-206_PCM-3""]",18.76171371,18.76171371,19.44440797,,,,,
"Any[""Trial-207_PCM-1"", ""Trial-207_PCM-2"", ""Trial-207_PCM-3""]",13.97561607,12.55287362,12.55287362,,,,,
"Any[""Trial-208_PCM-1"", ""Trial-208_PCM-2"", ""Trial-208_PCM-3""]",17.93816706,17.93816706,19.81625686,,,,,
"Any[""Trial-209_PCM-1"", ""Trial-209_PCM-2"", ""Trial-209_PCM-3""]",15.27498329,15.27498329,16.63552834,,,,,
"Any[""Trial-210_PCM-1"", ""Trial-210_PCM-2"", ""Trial-210_PCM-3""]",15.99620319,15.921642,15.921642,,,,,
"Any[""Trial-211_PCM-1"", ""Trial-211_PCM-2"", ""Trial-211_PCM-3""]",12.02712615,12.02712615,12.0271269,,,,,
"Any[""Trial-212_PCM-1"", ""Trial-212_PCM-2"", ""Trial-212_PCM-3""]",12.04596256,12.04596256,13.13370705,,,,,
"Any[""Trial-213_PCM-1"", ""Trial-213_PCM-2"", ""Trial-213_PCM-3""]",12.71221409,12.71221409,13.06026045,,,,,
"Any[""Trial-214_PCM-1"", ""Trial-214_PCM-2"", ""Trial-214_PCM-3""]",12.51705354,12.51705354,12.51705385,,,,,
"Any[""Trial-215_PCM-1"", ""Trial-215_PCM-2"", ""Trial-215_PCM-3""]",18.43497472,17.74856138,17.74856138,,,,,
"Any[""Trial-216_PCM-1"", ""Trial-216_PCM-2"", ""Trial-216_PCM-3""]",12.32396794,12.32396794,12.74540969,,,,,
"Any[""Trial-217_PCM-1"", ""Trial-217_PCM-2"", ""Trial-217_PCM-3""]",13.16684812,13.16684812,14.1256082,,,,,
"Any[""Trial-218_PCM-1"", ""Trial-218_PCM-2"", ""Trial-218_PCM-3""]",17.07553781,17.07553781,17.25212957,,,,,
"Any[""Trial-219_PCM-1"", ""Trial-219_PCM-2"", ""Trial-219_PCM-3""]",17.17746131,17.17745565,17.17745565,,,,,
"Any[""Trial-220_PCM-1"", ""Trial-220_PCM-2"", ""Trial-220_PCM-3""]",15.94263125,15.94263125,16.78100083,,,,,
"Any[""Trial-221_PCM-1"", ""Trial-221_PCM-2"", ""Trial-221_PCM-3""]",17.99920876,17.99920876,18.74238674,,,,,
"Any[""Trial-222_PCM-1"", ""Trial-222_PCM-2"", ""Trial-222_PCM-3""]",13.79994392,13.4295156,13.4295156,,,,,
"Any[""Trial-223_PCM-1"", ""Trial-223_PCM-2"", ""Trial-223_PCM-3""]",17.50927976,17.50927976,17.54276513,,,,,
"Any[""Trial-224_PCM-1"", ""Trial-224_PCM-2"", ""Trial-224_PCM-3""]",12.35374004,11.56148686,11.56148686,,,,,
"Any[""Trial-225_PCM-1"", ""Trial-225_PCM-2"", ""Trial-225_PCM-3""]",18.93325299,18.75804674,18.75804674,,,,,
"Any[""Trial-226_PCM-1"", ""Trial-226_PCM-2"", ""Trial-226_PCM-3""]",10.17874348,10.17874348,10.26122032,,,,,
"Any[""Trial-227_PCM-1"", ""Trial-227_PCM-2"", ""Trial-227_PCM-3""]",17.48557271,17.48557271,17.4855732,,,,,
"Any[""Trial-228_PCM-1"", ""Trial-228_PCM-2"", ""Trial-228_PCM-3""]",12.42782986,12.42782986,13.10411995,,,,,
"Any[""Trial-229_PCM-1"", ""Trial-229_PCM-2"", ""Trial-229_PCM-3""]",11.98292589,11.98292589,12.70930472,,,,,
"Any[""Trial-230_PCM-1"", ""Trial-230_PCM-2"", ""Trial-230_PCM-3""]",11.56148609,11.56148609,13.15856783,,,,,
"Any[""Trial-231_PCM-1"", ""Trial-231_PCM-2"", ""Trial-231_PCM-3""]",10.43121664,10.43121664,10.85265812,,,,,
"Any[""Trial-232_PCM-1"", ""Trial-232_PCM-2"", ""Trial-232_PCM-3""]",12.3641684,12.3641684,12.54892568,,,,,
"Any[""Trial-233_PCM-1"", ""Trial-233_PCM-2"", ""Trial-233_PCM-3""]",16.29656156,15.29199294,15.29199294,,,,,
"Any[""Trial-234_PCM-1"", ""Trial-234_PCM-2"", ""Trial-234_PCM-3""]",13.2235487,13.22354832,13.22354832,,,,,
"Any[""Trial-235_PCM-1"", ""Trial-235_PCM-2"", ""Trial-235_PCM-3""]",13.07066307,13.07066307,14.60052652,,,,,
"Any[""Trial-236_PCM-1"", ""Trial-236_PCM-2"", ""Trial-236_PCM-3""]",12.71221393,12.71221393,13.07066285,,,,,
"Any[""Trial-237_PCM-1"", ""Trial-237_PCM-2"", ""Trial-237_PCM-3""]",14.49736471,14.49736471,15.56232976,,,,,
"Any[""Trial-238_PCM-1"", ""Trial-238_PCM-2"", ""Trial-238_PCM-3""]",10.81278096,10.81278096,10.922378,,,,,
"Any[""Trial-239_PCM-1"", ""Trial-239_PCM-2"", ""Trial-239_PCM-3""]",19.59081217,19.59081217,19.96006181,,,,,
"Any[""Trial-240_PCM-1"", ""Trial-240_PCM-2"", ""Trial-240_PCM-3""]",20.69099918,19.78935863,19.78935863,,,,,
"Any[""Trial-241_PCM-1"", ""Trial-241_PCM-2"", ""Trial-241_PCM-3""]",13.81225158,13.81225158,15.61598203,,,,,
"Any[""Trial-242_PCM-1"", ""Trial-242_PCM-2"", ""Trial-242_PCM-3""]",16.79881932,16.79881932,16.79881938,,,,,
"Any[""Trial-243_PCM-1"", ""Trial-243_PCM-2"", ""Trial-243_PCM-3""]",12.086831,12.086831,12.81611533,,,,,
"Any[""Trial-244_PCM-1"", ""Trial-244_PCM-2"", ""Trial-244_PCM-3""]",16.44944605,13.55509813,13.55509813,,,,,
"Any[""Trial-245_PCM-1"", ""Trial-245_PCM-2"", ""Trial-245_PCM-3""]",13.08832684,13.08832684,15.30004399,,,,,
"Any[""Trial-246_PCM-1"", ""Trial-246_PCM-2"", ""Trial-246_PCM-3""]",15.7429558,15.7429558,15.74295639,,,,,
"Any[""Trial-247_PCM-1"", ""Trial-247_PCM-2"", ""Trial-247_PCM-3""]",11.44880131,11.44880131,11.86764519,,,,,
"Any[""Trial-248_PCM-1"", ""Trial-248_PCM-2"", ""Trial-248_PCM-3""]",12.0654024,12.0654024,12.54077745,,,,,
"Any[""Trial-249_PCM-1"", ""Trial-249_PCM-2"", ""Trial-249_PCM-3""]",14.79807068,14.79807068,15.57432415,,,,,
"Any[""Trial-250_PCM-1"", ""Trial-250_PCM-2"", ""Trial-250_PCM-3""]",9.343483355,9.343483355,9.343483369,,,,,
"Any[""Trial-251_PCM-1"", ""Trial-251_PCM-2"", ""Trial-251_PCM-3""]",12.89596303,12.89596303,13.21613347,,,,,
"Any[""Trial-252_PCM-1"", ""Trial-252_PCM-2"", ""Trial-252_PCM-3""]",9.939626599,9.939626599,10.66891244,,,,,
"Any[""Trial-253_PCM-1"", ""Trial-253_PCM-2"", ""Trial-253_PCM-3""]",14.37427599,13.60478953,13.60478953,,,,,
"Any[""Trial-254_PCM-1"", ""Trial-254_PCM-2"", ""Trial-254_PCM-3""]",16.83068989,16.83068989,17.39372843,,,,,
"Any[""Trial-255_PCM-1"", ""Trial-255_PCM-2"", ""Trial-255_PCM-3""]",12.04592198,12.04592198,13.84437781,,,,,
"Any[""Trial-256_PCM-1"", ""Trial-256_PCM-2"", ""Trial-256_PCM-3""]",17.03326015,16.30398126,16.30398126,,,,,
"Any[""Trial-257_PCM-1"", ""Trial-257_PCM-2"", ""Trial-257_PCM-3""]",12.71221205,12.71221205,13.77517949,,,,,
"Any[""Trial-258_PCM-1"", ""Trial-258_PCM-2"", ""Trial-258_PCM-3""]",16.28131801,16.28131801,16.8258473,,,,,
"Any[""Trial-259_PCM-1"", ""Trial-259_PCM-2"", ""Trial-259_PCM-3""]",14.39854024,14.1618575,14.1618575,,,,,
"Any[""Trial-260_PCM-1"", ""Trial-260_PCM-2"", ""Trial-260_PCM-3""]",13.86294297,13.86294082,13.86294082,,,,,
"Any[""Trial-261_PCM-1"", ""Trial-261_PCM-2"", ""Trial-261_PCM-3""]",14.30637945,13.21613289,13.21613289,,,,,
"Any[""Trial-262_PCM-1"", ""Trial-262_PCM-2"", ""Trial-262_PCM-3""]",15.25852046,15.25852046,15.40399188,,,,,
"Any[""Trial-263_PCM-1"", ""Trial-263_PCM-2"", ""Trial-263_PCM-3""]",13.29693979,12.86846864,12.86846864,,,,,
"Any[""Trial-264_PCM-1"", ""Trial-264_PCM-2"", ""Trial-264_PCM-3""]",9.614372201,9.614372201,9.865575711,,,,,
"Any[""Trial-265_PCM-1"", ""Trial-265_PCM-2"", ""Trial-265_PCM-3""]",16.00958148,16.00958148,16.55411024,,,,,
"Any[""Trial-266_PCM-1"", ""Trial-266_PCM-2"", ""Trial-266_PCM-3""]",13.6566857,13.6566857,13.70271657,,,,,
"Any[""Trial-267_PCM-1"", ""Trial-267_PCM-2"", ""Trial-267_PCM-3""]",12.2410799,12.2410799,12.78560902,,,,,
"Any[""Trial-268_PCM-1"", ""Trial-268_PCM-2"", ""Trial-268_PCM-3""]",11.03736312,10.83277839,10.83277839,,,,,
"Any[""Trial-269_PCM-1"", ""Trial-269_PCM-2"", ""Trial-269_PCM-3""]",15.03547902,14.97178398,14.97178398,,,,,
"Any[""Trial-270_PCM-1"", ""Trial-270_PCM-2"", ""Trial-270_PCM-3""]",10.41075874,10.41075874,10.639392,,,,,
"Any[""Trial-271_PCM-1"", ""Trial-271_PCM-2"", ""Trial-271_PCM-3""]",16.35363848,16.35363848,17.23285642,,,,,
"Any[""Trial-272_PCM-1"", ""Trial-272_PCM-2"", ""Trial-272_PCM-3""]",15.95592908,14.06951347,14.06951347,,,,,
"Any[""Trial-273_PCM-1"", ""Trial-273_PCM-2"", ""Trial-273_PCM-3""]",18.11530451,16.57253891,16.57253891,,,,,
"Any[""Trial-274_PCM-1"", ""Trial-274_PCM-2"", ""Trial-274_PCM-3""]",14.02369729,12.1425872,12.1425872,,,,,
"Any[""Trial-275_PCM-1"", ""Trial-275_PCM-2"", ""Trial-275_PCM-3""]",11.90953031,11.90953031,12.66465034,,,,,
"Any[""Trial-276_PCM-1"", ""Trial-276_PCM-2"", ""Trial-276_PCM-3""]",16.84850931,16.84850931,17.10666167,,,,,
"Any[""Trial-277_PCM-1"", ""Trial-277_PCM-2"", ""Trial-277_PCM-3""]",13.17193374,13.17193374,17.01769582,,,,,
"Any[""Trial-278_PCM-1"", ""Trial-278_PCM-2"", ""Trial-278_PCM-3""]",15.25616532,14.83472302,14.83472302,,,,,
"Any[""Trial-279_PCM-1"", ""Trial-279_PCM-2"", ""Trial-279_PCM-3""]",13.19341044,11.76680639,11.76680639,,,,,
"Any[""Trial-280_PCM-1"", ""Trial-280_PCM-2"", ""Trial-280_PCM-3""]",14.99801463,14.99801463,15.58550378,,,,,
"Any[""Trial-281_PCM-1"", ""Trial-281_PCM-2"", ""Trial-281_PCM-3""]",15.79356103,15.79356103,16.52284796,,,,,
"Any[""Trial-282_PCM-1"", ""Trial-282_PCM-2"", ""Trial-282_PCM-3""]",15.64808817,14.18588327,14.18588327,,,,,
"Any[""Trial-283_PCM-1"", ""Trial-283_PCM-2"", ""Trial-283_PCM-3""]",11.32378739,11.23157992,11.23157992,,,,,
"Any[""Trial-284_PCM-1"", ""Trial-284_PCM-2"", ""Trial-284_PCM-3""]",15.87512119,15.80651219,15.80651219,,,,,
"Any[""Trial-285_PCM-1"", ""Trial-285_PCM-2"", ""Trial-285_PCM-3""]",10.19777813,10.19777813,10.66891137,,,,,
"Any[""Trial-286_PCM-1"", ""Trial-286_PCM-2"", ""Trial-286_PCM-3""]",17.09965568,17.09965568,18.56523382,,,,,
"Any[""Trial-287_PCM-1"", ""Trial-287_PCM-2"", ""Trial-287_PCM-3""]",9.37271018,9.37271018,9.641267193,,,,,
"Any[""Trial-288_PCM-1"", ""Trial-288_PCM-2"", ""Trial-288_PCM-3""]",15.98545414,15.98545414,17.11141473,,,,,
"Any[""Trial-289_PCM-1"", ""Trial-289_PCM-2"", ""Trial-289_PCM-3""]",15.27425895,15.01734449,15.01734449,,,,,
"Any[""Trial-290_PCM-1"", ""Trial-290_PCM-2"", ""Trial-290_PCM-3""]",13.25673549,12.90869769,12.90869769,,,,,
"Any[""Trial-291_PCM-1"", ""Trial-291_PCM-2"", ""Trial-291_PCM-3""]",17.83594148,17.83594148,17.95189036,,,,,
"Any[""Trial-292_PCM-1"", ""Trial-292_PCM-2"", ""Trial-292_PCM-3""]",16.32438474,16.32438474,17.14930719,,,,,
"Any[""Trial-293_PCM-1"", ""Trial-293_PCM-2"", ""Trial-293_PCM-3""]",10.83220048,10.83220048,11.36632594,,,,,
"Any[""Trial-294_PCM-1"", ""Trial-294_PCM-2"", ""Trial-294_PCM-3""]",16.9906975,16.34390414,16.34390414,,,,,
"Any[""Trial-295_PCM-1"", ""Trial-295_PCM-2"", ""Trial-295_PCM-3""]",17.78993144,17.78993144,17.78993479,,,,,
"Any[""Trial-296_PCM-1"", ""Trial-296_PCM-2"", ""Trial-296_PCM-3""]",12.4540614,12.4540614,12.72261797,,,,,
"Any[""Trial-297_PCM-1"", ""Trial-297_PCM-2"", ""Trial-297_PCM-3""]",13.39960883,13.28235255,13.28235255,,,,,
"Any[""Trial-298_PCM-1"", ""Trial-298_PCM-2"", ""Trial-298_PCM-3""]",13.32881689,13.32881689,13.54508567,,,,,
"Any[""Trial-299_PCM-1"", ""Trial-299_PCM-2"", ""Trial-299_PCM-3""]",14.60455408,14.60455408,15.225618,,,,,
"Any[""Trial-300_PCM-1"", ""Trial-300_PCM-2"", ""Trial-300_PCM-3""]",14.26034612,14.04819068,14.04819068,,,,,
"Any[""Trial-301_PCM-1"", ""Trial-301_PCM-2"", ""Trial-301_PCM-3""]",10.41075745,10.41075745,10.66891109,,,,,
"Any[""Trial-302_PCM-1"", ""Trial-302_PCM-2"", ""Trial-302_PCM-3""]",15.95592822,15.95592822,18.4904307,,,,,
"Any[""Trial-303_PCM-1"", ""Trial-303_PCM-2"", ""Trial-303_PCM-3""]",15.48367026,15.48367026,18.87399198,,,,,
"Any[""Trial-304_PCM-1"", ""Trial-304_PCM-2"", ""Trial-304_PCM-3""]",14.22139073,14.22139073,14.35575429,,,,,
"Any[""Trial-305_PCM-1"", ""Trial-305_PCM-2"", ""Trial-305_PCM-3""]",12.08959463,11.31898661,11.31898661,,,,,
"Any[""Trial-306_PCM-1"", ""Trial-306_PCM-2"", ""Trial-306_PCM-3""]",12.17808295,10.10986453,10.10986453,,,,,
"Any[""Trial-307_PCM-1"", ""Trial-307_PCM-2"", ""Trial-307_PCM-3""]",14.64191852,14.64191852,14.64191905,,,,,
"Any[""Trial-308_PCM-1"", ""Trial-308_PCM-2"", ""Trial-308_PCM-3""]",13.65484518,13.65484518,13.76444102,,,,,
"Any[""Trial-309_PCM-1"", ""Trial-309_PCM-2"", ""Trial-309_PCM-3""]",14.51273983,14.51273983,14.51274038,,,,,
"Any[""Trial-310_PCM-1"", ""Trial-310_PCM-2"", ""Trial-310_PCM-3""]",10.00261764,10.00261764,12.55028753,,,,,
"Any[""Trial-311_PCM-1"", ""Trial-311_PCM-2"", ""Trial-311_PCM-3""]",14.79379126,14.79379126,15.82561833,,,,,
"Any[""Trial-312_PCM-1"", ""Trial-312_PCM-2"", ""Trial-312_PCM-3""]",17.2202575,17.00538767,17.00538767,,,,,
"Any[""Trial-313_PCM-1"", ""Trial-313_PCM-2"", ""Trial-313_PCM-3""]",19.32466684,19.32466684,22.14360477,,,,,
"Any[""Trial-314_PCM-1"", ""Trial-314_PCM-2"", ""Trial-314_PCM-3""]",14.89863478,14.89863478,16.07648189,,,,,
"Any[""Trial-315_PCM-1"", ""Trial-315_PCM-2"", ""Trial-315_PCM-3""]",16.22199429,16.22199429,16.69312642,,,,,
"Any[""Trial-316_PCM-1"", ""Trial-316_PCM-2"", ""Trial-316_PCM-3""]",14.13891463,14.13891463,15.15942069,,,,,
"Any[""Trial-317_PCM-1"", ""Trial-317_PCM-2"", ""Trial-317_PCM-3""]",13.79994864,13.79994864,14.03531059,,,,,
"Any[""Trial-318_PCM-1"", ""Trial-318_PCM-2"", ""Trial-318_PCM-3""]",16.84301844,16.84301521,16.84301521,,,,,
"Any[""Trial-319_PCM-1"", ""Trial-319_PCM-2"", ""Trial-319_PCM-3""]",16.76131607,16.76131607,17.19519861,,,,,
"Any[""Trial-320_PCM-1"", ""Trial-320_PCM-2"", ""Trial-320_PCM-3""]",13.86293959,13.86293959,15.48480045,,,,,
"Any[""Trial-321_PCM-1"", ""Trial-321_PCM-2"", ""Trial-321_PCM-3""]",17.10357405,17.10357405,18.90948336,,,,,
"Any[""Trial-322_PCM-1"", ""Trial-322_PCM-2"", ""Trial-322_PCM-3""]",17.31512625,17.31512625,19.65162246,,,,,
"Any[""Trial-323_PCM-1"", ""Trial-323_PCM-2"", ""Trial-323_PCM-3""]",15.05194891,15.05194891,17.55608801,,,,,
"Any[""Trial-324_PCM-1"", ""Trial-324_PCM-2"", ""Trial-324_PCM-3""]",15.6977776,15.6977776,17.88464229,,,,,
"Any[""Trial-325_PCM-1"", ""Trial-325_PCM-2"", ""Trial-325_PCM-3""]",14.52923568,14.52923568,15.30585913,,,,,
"Any[""Trial-326_PCM-1"", ""Trial-326_PCM-2"", ""Trial-326_PCM-3""]",13.36536348,13.27652901,13.27652901,,,,,
"Any[""Trial-327_PCM-1"", ""Trial-327_PCM-2"", ""Trial-327_PCM-3""]",16.61573267,15.64808731,15.64808731,,,,,
"Any[""Trial-328_PCM-1"", ""Trial-328_PCM-2"", ""Trial-328_PCM-3""]",8.367455714,8.367455714,8.788897391,,,,,
"Any[""Trial-329_PCM-1"", ""Trial-329_PCM-2"", ""Trial-329_PCM-3""]",15.57469425,15.57469425,16.72542369,,,,,
"Any[""Trial-330_PCM-1"", ""Trial-330_PCM-2"", ""Trial-330_PCM-3""]",11.56148559,11.56148559,11.90953214,,,,,
"Any[""Trial-331_PCM-1"", ""Trial-331_PCM-2"", ""Trial-331_PCM-3""]",12.85768432,12.50337964,12.50337964,,,,,
"Any[""Trial-332_PCM-1"", ""Trial-332_PCM-2"", ""Trial-332_PCM-3""]",13.0515701,13.0515701,14.34024248,,,,,
"Any[""Trial-333_PCM-1"", ""Trial-333_PCM-2"", ""Trial-333_PCM-3""]",19.04912064,19.04912064,19.100053,,,,,
"Any[""Trial-334_PCM-1"", ""Trial-334_PCM-2"", ""Trial-334_PCM-3""]",16.11338665,16.11338665,17.52810473,,,,,
"Any[""Trial-335_PCM-1"", ""Trial-335_PCM-2"", ""Trial-335_PCM-3""]",16.10140116,14.10456892,14.10456892,,,,,
"Any[""Trial-336_PCM-1"", ""Trial-336_PCM-2"", ""Trial-336_PCM-3""]",17.31892878,17.26298447,17.26298447,,,,,
"Any[""Trial-337_PCM-1"", ""Trial-337_PCM-2"", ""Trial-337_PCM-3""]",12.74499811,12.74499811,14.12034769,,,,,
"Any[""Trial-338_PCM-1"", ""Trial-338_PCM-2"", ""Trial-338_PCM-3""]",11.19395599,11.19395599,11.62447827,,,,,
"Any[""Trial-339_PCM-1"", ""Trial-339_PCM-2"", ""Trial-339_PCM-3""]",15.06335725,14.68212106,14.68212106,,,,,
"Any[""Trial-340_PCM-1"", ""Trial-340_PCM-2"", ""Trial-340_PCM-3""]",14.64546066,13.71438441,13.71438441,,,,,
"Any[""Trial-341_PCM-1"", ""Trial-341_PCM-2"", ""Trial-341_PCM-3""]",10.89575486,10.89575486,11.08668026,,,,,
"Any[""Trial-342_PCM-1"", ""Trial-342_PCM-2"", ""Trial-342_PCM-3""]",13.32881685,13.18334663,13.18334663,,,,,
"Any[""Trial-343_PCM-1"", ""Trial-343_PCM-2"", ""Trial-343_PCM-3""]",13.10253222,12.92848195,12.92848195,,,,,
"Any[""Trial-344_PCM-1"", ""Trial-344_PCM-2"", ""Trial-344_PCM-3""]",10.12337472,10.12337472,10.44354532,,,,,
"Any[""Trial-345_PCM-1"", ""Trial-345_PCM-2"", ""Trial-345_PCM-3""]",15.48479551,14.71531268,14.71531268,,,,,
"Any[""Trial-346_PCM-1"", ""Trial-346_PCM-2"", ""Trial-346_PCM-3""]",16.75860712,15.477385,15.477385,,,,,
"Any[""Trial-347_PCM-1"", ""Trial-347_PCM-2"", ""Trial-347_PCM-3""]",13.51287551,13.51287551,13.89243676,,,,,
"Any[""Trial-348_PCM-1"", ""Trial-348_PCM-2"", ""Trial-348_PCM-3""]",15.48480114,15.48480114,15.4848025,,,,,
"Any[""Trial-349_PCM-1"", ""Trial-349_PCM-2"", ""Trial-349_PCM-3""]",17.86873684,17.86873684,17.99182325,,,,,
"Any[""Trial-350_PCM-1"", ""Trial-350_PCM-2"", ""Trial-350_PCM-3""]",13.77502826,13.77502764,13.77502764,,,,,
"Any[""Trial-351_PCM-1"", ""Trial-351_PCM-2"", ""Trial-351_PCM-3""]",19.5704904,18.73352984,18.73352984,,,,,
"Any[""Trial-352_PCM-1"", ""Trial-352_PCM-2"", ""Trial-352_PCM-3""]",13.7700819,12.53832179,12.53832179,,,,,
"Any[""Trial-353_PCM-1"", ""Trial-353_PCM-2"", ""Trial-353_PCM-3""]",13.13365516,13.13365516,13.51489758,,,,,
"Any[""Trial-354_PCM-1"", ""Trial-354_PCM-2"", ""Trial-354_PCM-3""]",20.69842988,20.69842988,21.20948483,,,,,
"Any[""Trial-355_PCM-1"", ""Trial-355_PCM-2"", ""Trial-355_PCM-3""]",13.15146355,11.89102156,11.89102156,,,,,
"Any[""Trial-356_PCM-1"", ""Trial-356_PCM-2"", ""Trial-356_PCM-3""]",13.26541668,13.26541668,13.46266555,,,,,
"Any[""Trial-357_PCM-1"", ""Trial-357_PCM-2"", ""Trial-357_PCM-3""]",10.89519168,10.89519168,11.44456589,,,,,
"Any[""Trial-358_PCM-1"", ""Trial-358_PCM-2"", ""Trial-358_PCM-3""]",13.02668541,13.02668541,13.31676796,,,,,
"Any[""Trial-359_PCM-1"", ""Trial-359_PCM-2"", ""Trial-359_PCM-3""]",15.80572662,14.92094152,14.92094152,,,,,
"Any[""Trial-360_PCM-1"", ""Trial-360_PCM-2"", ""Trial-360_PCM-3""]",15.51413189,15.51413189,16.37737234,,,,,
"Any[""Trial-361_PCM-1"", ""Trial-361_PCM-2"", ""Trial-361_PCM-3""]",11.56148445,11.56148445,11.64940265,,,,,
"Any[""Trial-362_PCM-1"", ""Trial-362_PCM-2"", ""Trial-362_PCM-3""]",10.5562239,10.5562239,10.7600873,,,,,
"Any[""Trial-363_PCM-1"", ""Trial-363_PCM-2"", ""Trial-363_PCM-3""]",10.13478674,10.13478674,10.93746912,,,,,
"Any[""Trial-364_PCM-1"", ""Trial-364_PCM-2"", ""Trial-364_PCM-3""]",15.66374611,15.66374611,18.53661909,,,,,
"Any[""Trial-365_PCM-1"", ""Trial-365_PCM-2"", ""Trial-365_PCM-3""]",14.9899316,14.73177721,14.73177721,,,,,
"Any[""Trial-366_PCM-1"", ""Trial-366_PCM-2"", ""Trial-366_PCM-3""]",12.90869776,12.90869776,13.33013939,,,,,
"Any[""Trial-367_PCM-1"", ""Trial-367_PCM-2"", ""Trial-367_PCM-3""]",13.53135947,13.53135947,14.83536206,,,,,
"Any[""Trial-368_PCM-1"", ""Trial-368_PCM-2"", ""Trial-368_PCM-3""]",15.80495719,15.80495719,16.32876511,,,,,
"Any[""Trial-369_PCM-1"", ""Trial-369_PCM-2"", ""Trial-369_PCM-3""]",15.61280502,15.61280502,18.37007157,,,,,
"Any[""Trial-370_PCM-1"", ""Trial-370_PCM-2"", ""Trial-370_PCM-3""]",15.03016541,14.73115418,14.73115418,,,,,
"Any[""Trial-371_PCM-1"", ""Trial-371_PCM-2"", ""Trial-371_PCM-3""]",16.21500243,16.21500243,17.27644719,,,,,
"Any[""Trial-372_PCM-1"", ""Trial-372_PCM-2"", ""Trial-372_PCM-3""]",14.19900212,13.63798346,13.63798346,,,,,
"Any[""Trial-373_PCM-1"", ""Trial-373_PCM-2"", ""Trial-373_PCM-3""]",15.76077491,15.76077491,16.01892901,,,,,
"Any[""Trial-374_PCM-1"", ""Trial-374_PCM-2"", ""Trial-374_PCM-3""]",11.81963921,11.81963921,12.96962015,,,,,
"Any[""Trial-375_PCM-1"", ""Trial-375_PCM-2"", ""Trial-375_PCM-3""]",10.73190451,10.73190451,11.48887303,,,,,
"Any[""Trial-376_PCM-1"", ""Trial-376_PCM-2"", ""Trial-376_PCM-3""]",14.24249677,14.24249662,14.24249662,,,,,
"Any[""Trial-377_PCM-1"", ""Trial-377_PCM-2"", ""Trial-377_PCM-3""]",13.52397348,12.18154805,12.18154805,,,,,
"Any[""Trial-378_PCM-1"", ""Trial-378_PCM-2"", ""Trial-378_PCM-3""]",11.72477371,11.72477371,12.241078,,,,,
"Any[""Trial-379_PCM-1"", ""Trial-379_PCM-2"", ""Trial-379_PCM-3""]",15.38254956,14.5311329,14.5311329,,,,,
"Any[""Trial-380_PCM-1"", ""Trial-380_PCM-2"", ""Trial-380_PCM-3""]",13.44149907,13.44149907,17.10665839,,,,,
"Any[""Trial-381_PCM-1"", ""Trial-381_PCM-2"", ""Trial-381_PCM-3""]",12.00338873,12.00338873,12.32355801,,,,,
"Any[""Trial-382_PCM-1"", ""Trial-382_PCM-2"", ""Trial-382_PCM-3""]",13.86294298,13.86294298,14.18926299,,,,,
