Trial,統合した解の中心の総和,DM1,DM1の式1の最適値,DM1の積,DM1の式10の最適値,DM2,DM2の式1の最適値,DM2の積,DM2の式10の最適値,DM3,DM3の式1の最適値,DM3の積,DM3の式10の最適値
1,0.9909909961282463,0.9797297143375707,0.22972972972973116,0.22507304248295576,0.22972972972973005,0.9722222212222221,0.2777777777777779,0.27006172811728385,0.2777777777777777,0.9391891466891893,0.33783783783783783,0.3314785223608902,0.3529411764705881
2,1.025694921759535,0.9761904326190496,0.3333333333333329,0.3333333184552855,0.34146341463414664,0.9411764575882346,0.35294117647058865,0.3446561675675233,0.3661971830985924,0.9711538173076923,0.25,0.24278845432692406,0.250000000000001
3,0.9999999872499996,0.952380946047619,0.2857142857142858,0.2836879413758864,0.2978723404255318,0.9571429771428598,0.37142857142857166,0.35892861642857243,0.375,0.9318181718181816,0.31818181818181834,0.31060605727272694,0.33333333333333304
4,0.9981325659832655,0.9999999411538463,0.24836601307189543,0.24836599845651028,0.24836601307189488,0.9407894153508813,0.38157894736842035,0.37631576614035267,0.40000000000000013,0.9821428121428581,0.3928571428571427,0.3928571248571435,0.40000000000000024
5,1.0,1.0,0.2272727272727273,0.22727272727272718,0.22727272727272718,1.0,0.2272727272727273,0.2272727272727274,0.2272727272727274,0.9999999926785714,0.17073170731707332,0.17073170606707333,0.17073170731707332
6,1.0,0.9305555305555547,0.3611111111111115,0.34076681400625913,0.3661971830985912,0.9907404757407281,0.3148148148148153,0.31481473060920356,0.31775700934579465,0.9407894575730993,0.38157894736842135,0.37631578302924046,0.4000000000000008
7,1.0011905303571438,1.0,0.1523809523809525,0.1523809523809524,0.1523809523809524,0.9999999949999996,0.1395348837209307,0.139534883023256,0.13953488372093048,0.9602272743939391,0.3068181818181812,0.3015589787352868,0.3140495867768597
8,0.9791666766666667,0.9999999912499995,0.14285714285714324,0.1428571416071426,0.14285714285714268,0.944444427777778,0.33333333333333315,0.31481480925925936,0.33333333333333337,0.9166667066666664,0.375,0.36666668266666635,0.3999999999999998
9,1.0309558989490961,0.9411764575882342,0.3529411764705891,0.3446561675675223,0.3661971830985915,0.9999999937500004,0.1999999999999995,0.19999999875000024,0.20000000000000018,0.968749987307692,0.31250000000000033,0.31249999590570715,0.32258064516129037
10,0.9983031794662685,0.9523808933809526,0.38095238095238093,0.3809523573523808,0.3999999999999998,0.9999999922727275,0.23529411764705854,0.23529411582887721,0.235294117647059,0.9903846503846139,0.21153846153846112,0.21153846901418927,0.21359223300970864
11,1.0,0.8838383959812411,0.41414141414141414,0.39540138767581856,0.44736842105263175,0.9734042269858149,0.24468085106383008,0.23817337468801925,0.24468085106383053,0.9318181718181816,0.31818181818181834,0.31060605727272694,0.33333333333333304
12,0.9821428631428568,0.9791666496666673,0.2916666666666663,0.29166666160283683,0.2978723404255317,0.9999999949999996,0.17142857142857204,0.17142857057142866,0.1714285714285716,0.9405940067136322,0.37623762376237635,0.36805852436620357,0.3913043478260866
13,0.99304553672636,0.9411764575882343,0.352941176470589,0.3446561675675224,0.3661971830985915,0.9310342777586199,0.3448275862068966,0.3286003333265716,0.3529411764705881,1.0,0.3571428571428572,0.35714285714285765,0.35714285714285765
14,1.0,0.9999999730000007,0.222222222222222,0.22222221622222235,0.2222222222222222,0.9255319012998666,0.3191489361702131,0.30629113280427256,0.3309352517985613,0.9833333161111113,0.29999999999999993,0.29499999483333345,0.30000000000000004
15,1.0029239566081865,0.9444444194444456,0.3333333333333329,0.3333333245098042,0.3529411764705881,0.9999999049999992,0.35087719298245623,0.3508771596491223,0.3508771929824559,0.98214283642857,0.25000000000000067,0.2455357091071425,0.25
16,1.0,0.9999999849999999,0.16666666666666674,0.16666666416666628,0.1666666666666663,0.9310342777586199,0.3448275862068966,0.3286003333265716,0.3529411764705881,0.9259259509259268,0.3703703703703707,0.3593145481205083,0.38805970149253666
17,0.9952380893650786,0.9761904326190496,0.3333333333333329,0.3333333184552855,0.34146341463414664,0.969696893268398,0.3030303030303031,0.2955266722341783,0.30476190476190457,0.9899999727777802,0.15333333333333254,0.15333332911709713,0.15488215488215473
18,0.9999999999999999,0.9920634754634923,0.26984126984126966,0.2676996679822121,0.26984126984126977,0.9583333316666666,0.2500000000000008,0.23958333291666642,0.24999999999999978,0.9345237445238104,0.36904761904761896,0.3511543767301584,0.37575757575757507
19,0.995149021815664,0.9999999949999998,0.13513513513513564,0.1351351344594595,0.1351351351351352,0.9333334183333319,0.2666666666666665,0.2562091736601301,0.2745098039215683,0.9551282567948757,0.3461538461538469,0.33891647821753645,0.35483870967741926
20,1.0019047394047607,0.9999999873076916,0.18181818181818232,0.18181817951048942,0.18181818181818188,0.9523809273809518,0.28571428571428603,0.27210883639455796,0.28571428571428603,0.9299999849999993,0.38000000000000056,0.3719999939999994,0.3999999999999997
21,1.0198863686363633,0.9999999899999998,0.1875000000000001,0.18749999812500007,0.1875000000000001,0.9999999749999957,0.20000000000000173,0.1999999949999991,0.19999999999999996,0.9090909340909082,0.3636363636363633,0.3636363736363628,0.39999999999999947
22,0.9971591159090941,0.9407894575730993,0.38157894736842135,0.37631578302924046,0.4000000000000008,0.9318181718181802,0.3181818181818197,0.3106060572727262,0.3333333333333328,0.9999999900000008,0.24999999999999933,0.2499999975000002,0.25
23,0.9868515490840446,0.9054731118159229,0.3980099502487563,0.37782331284405385,0.41726618705035934,0.9999999912499997,0.14285714285714324,0.14285714160714263,0.14285714285714268,0.99999999357143,0.22222222222222,0.2222222207936511,0.2222222222222222
24,0.9999999999999998,0.9999999650000002,0.19047619047619047,0.19047618380952583,0.19047619047619246,0.9722222032222236,0.277777777777777,0.27006172311728427,0.2777777777777777,0.9843749917567565,0.28125000000000044,0.28124999764478786,0.28571428571428603
25,0.9999999999999999,0.9166666600877196,0.36666666666666614,0.3538011670514008,0.38596491228070207,0.9999999999999999,0.22916666666666718,0.22916666666666693,0.22916666666666696,0.9285713335714317,0.42857142857142827,0.4285713847252761,0.46153846153846145
26,0.9939693116384717,0.9605263465037621,0.2894736842105272,0.2890079272666191,0.30088495575221286,0.9583333183333329,0.2500000000000002,0.23958332958333334,0.2500000000000001,0.9999999840000005,0.24999999999999978,0.24999999600000022,0.2500000000000001
27,1.0090908754593395,0.979166701666656,0.20833333333333026,0.2077020276262605,0.21212121212121227,0.974999999,0.24999999999999978,0.24999999974359005,0.2564102564102567,0.9999999913157895,0.22727272727272707,0.22727272529904333,0.22727272727272751
28,1.0014881041181858,0.9404761837114844,0.2619047619047622,0.24631519097205626,0.26190476190476275,0.9722222156837603,0.2777777777777781,0.2700617265788222,0.2777777777777777,0.9999999900000003,0.24999999999999967,0.24999999749999763,0.24999999999999756
29,0.9952154160047892,0.9999999449999998,0.24242424242424254,0.24242422909090938,0.24242424242424276,0.9833333264285713,0.30000000000000027,0.2949999979285722,0.3000000000000008,0.9868424002631723,0.2368421052631584,0.23416599328278667,0.23728813559322037
30,0.9999999999999999,0.9583333272222222,0.2499999999999999,0.23958333180555533,0.24999999999999978,0.9722222022222229,0.277777777777777,0.27006172283950625,0.2777777777777777,0.9249999705555556,0.3500000000000003,0.32647057784313754,0.35294117647058854
31,1.0242623779852447,0.9456521129130329,0.3695652173913061,0.36024842396686985,0.38095238095238115,0.9444443569444431,0.39682539682539697,0.38227509685846484,0.40476190476190455,0.9999999874999996,0.2500000000000001,0.24999999687500013,0.2500000000000002
32,1.0209360188054188,0.952380920952381,0.33333333333333337,0.31746030698412675,0.33333333333333304,0.9411764822549016,0.23529411764705843,0.22145328994232963,0.23529411764705865,0.9310342777586199,0.3448275862068966,0.3286003333265716,0.3529411764705881
33,1.0000000000000002,0.9404761179761922,0.40476190476190455,0.4047618735593738,0.430379746835443,0.916666751666662,0.36666666666666614,0.35380120239765933,0.38596491228070207,0.9642856367857243,0.35714285714285765,0.3571428284391569,0.37037037037037013
34,1.0,0.9649123507017563,0.28070175438596523,0.2756892430576444,0.2857142857142855,0.9861111012222217,0.25000000000000056,0.2465277753055552,0.24999999999999978,0.979166657666669,0.20833333333333282,0.20770201829293014,0.2121212121212125
35,1.006696391071427,1.0,0.1875000000000001,0.1875000000000001,0.1875000000000001,0.9642859092857243,0.35714285714285765,0.3461539161538496,0.3589743589743588,0.9444444094444442,0.3015873015873016,0.2871111004711114,0.3040000000000004
36,1.014864872007722,1.0,0.20588235294117618,0.2058823529411763,0.2058823529411763,0.9391891070463325,0.33783783783783783,0.3314785083692937,0.3529411764705881,0.9749999516666673,0.34999999999999987,0.34124998308333365,0.3500000000000001
37,0.9880952422490841,0.9722222156837608,0.277777777777778,0.2700617265788223,0.2777777777777777,0.9999999883333329,0.28571428571428603,0.28571428238095203,0.2857142857142855,0.9523809283809523,0.38095238095238093,0.38095237135238097,0.4
38,1.007936498603175,0.9444444327777783,0.3333333333333329,0.3333333292156863,0.3529411764705881,0.9761904484632009,0.23809523809523903,0.2324262972531429,0.23809523809523792,0.9761904541904769,0.2380952380952378,0.23242629861678113,0.23809523809523903
39,1.0,0.999999974999999,0.2000000000000004,0.19999999499999843,0.19999999999999862,0.9705882002941173,0.2941176470588236,0.28546711773356465,0.29411764705882426,0.975609741709806,0.24390243902439024,0.24390243542745138,0.2499999999999999
40,1.0055821473515607,0.9473684646240605,0.3157894736842106,0.2991689888286507,0.3157894736842105,0.9722222032222222,0.2777777777777778,0.27006172311728427,0.2777777777777781,0.999999987777778,0.2272727272727273,0.22727272449494956,0.2272727272727273
41,0.9960474658300411,0.9456521589130427,0.3695652173913049,0.362164656604995,0.3829787234042552,0.9318181718181816,0.31818181818181834,0.31060605727272694,0.33333333333333304,1.0,0.22727272727272751,0.22727272727272751,0.22727272727272751
42,1.0070027899258671,0.970588223742394,0.2941176470588234,0.2941176435583013,0.3030303030303031,0.9761904626190492,0.33333333333333215,0.3333333286991878,0.34146341463414664,0.9791666488095236,0.29166666666666685,0.28559027256944447,0.29166666666666674
43,1.0,0.9642856642857167,0.35714285714285665,0.3571428386243394,0.37037037037037024,0.9062499750000007,0.4374999999999998,0.42647057647058867,0.47058823529411775,0.9843749778571419,0.28125000000000044,0.2812499936734694,0.28571428571428603
44,1.0,0.9868424002631724,0.2368421052631584,0.2341659932827867,0.23728813559322037,0.9791666571505406,0.20833333333333026,0.20770201818344816,0.21212121212121227,0.9523809398809522,0.23809523809523825,0.226757366638322,0.23809523809523814
45,1.0,0.9841269638144851,0.2539682539682535,0.2499370066830425,0.2539682539682526,0.9166666375000008,0.3999999999999998,0.37830686626984206,0.41269841269841323,0.9999999899999994,0.12500000000000044,0.1249999987499997,0.12499999999999978
46,0.9831932858109247,0.9523809332142861,0.2857142857142855,0.27210883806122405,0.28571428571428514,0.9999999850000016,0.16666666666666563,0.16666666416666634,0.16666666666666607,0.9411764575882344,0.35294117647058887,0.34465616756752243,0.3661971830985915
47,1.0049019464269469,0.9705882237423941,0.29411764705882315,0.29362332819097636,0.3025210084033614,0.9880952185497831,0.2619047619047621,0.25878684295351456,0.26190476190476186,0.9999999649999999,0.3571428571428572,0.35714284464285717,0.3571428571428572
48,1.0147058906288036,0.9833333183333336,0.23333333333333328,0.23333332977401172,0.2372881355932207,0.9999999700000004,0.2499999999999999,0.2499999925000002,0.2500000000000001,0.9264705790973627,0.382352941176471,0.37058823163894544,0.40000000000000036
