Trial,統合した解の中心の総和,DM1,DM1の式1の最適値,DM1の積,DM1の式10の最適値,DM2,DM2の式1の最適値,DM2の積,DM2の式10の最適値,DM3,DM3の式1の最適値,DM3の積,DM3の式10の最適値
1,0.9857356591306771,0.9932432787475152,0.22972972972973116,0.22817750998253758,0.22972972972973005,0.9722222032222216,0.2777777777777779,0.2700617231172837,0.2777777777777777,0.9391891070462454,0.33783783783783783,0.33147850836926296,0.3529411764705881
2,1.0623787379256955,0.976190432619078,0.3333333333333329,0.33333331845529524,0.34146341463414664,0.9411764575882312,0.35294117647058865,0.3446561675675221,0.3661971830985924,0.979395592362642,0.25,0.24484889809066146,0.250000000000001
3,0.9820346245346586,0.9523808923809711,0.2857142857142858,0.28368792539007637,0.2978723404255318,0.9571428301428639,0.37142857142857166,0.358928561303574,0.375,0.9318181718181462,0.31818181818181834,0.3106060572727151,0.33333333333333304
4,1.0102461319500113,0.9999999411533161,0.24836601307189543,0.24836599845637863,0.24836601307189488,0.9407894153511578,0.38157894736842035,0.37631576614046325,0.40000000000000013,0.9821428121430419,0.3928571428571427,0.392857124857217,0.40000000000000024
5,0.9620287895177908,1.0000000000000007,0.2272727272727273,0.22727272727272732,0.22727272727272718,1.0000000000000042,0.2272727272727273,0.22727272727272838,0.2272727272727274,0.9999999999999993,0.17073170731707332,0.1707317073170732,0.17073170731707332
6,0.9880603021832359,0.9305555397863241,0.3611111111111115,0.34076681738654085,0.3661971830985912,0.9907404757407425,0.3148148148148153,0.31481473060920817,0.31775700934579465,0.9407894575730986,0.38157894736842135,0.3763157830292402,0.4000000000000008
7,0.9521732625182674,1.0,0.1523809523809525,0.1523809523809524,0.1523809523809524,0.9999999999999978,0.1395348837209307,0.13953488372093018,0.13953488372093048,0.9602273277272717,0.3068181818181812,0.3015589954845979,0.3140495867768597
8,0.938492027492067,0.9999999999999992,0.14285714285714324,0.14285714285714257,0.14285714285714268,0.9444444277777713,0.33333333333333315,0.31481480925925714,0.33333333333333337,0.9166666433333382,0.375,0.36666665733333514,0.3999999999999998
9,0.9805882296880548,0.9411764575882386,0.3529411764705891,0.344656167567524,0.3661971830985915,0.9999999999999988,0.1999999999999995,0.19999999999999993,0.20000000000000018,0.9687499931818156,0.31250000000000033,0.31249999780058574,0.32258064516129037
10,0.9932665222268415,0.952380942380952,0.38095238095238093,0.3809523769523806,0.3999999999999998,0.9999999934615387,0.23529411764705854,0.2352941161085975,0.235294117647059,0.9903846149300687,0.21153846153846112,0.2115384614413738,0.21359223300970864
