PCM_Identifiers,entani論文のPerfectIncorporation,中心総和1のPerfectIncorporation,解の非唯一性考慮のPerfectIncorporation,entani論文のCommonGround,中心総和1のCommonGround,解の非唯一性考慮のCommonGround,entani論文のPartialIncorporation,中心総和1のPartialIncorporation,解の非唯一性考慮のPartialIncorporation
"Any[""Trial-29_PCM-1"", ""Trial-29_PCM-2"", ""Trial-29_PCM-3""]",10.712196693576809,10.987408009564582,10.712196699112276,Error,Error,Error,3.5392350964253776,3.539235096425415,2.7314711688107876
"Any[""Trial-30_PCM-1"", ""Trial-30_PCM-2"", ""Trial-30_PCM-3""]",13.028756874430844,75.4481632812126,13.1317691075118,Error,Error,Error,2.9086523324512994,3.2586358154347943,2.796042813160142
"Any[""Trial-31_PCM-1"", ""Trial-31_PCM-2"", ""Trial-31_PCM-3""]",12.127561082840444,12.564016327423108,12.127561152449992,Error,Error,Error,0.5227054761259913,0.4849600884729943,0.52270509550869
"Any[""Trial-32_PCM-1"", ""Trial-32_PCM-2"", ""Trial-32_PCM-3""]",12.303099614356988,14.432502354060116,12.303099634720725,Error,Error,Error,1.6897960401573497,3.2373663246178213,1.689797231688881
"Any[""Trial-33_PCM-1"", ""Trial-33_PCM-2"", ""Trial-33_PCM-3""]",11.404602282386083,12.53103532142228,12.261028018710476,Error,Error,Error,1.0052569955045492,2.536052710898023,2.21571419924002
"Any[""Trial-34_PCM-1"", ""Trial-34_PCM-2"", ""Trial-34_PCM-3""]",12.018754229011318,12.28981916310784,12.018754234065174,Error,Error,Error,1.694860834601898,2.413175212075381,1.9807544698706065
"Any[""Trial-35_PCM-1"", ""Trial-35_PCM-2"", ""Trial-35_PCM-3""]",16.455049648999996,78.65561631358023,16.83629009459864,Error,Error,Error,4.375725403098467,4.073549170482524,4.393625365490838
"Any[""Trial-36_PCM-1"", ""Trial-36_PCM-2"", ""Trial-36_PCM-3""]",10.991480959626312,11.238980622618866,10.991481116812881,Error,Error,Error,2.375880719823247,2.4523977419385954,2.3758812888895404
"Any[""Trial-37_PCM-1"", ""Trial-37_PCM-2"", ""Trial-37_PCM-3""]",12.323356603943742,13.85756367757852,12.323356608076306,Error,Error,Error,1.824851265868939,1.8248597797980386,1.8248570391603725
"Any[""Trial-38_PCM-1"", ""Trial-38_PCM-2"", ""Trial-38_PCM-3""]",17.50788836140555,18.800622551545516,17.985746111385506,Error,Error,Error,1.761370847667438,2.8780131895724352,2.2655769648738406
"Any[""Trial-39_PCM-1"", ""Trial-39_PCM-2"", ""Trial-39_PCM-3""]",14.873752197821169,17.167778304626392,14.873751356363531,Error,Error,Error,3.332470606902291,4.504124203122234,3.3324841622131123
"Any[""Trial-40_PCM-1"", ""Trial-40_PCM-2"", ""Trial-40_PCM-3""]",13.273440799313523,14.425201394474218,12.954445065744107,Error,Error,Error,3.4141384291800456,2.614367138816018,2.6183372371026987
"Any[""Trial-41_PCM-1"", ""Trial-41_PCM-2"", ""Trial-41_PCM-3""]",12.333101604534614,13.908718132573497,12.333101041153512,Error,Error,Error,4.835408490182582,7.1009130281897646,4.835411585428688
"Any[""Trial-42_PCM-1"", ""Trial-42_PCM-2"", ""Trial-42_PCM-3""]",15.256169348161958,15.786019112739313,15.256169596744641,Error,Error,Error,6.335074585829301,5.143795386838711,3.542463409041642
"Any[""Trial-43_PCM-1"", ""Trial-43_PCM-2"", ""Trial-43_PCM-3""]",13.732249137565274,15.530284557916776,13.600844394619674,Error,Error,Error,3.464319619903926,3.2261477390193543,3.0770531573568087
