Trial,統合した解の中心の総和,DM1,DM1の式1の最適値,DM1の積,DM1の式10の最適値,DM2,DM2の式1の最適値,DM2の積,DM2の式10の最適値,DM3,DM3の式1の最適値,DM3の積,DM3の式10の最適値
1,1.0166083813036881,1.0,0.24786324786324787,0.24786324786324754,0.24786324786324754,0.9629629785879629,0.2962962962962963,0.2927407454907389,0.30399999999999816,0.9502164439513896,0.28138528138528196,0.2673769214581845,0.28138528138528274
2,1.0252574523407347,0.9285714035714273,0.42857142857142905,0.412698401587301,0.4444444444444444,0.9404761980803571,0.26190476190476186,0.24631519473533148,0.26190476190476175,1.0,0.27027027027026895,0.27027027027027006,0.27027027027027006
3,1.016666688387447,0.9374999892857141,0.32500000000000007,0.31730768868131914,0.33846153846153904,0.9114565283332843,0.4270833333333336,0.3892678923090047,0.42708333333333104,0.9999999854761913,0.22950819672131095,0.22950819338797815,0.2295081967213113
4,1.0233967912000077,0.9999999693999975,0.23529411764705965,0.23529411044705895,0.23529411764705954,0.9388297822340426,0.37765957446808485,0.3734854174555048,0.3978201634877385,1.0,0.2545454545454545,0.25454545454545396,0.25454545454545396
5,1.0016494643557885,0.9490740604202277,0.3518518518518522,0.3339334657034128,0.3518518518518512,0.9888888448888904,0.22222222222222188,0.22222221233458245,0.22471910112359583,1.0,0.16923076923076952,0.16923076923076896,0.16923076923076896
6,1.0158519678523141,0.9999999850000008,0.29059829059829023,0.2905982862393162,0.29059829059829034,0.9885714460204096,0.2800000000000009,0.2768000048857148,0.28000000000000014,0.9482758120689695,0.3103448275862062,0.3103448112225728,0.32727272727272827
7,1.020728304175501,0.9672131018022916,0.2950819672131144,0.2940327829478943,0.3039999999999976,0.9666666882051289,0.216666666666667,0.20944444911111212,0.21666666666666756,0.9999999049999962,0.2392344497607659,0.23923442703349185,0.23923444976076547
8,1.0203296494520107,0.979999993596408,0.18400000000000016,0.18399999879769002,0.18775510204081336,0.9777777609444438,0.3333333333333337,0.325925920314815,0.3333333333333337,0.9749999669999985,0.25000000000000044,0.2489361617872338,0.25531914893617036
9,1.009027149099241,0.9615384442307668,0.3333333333333347,0.32051281474358917,0.3333333333333336,0.9302324931395354,0.39534883720930225,0.3779069503379365,0.4062500000000002,1.0,0.2679425837320576,0.2679425837320575,0.2679425837320575
10,1.0014180193805036,0.9593749685849067,0.3312499999999998,0.33124998915309495,0.34527687296416953,1.0,0.29841269841269824,0.29841269841269835,0.29841269841269835,0.9895237747940794,0.19238095238095254,0.19238094562887875,0.19441770933590086
11,1.0113987901068016,1.0,0.12403100775193732,0.12403100775193665,0.12403100775193665,1.0,0.3076923076923076,0.3076923076923075,0.3076923076923075,0.971014463817452,0.31884057971014523,0.31884057020871714,0.3283582089552255
12,0.9604978746720528,0.9786324736324785,0.19658119658119666,0.19658119557683043,0.20087336244541554,0.9682539610588459,0.3492063492063494,0.3425346762414827,0.3537653239929943,0.9696968918398279,0.24242424242424232,0.2350780343854126,0.2424242424242422
13,0.9783616310245127,0.9523809973809517,0.2857142857142856,0.27605246300897135,0.28985507246376796,0.964052280883586,0.3071895424836606,0.30003667925458444,0.3112244897959173,0.9843749992857144,0.21874999999999956,0.21533203109375001,0.21875
14,0.9947434461145465,1.0,0.17142857142857149,0.17142857142857126,0.17142857142857126,0.9999999921428574,0.18181818181818166,0.18181818038961062,0.181818181818182,0.969924807030075,0.2706766917293235,0.2625360379931031,0.2706766917293234
15,1.0223727894877166,0.9749999709999988,0.25000000000000044,0.24999999256410213,0.2564102564102563,0.9999999849999998,0.16666666666666685,0.1666666641666668,0.16666666666666685,0.9999999418181883,0.1796874999999989,0.17968748954545394,0.17968749999999822
16,1.0065789353684205,0.9999999425000058,0.24637681159420188,0.24637679742753865,0.24637681159420388,0.9888888448888903,0.22222222222222188,0.22222221233458242,0.22471910112359583,1.0,0.21848739495798286,0.21848739495798308,0.21848739495798308
17,1.0053689668868624,1.0,0.19444444444444342,0.1944444444444441,0.1944444444444441,1.0,0.045454545454545414,0.04545454545454519,0.04545454545454519,0.9999999999999998,0.313513513513514,0.31351351351351336,0.3135135135135134
18,1.0026223810057118,1.0000000000000002,0.2564102564102555,0.25641025641025667,0.2564102564102566,0.9967948398560967,0.314102564102564,0.31410255403825554,0.315112540192926,0.9725274613432628,0.318681318681318,0.30992633383466606,0.31868131868131855
19,0.9873945749311654,0.9999999950000005,0.1818181818181811,0.18181818090909105,0.18181818181818188,1.0,0.18913480885311884,0.18913480885311906,0.18913480885311906,0.9642857126190476,0.21428571428571397,0.20663265270408154,0.2142857142857142
20,0.9880952511507934,1.0,0.2063492063492064,0.20634920634920617,0.20634920634920617,0.9714285653174606,0.2285714285714281,0.22204081492970568,0.22857142857142898,0.9212121487835504,0.3030303030303033,0.294787887610736,0.31999999999999984
21,1.0,0.9565217182971011,0.26086956521739146,0.2550724582125598,0.26666666666666616,0.9791666656666667,0.2083333333333337,0.20399305534722237,0.20833333333333348,0.969696959479579,0.24242424242424188,0.23970037200618813,0.2471910112359551
22,1.0100950093694219,0.939999980000001,0.2799999999999996,0.268571422857143,0.2857142857142856,0.9999999999999998,0.1818181818181811,0.18181818181818185,0.18181818181818188,0.9858756916270607,0.29943502824858736,0.2952057155719444,0.29943502824858725
23,0.9882144569314888,0.9999999635714254,0.19607843137254988,0.19607842422969077,0.19607843137254855,0.9499998550000064,0.3999999999999996,0.3999999389473708,0.421052631578947,0.9709676843039045,0.25161290322580654,0.2516128882913778,0.2591362126245853
24,0.9636573157525045,0.9301075160752685,0.3333333333333336,0.3252124182081365,0.34965034965035036,0.9523809507142859,0.28571428571428514,0.2857142852142858,0.30000000000000004,0.9805194743528127,0.22077922077922274,0.2164783255064662,0.22077922077922185
25,1.000886357248538,0.9999999921428566,0.1818181818181822,0.18181818038961015,0.18181818181818166,0.9870892878779348,0.2136150234741785,0.2123389747179278,0.21511627906976738,0.9677419058172053,0.2580645161290319,0.2580645082179215,0.2666666666666667
26,1.0013229033992115,0.9464285518131864,0.3214285714285716,0.3097402533206794,0.3272727272727275,0.9736841355263132,0.4035087719298249,0.39668612928849756,0.407407407407407,0.9999999449999963,0.18768328445747873,0.18768327413489727,0.18768328445747862
27,0.9793435135688086,0.9868420654805493,0.3421052631578947,0.3376038645065031,0.34210526315789413,0.9999999849999981,0.27956989247311936,0.27956988827956847,0.27956989247311737,0.9571428215873017,0.37142857142857144,0.3714285576308931,0.3880597014925372
28,1.0281081757321968,0.9399998549999973,0.28000000000000025,0.2685713871428557,0.28571428571428503,0.9772726822727283,0.22727272727272696,0.22603585848484833,0.2312925170068023,0.9482655373771663,0.30921052631578916,0.3042217082370423,0.32081911262798546
29,1.0138528070472579,0.9666667216666679,0.23636363636363655,0.23434344767676746,0.24242424242424188,0.9523809429365082,0.2857142857142856,0.2836879404491718,0.297872340425531,0.9687499883333338,0.31249999999999967,0.3124999962365592,0.32258064516129026
