Trial,entani論文のPerfectIncorporation_wᴸ,解の非唯一性考慮のPerfectIncorporation_wᴸ,entani論文のPerfectIncorporation_wᵁ,解の非唯一性考慮のPerfectIncorporation_wᵁ,entani論文のPerfectIncorporation_wᴸ_1,解の非唯一性考慮のPerfectIncorporation_wᴸ_1,entani論文のPerfectIncorporation_wᵁ_1,解の非唯一性考慮のPerfectIncorporation_wᵁ_1,entani論文のPerfectIncorporation_wᴸ_2,解の非唯一性考慮のPerfectIncorporation_wᴸ_2,entani論文のPerfectIncorporation_wᵁ_2,解の非唯一性考慮のPerfectIncorporation_wᵁ_2,entani論文のPerfectIncorporation_wᴸ_3,解の非唯一性考慮のPerfectIncorporation_wᴸ_3,entani論文のPerfectIncorporation_wᵁ_3,解の非唯一性考慮のPerfectIncorporation_wᵁ_3
60,"[0.3157894829149802, 0.10526316097166011, 0.1764706082352952, 0.07894737072874505, 0.04761904897039901]","[0.3157894933878959, 0.10526316446263215, 0.17647060958095387, 0.07894737334697398, 0.05084744762134147]","[0.37499999363636366, 0.22222221717717688, 0.3333333200900895, 0.2181817481818188, 0.18181816931818187]","[0.3749999947366874, 0.2763157755169072, 0.3559321333493901, 0.2181817434720169, 0.1818181684771459]","[0.37499999363636377, 0.12499999787878792, 0.18749999681818194, 0.18749999681818177, 0.06250000136363638]","[0.3749999947366857, 0.12499999824556246, 0.18749999736834363, 0.18749999736834363, 0.06250000146203197]","[0.37499999363636377, 0.18749999681818194, 0.1875000040909091, 0.18750000409090914, 0.12499999787878796]","[0.3749999947366874, 0.18749999736834363, 0.18750000438609443, 0.18750000438609382, 0.1249999982455619]","[0.35294113147058626, 0.17647060823529512, 0.17647060823529506, 0.17647060823529506, 0.07352939176470487]","[0.3529411284428542, 0.1764706095809536, 0.17647060958095379, 0.1764706095809537, 0.07352939041904633]","[0.3529412164705901, 0.17647060823529512, 0.22058817529411462, 0.17647060823529517, 0.11764704382352885]","[0.352941219161907, 0.17647060958095379, 0.22058817125713928, 0.1764706095809537, 0.11764704281428474]","[0.3333333200900895, 0.11111111426426454, 0.22222221717717688, 0.1111111066966966, 0.04761904897039915]","[0.3559321333493901, 0.11864404444979634, 0.21016952888032545, 0.1186440444497967, 0.05084744762134147]","[0.33333334279279336, 0.22222221717717688, 0.3333333200900895, 0.11111111426426457, 0.11111110858858844]","[0.3559321333493903, 0.21016952888032545, 0.3559321333493901, 0.1186440444497967, 0.10508476444016204]"
61,"[0.25000000000000017, 0.11111111474747382, 0.12903224606451413, 0.0769230797355774, 0.03174603299603177]","[0.26315789786204563, 0.11111111111111079, 0.12903225191492285, 0.07692307692307691, 0.0317460343503679]","[0.3870967381935424, 0.25396822459325613, 0.30769228237980406, 0.24999999999999964, 0.1666666557575761]","[0.3870967557447685, 0.29059825250987814, 0.3076923076923079, 0.31944441035131826, 0.16666666666666735]","[0.3870967381935424, 0.1935483690967727, 0.12903224606451413, 0.09677421554838826, 0.0645161230322581]","[0.3870967557447685, 0.1935483778723844, 0.12903225191492285, 0.09677420482264142, 0.06451612595746146]","[0.3870967381935424, 0.1935483690967763, 0.19354843109677894, 0.19354836909677342, 0.12903224606451444]","[0.3870967557447685, 0.1935483778723844, 0.19354840964528283, 0.1935483778723844, 0.12903225191492293]","[0.28571429696428596, 0.14285714848214298, 0.2539682245932494, 0.14285710910714458, 0.03174603299603177]","[0.28571430915331114, 0.14285715457665557, 0.2698412509598328, 0.14285715457665554, 0.0317460343503679]","[0.28571429696428596, 0.25396822459324997, 0.2857142969642881, 0.14285714848214506, 0.142857109107141]","[0.28571430915331114, 0.2698412509598328, 0.28571430915331125, 0.14285715457665557, 0.14285715457665554]","[0.24999999999999964, 0.11111111474747382, 0.16666667212121072, 0.1666666557575761, 0.08333333606060611]","[0.31944441035131826, 0.1111111111111108, 0.16666666666666682, 0.16666666666666682, 0.08333333333333354]","[0.33333334424242145, 0.16666667212121222, 0.16666667212121244, 0.24999999999999964, 0.1666666557575761]","[0.33333333333333226, 0.16666666666666735, 0.16666666666666682, 0.31944441035131826, 0.16666666666666682]"
62,"[0.2962962662962957, 0.07407408007407422, 0.11764708882353052, 0.09230766659340574, 0.032258065811093056]","[0.3076923446499495, 0.08333328550013104, 0.11764709116146867, 0.09230768384135038, 0.032258065912011226]","[0.4615383329670287, 0.2307692268069672, 0.3076922975036299, 0.2962962662962957, 0.1764705482352928]","[0.4615384192067519, 0.24358971279170885, 0.3076923446499495, 0.33333314200052405, 0.17647054511804158]","[0.3076922975036299, 0.15384615611030447, 0.2307692268069672, 0.15384614875181496, 0.05128205203676818]","[0.3076923446499495, 0.1538461723249749, 0.24358971279170885, 0.15384617232497474, 0.05128205744165834]","[0.30769231222060894, 0.2307692268069672, 0.3076922975036299, 0.15384615611030453, 0.07692307805515247]","[0.30769234464995004, 0.24358971279170885, 0.3076923446499495, 0.15384617232497474, 0.07692308616248737]","[0.38709676966117407, 0.19354838483058703, 0.19354838483058703, 0.09677419631817154, 0.032258065811093056]","[0.38709676930795833, 0.19354838465397917, 0.1935483846539816, 0.09677419653402389, 0.03225806591201126]","[0.38709676966117407, 0.19354838483058703, 0.19354839263634308, 0.19354839486655834, 0.1290322565537247]","[0.3870967693079632, 0.19354838465397917, 0.19354839306804777, 0.19354839547206754, 0.12903225643598612]","[0.4615383329670286, 0.15384611098900988, 0.15384622241758372, 0.09230766659340574, 0.05128203699633682]","[0.4615384192067519, 0.15384613973558403, 0.15384617642306567, 0.09230768384135038, 0.05128204657852802]","[0.4615383329670287, 0.1538462224175843, 0.2307691664835144, 0.15384611098901046, 0.07692311120879217]","[0.4615384192067519, 0.15384617642306567, 0.23076920960337596, 0.15384613973558403, 0.0769230882115328]"
63,"[0.23076923521367418, 0.10967748935484643, 0.1923076767521359, 0.09677422249575496, 0.03508764929824658]","[0.23076924865962975, 0.11538462432981506, 0.13761474412449887, 0.10273974309943999, 0.027522948824899775]","[0.3870967268251279, 0.2307692207692304, 0.31578827368422563, 0.24679485531338993, 0.1923076767521359]","[0.4128438057992741, 0.23076924865962978, 0.348623923654459, 0.269406378457909, 0.2115384391754628]","[0.24679485531339043, 0.1923076767521324, 0.19230767675213706, 0.10897438712250851, 0.06410255891737567]","[0.269406378457909, 0.19765164877190858, 0.19765164877190858, 0.10273974309943999, 0.06588388292396967]","[0.3846153535042713, 0.1923076767521324, 0.21794877424501952, 0.24679485531338993, 0.09615383837606767]","[0.39530329754381716, 0.19765164877190858, 0.20547948619887998, 0.269406378457909, 0.09882582438595429]","[0.31578827368422563, 0.15789527684209861, 0.21052589578947895, 0.10526351789473241, 0.035087649298246606]","[0.3411370962556915, 0.1705685481278458, 0.2006689070116756, 0.11371236541856385, 0.03344481783528007]","[0.31579055368419723, 0.21052589578947895, 0.31578827368422563, 0.21052589578947964, 0.05263175894736588]","[0.34113709625569155, 0.2006689070116756, 0.3411370962556915, 0.20066890701167536, 0.056856182709282596]","[0.23076923521367418, 0.11538461760683869, 0.1923076767521359, 0.23076922076923062, 0.07692307358974418]","[0.23076924865962975, 0.11538462432981506, 0.2115384391754628, 0.23076924865962917, 0.07692308288654318]","[0.23076923521367737, 0.23076922076923062, 0.23076923521367418, 0.23076923521367418, 0.1923076767521359]","[0.23076924865962975, 0.23076924865962925, 0.23076924865962908, 0.23076924865962953, 0.2115384391754628]"
64,"[0.2372881629616423, 0.10135135488793662, 0.14285715119047596, 0.06779660911685985, 0.033333344102563986]","[0.23448296675983168, 0.10135135565767828, 0.15384633013641852, 0.06896551724137932, 0.03858522059717321]","[0.4067796547011598, 0.29999995846153865, 0.30769226769231145, 0.2857142440476176, 0.17948719948717767]","[0.4137931034482759, 0.34726685659881346, 0.3076922996179446, 0.3076926602728372, 0.17948716602990772]","[0.30769226769231134, 0.15384613384615478, 0.17948719948717767, 0.15384613384615572, 0.07692306692307876]","[0.3076922996179443, 0.15384616730342565, 0.17948716602990772, 0.15384614980897232, 0.07692308365171278]","[0.30769226769231134, 0.17948719948717767, 0.30769226769231145, 0.15384613384615575, 0.17948719948717767]","[0.3076923346068513, 0.17948716602990794, 0.30769229961794464, 0.15384616730342524, 0.17948716602990772]","[0.4054053834541866, 0.10135135488793662, 0.17567568421226087, 0.17567568421226087, 0.06756756390903114]","[0.40540542263071305, 0.10135135565767828, 0.17567566897694495, 0.17567566897694487, 0.06756757043845216]","[0.40540541955174647, 0.17567568421226087, 0.2027026917270931, 0.20270269172709343, 0.08783784210613044]","[0.4054054226307131, 0.17567566897694492, 0.20270271131535647, 0.20270271131535653, 0.08783783448847246]","[0.29999995846153865, 0.19999997230769256, 0.15000004846153794, 0.09999998615384642, 0.033333344102563986]","[0.34726685659881346, 0.18649514703584016, 0.17363349268727976, 0.09324757351792012, 0.038585220597173085]","[0.3000000969230759, 0.29999995846153865, 0.19999997230769284, 0.19999997230769256, 0.09999998615384628]","[0.3472669853745595, 0.34726685659881346, 0.18649514703584025, 0.18649514703584033, 0.09324757351791968]"
65,"[0.28571398571429635, 0.04878048590011616, 0.14285720285714085, 0.0952380202380902, 0.04761916761905559]","[0.3030303178609164, 0.05128205265446192, 0.15384615796338577, 0.0952380157883801, 0.04761917473859183]","[0.4390243731010454, 0.1904760404761806, 0.2962962542962959, 0.28571398571429635, 0.1851851791851852]","[0.4615384738901573, 0.1904760315767602, 0.33333330982945875, 0.30769222824259557, 0.1746033070193665]","[0.28571398571429635, 0.14285720285714076, 0.14285720285714076, 0.1428570628571455, 0.0714286014285705]","[0.30769222824259557, 0.15384621740592355, 0.15384621740592355, 0.1282050434587686, 0.07692310870296178]","[0.2857144057142815, 0.14285720285714076, 0.285714125714291, 0.28571398571429635, 0.14285720285714076]","[0.3076924348118471, 0.15384621740592355, 0.2564100869175372, 0.30769222824259557, 0.15384621740592355]","[0.30303028303030355, 0.18181818181818177, 0.18181818181818177, 0.18181818181818155, 0.09090909090909088]","[0.3030303178609164, 0.18181817440287512, 0.18181817440287512, 0.18181817440287512, 0.09090909302774997]","[0.36363636363636354, 0.18181818181818177, 0.1818181818181821, 0.18181818181818155, 0.15151514151515177]","[0.36363634880575024, 0.18181818605549993, 0.18181818605549993, 0.18181818605549993, 0.1515151589304582]","[0.4390243731010454, 0.04878048590011616, 0.14634145770034848, 0.14634149674796715, 0.07317074837398357]","[0.46153844712814945, 0.05128205265446192, 0.15384615796338577, 0.1538461579633867, 0.07692307898169334]","[0.4390243731010454, 0.14634149674796715, 0.14634149674796715, 0.21951218655052274, 0.14634145770034848]","[0.4615384738901573, 0.1538461579633867, 0.15384615796338577, 0.2307692235640753, 0.15384614904271648]"
66,"[0.24999998571428614, 0.05633802930537771, 0.1408451004225363, 0.04545454780748673, 0.049999997142857217]","[0.270270278460834, 0.05714284577298363, 0.14534884355935437, 0.0454545478622833, 0.05405405569216699]","[0.45454538531468014, 0.24999995714285703, 0.3380281596959031, 0.24999998571428614, 0.13636363048128314]","[0.454545431230019, 0.2702702481557487, 0.3428570746379021, 0.27027027846083335, 0.1363636303442919]","[0.4225353012676084, 0.14084510042253615, 0.14084510042253615, 0.11737084601877751, 0.058685423009388865]","[0.4360465098078252, 0.14534883660260906, 0.14534884355935437, 0.1104651102525881, 0.05523255512629405]","[0.4225353012676084, 0.14084510042253628, 0.23474169203755546, 0.2112676506338049, 0.08450706025352193]","[0.43604653067806315, 0.1453488366026092, 0.2209302205051762, 0.2180232549039126, 0.08720930196156505]","[0.249999985714286, 0.12499999285714244, 0.2499999571428577, 0.1250000214285712, 0.049999997142857217]","[0.270270278460834, 0.13513513923041687, 0.2702702481557487, 0.1351351392304175, 0.05405405569216699]","[0.249999985714286, 0.24999995714285733, 0.2500000428571424, 0.24999998571428614, 0.12499999285714297]","[0.270270278460834, 0.2702702481557487, 0.270270278460834, 0.27027027846083496, 0.135135139230417]","[0.4545453853146801, 0.09090907706293602, 0.1515151284382267, 0.0934343799728076, 0.07575756421911321]","[0.4545454312300188, 0.09090908624600365, 0.15151514374333938, 0.09343435573971201, 0.07575757187167045]","[0.45454538531468014, 0.15151512843822718, 0.1868687599456152, 0.22727269265734013, 0.11363634632866987]","[0.4545454312300188, 0.15151514374333938, 0.18686871147942455, 0.22727271561500942, 0.1136363578075053]"
67,"[0.2857142957142863, 0.0479999973913033, 0.06185567010309277, 0.0927835151546396, 0.047619049285714005]","[0.2857143058135811, 0.04800000178300186, 0.06593406173924897, 0.07692309323625403, 0.04761905096893019]","[0.4329896907216494, 0.2380952114285676, 0.3359999817391272, 0.21649484536082428, 0.17171716171717055]","[0.46153843217474283, 0.28571427063981425, 0.3359999922196282, 0.23076921608737141, 0.17171716362843092]","[0.4329896907216494, 0.14432989690721593, 0.06185567010309277, 0.0927835151546396, 0.04810996563573882]","[0.46153843217474283, 0.15384614405824762, 0.06593406173924897, 0.07692309323625403, 0.05128204801941587]","[0.4329896907216494, 0.14432989690721656, 0.1855670303092792, 0.21649484536082428, 0.14432989690721643]","[0.46153843217474283, 0.15384614405824762, 0.15384618647250806, 0.23076921608737141, 0.15384614405824762]","[0.3359999817391231, 0.0479999973913033, 0.1919999895652163, 0.16799999086956358, 0.08400002260870076]","[0.3359999922196282, 0.04800000178300186, 0.2060000068078253, 0.1679999961098141, 0.08399999805490704]","[0.3359999817391231, 0.19199998956521552, 0.3359999817391272, 0.16800004521740275, 0.1119999939130424]","[0.336000012481013, 0.2060000068078253, 0.3359999922196282, 0.1679999961098141, 0.11199999740654273]","[0.2857142957142863, 0.14285714785714265, 0.23809521142856716, 0.09523809857142872, 0.047619049285714005]","[0.2857143058135811, 0.14285715290679055, 0.28571427063981425, 0.09523810193786038, 0.04761905096893019]","[0.2857142957142863, 0.23809521142856716, 0.28571429571428636, 0.14285714785714201, 0.14285714785714315]","[0.2857143058135811, 0.28571427063981425, 0.2857143058135811, 0.14285715290679055, 0.14285715290679055]"
68,"[0.23076922153846355, 0.10576923653846107, 0.1, 0.10000000999999861, 0.028571437142858397]","[0.23076923076923095, 0.10576923678006737, 0.10000000595901941, 0.1000000210379284, 0.028571434582265288]","[0.4, 0.2307692215384599, 0.23076922153846355, 0.23076922153846355, 0.14583333054487652]","[0.40000002383607763, 0.23076923076923078, 0.23076923076923073, 0.23076923076923073, 0.14583333081918512]","[0.23076922153846355, 0.10576923653846107, 0.23076922153845975, 0.2307692215384604, 0.07692307384615664]","[0.23076923076923073, 0.10576923678006737, 0.23076923076923073, 0.23076923076923073, 0.07692307692307693]","[0.31730770961538307, 0.2307692215384599, 0.23076922153846355, 0.23076922153846355, 0.11538461076923177]","[0.31730771034020216, 0.23076923076923078, 0.23076923076923073, 0.23076923076923073, 0.11538461538461536]","[0.29166666108975303, 0.18749999971151857, 0.18749999971151898, 0.18749999971151898, 0.0625000014423087]","[0.2916666616383704, 0.1874999997399158, 0.18749999973991585, 0.18749999973991585, 0.06250000130042133]","[0.37499999942303797, 0.18749999971151857, 0.1875000043269261, 0.18750000432692573, 0.14583333054487652]","[0.3749999994798316, 0.18749999973991585, 0.18750000390126406, 0.1875000039012641, 0.1458333308191852]","[0.3615384413626387, 0.12051282521611739, 0.180769237824174, 0.11538461076923168, 0.04615384430769271]","[0.3999998579939857, 0.1333332859979952, 0.1999999289969928, 0.1000000210379284, 0.04000000841517139]","[0.3615384756483522, 0.180769237824174, 0.23076922153846355, 0.18076922068131895, 0.12051281378754601]","[0.3999998579939857, 0.1999999289969928, 0.2000000420758568, 0.19999992899699265, 0.13333328599799513]"
69,"[0.2727272588811188, 0.12121211650623887, 0.12500002499999804, 0.0909091067914437, 0.062499992500000615]","[0.2727272589175789, 0.12903226385567831, 0.12500004488150576, 0.09677419680067004, 0.06249998254608118]","[0.39999998800000164, 0.1999999940000009, 0.24242420473193393, 0.2727272588811188, 0.1874999775000014]","[0.3999999893009741, 0.19999999465048696, 0.24242420483118707, 0.2727272589175789, 0.1935483858098493]","[0.38709679419354937, 0.1935483626523301, 0.12903226473118312, 0.09677418132616412, 0.09677418132616457]","[0.3870967872026802, 0.19354838015857062, 0.12903226240089344, 0.09677419680066993, 0.09677419007928537]","[0.38709679419354937, 0.1935483970967747, 0.19354836265233133, 0.1935483626523301, 0.12903226473118315]","[0.3870967872026802, 0.1935483936013401, 0.19354839360134005, 0.19354838015857062, 0.12903226240089347]","[0.3749999550000028, 0.1874999775000023, 0.12500002499999804, 0.12500002499999804, 0.062499992500000615]","[0.3749999750658301, 0.18749994763824343, 0.12500004488150576, 0.1250000448815057, 0.06249998254608118]","[0.3750000749999941, 0.1874999775000023, 0.18749997750000147, 0.18749997750000186, 0.1874999775000014]","[0.37500013464451726, 0.18749998753291505, 0.18749994763824346, 0.18749994763824324, 0.18749998753291505]","[0.3636363495187165, 0.12121211650623887, 0.18181817475935835, 0.0909091067914437, 0.09090908737967922]","[0.3870967716196997, 0.12903226385567831, 0.19354838580984923, 0.09677419290492462, 0.09677419290492471]","[0.3636363495187166, 0.18181817475935835, 0.1818182135828874, 0.18181817475935844, 0.18181817475935824]","[0.38709679156703486, 0.19354838580984934, 0.19354838580984923, 0.19354838580984984, 0.19354838580984984]"
70,"[0.2857142971428578, 0.10714286214285686, 0.20000001400000075, 0.06185566936235216, 0.03333333215686275]","[0.2857143086077558, 0.10714286715875054, 0.20000002804449898, 0.061855669361174793, 0.03333333215499278]","[0.43298968553646516, 0.24999996999999963, 0.2999999894117644, 0.15000000352941195, 0.14285714857142892]","[0.43298968552822353, 0.26785712425619845, 0.29999998939493505, 0.1714285253554658, 0.1428571543038779]","[0.4000000280000016, 0.1499999754999985, 0.2000000140000008, 0.1000000070000004, 0.057142861142857375]","[0.4000000560889979, 0.1714285253554672, 0.20000002804449898, 0.10000001402224933, 0.05714286515557113]","[0.4000000280000016, 0.20000001400000078, 0.200000014000001, 0.1499999754999985, 0.10000000700000045]","[0.4000000560889979, 0.20000002804449898, 0.20000002804449898, 0.1714285253554672, 0.10000001402224949]","[0.29999998941176437, 0.15000000352941195, 0.2249999964705886, 0.1499999947058822, 0.03333333215686271]","[0.29999998939493505, 0.15000000353502163, 0.2583333418763022, 0.14999999469746783, 0.03333333215499278]","[0.3000000070588238, 0.2249999964705886, 0.2999999894117644, 0.15000000352941195, 0.09999999647058805]","[0.30000000707004326, 0.2583333418763022, 0.29999998939493505, 0.15000000353502163, 0.09999999646497838]","[0.4329896855364653, 0.1391752560652923, 0.2164948427682325, 0.06185566936235216, 0.061855669362351776]","[0.4329896855282235, 0.1443299011732447, 0.21649484276411177, 0.061855669361174793, 0.06185566936117483]","[0.4329896855364653, 0.2164948427682325, 0.21649485474353922, 0.1391752560652923, 0.07216494758941096]","[0.43298968552822353, 0.21649484276411174, 0.21649485475845268, 0.1443299011732448, 0.07216494758803725]"
71,"[0.27272730734266154, 0.09090908690909334, 0.14285715785714528, 0.09090911690908476, 0.0334928129665057]","[0.28125005485593685, 0.09999999819959954, 0.14285720458513204, 0.1000000162036007, 0.03349282771481475]","[0.42857139857144005, 0.18181818181818538, 0.28571424571427495, 0.3014353166985513, 0.18181817381818266]","[0.4285713977074335, 0.19999999639919902, 0.2380951969432456, 0.3333333024693343, 0.19999999639919935]","[0.3014353166985513, 0.18181818181817236, 0.18181818181816584, 0.18181818181818538, 0.0334928129665057]","[0.3014354494333327, 0.18181813670925995, 0.18181813670925995, 0.18181821940895007, 0.03349282771481475]","[0.3636363636363707, 0.18181818181818538, 0.18181818181816584, 0.3014353166985513, 0.09090909090909269]","[0.3636362734185199, 0.18181821940895007, 0.18181821940895002, 0.3014354494333327, 0.09090906835462986]","[0.27272730734266154, 0.18181817951048684, 0.1818181795104867, 0.18181817951048684, 0.06060605983682848]","[0.28125005485593685, 0.18749995298062547, 0.18749995298062547, 0.18749995298062547, 0.0624999843268752]","[0.3636363590209857, 0.18181817951048684, 0.1818181795104867, 0.27272730734266154, 0.09090910244755389]","[0.37499990596125093, 0.18749995298062547, 0.18749995298062547, 0.28125005485593685, 0.09375001828531229]","[0.3636363476363653, 0.09090908690909334, 0.18181818181818538, 0.09090911690908476, 0.09090907890909058]","[0.39999999279839815, 0.09999999819959954, 0.1999999963991991, 0.10000001620360072, 0.09999999819959968]","[0.36363634763637337, 0.18181818181818538, 0.18181823381816953, 0.18181815781818117, 0.18181817381818266]","[0.39999999279839815, 0.19999999639919902, 0.20000003240720143, 0.19999999639919927, 0.19999999639919935]"
72,"[0.26666667666666544, 0.08536585679676814, 0.13333336333333232, 0.05084746958364077, 0.023712737999102243]","[0.3137254655161629, 0.08571428189425334, 0.15686277471393784, 0.051369870402926864, 0.023809521885365673]","[0.42857133383457935, 0.21428566691728948, 0.21428566691728992, 0.26666667666666544, 0.17204300075268741]","[0.4285713939365819, 0.21428569696829095, 0.21428569696829106, 0.3137254655161629, 0.17204300379744028]","[0.34408600150537483, 0.19354838709677416, 0.19354838709677394, 0.09677419354838697, 0.032258064516129024]","[0.34408600759488056, 0.19354838709677413, 0.19354838709677408, 0.09677419354838714, 0.03225806451612903]","[0.3870967741935483, 0.19354838709677416, 0.19354838709677394, 0.19354838709677416, 0.17204300075268741]","[0.38709677419354827, 0.1935483870967742, 0.19354838709677427, 0.19354838709677422, 0.17204300379744028]","[0.42857133383457935, 0.14285719969925234, 0.21428566691728992, 0.10714283345864539, 0.023809518546365094]","[0.4285713939365819, 0.14285716363805073, 0.21428569696829095, 0.10714284848414546, 0.023809521885365673]","[0.42857133383457935, 0.21428566691728973, 0.21428566691728992, 0.14285719969925226, 0.07142859984962617]","[0.4285713939365819, 0.21428569696829095, 0.21428569696829106, 0.1428571636380508, 0.07142858181902542]","[0.4268292839838407, 0.08536585679676814, 0.19207314103058745, 0.1067073209959601, 0.023712737999102243]","[0.42857139393658217, 0.08571428189425334, 0.21428569696829106, 0.10714284848414553, 0.023809521885365673]","[0.4268292839838407, 0.19207314103058745, 0.2134146419919202, 0.2134146419919207, 0.06097561199769222]","[0.42857140947126665, 0.21428569696829106, 0.21428569696829106, 0.214285696968291, 0.06122448484808316]"
73,"[0.3137255351960762, 0.1052631633140917, 0.18181821181817964, 0.09090910590908997, 0.02439024483267165]","[0.32142856840037104, 0.10714285383936578, 0.18181821320135086, 0.09090910660067543, 0.024390244875560508]","[0.428571413571429, 0.23529408764706042, 0.31578946052292, 0.20454536454546082, 0.18181815681818358]","[0.4285714153574631, 0.23015872190000192, 0.32142856840037104, 0.20454536039594737, 0.18181815566554096]","[0.31372553519607604, 0.15686276759803802, 0.23529408764706042, 0.15686276759803805, 0.03485839279956401]","[0.32142856840037104, 0.1607142919083319, 0.23015872190000192, 0.16071428420018552, 0.03571428709074042]","[0.31372553519607604, 0.23529408764706042, 0.3137255351960762, 0.15686276759803805, 0.058823521911765105]","[0.3214285838166638, 0.23015872190000192, 0.32142856840037104, 0.1607142919083319, 0.05753968047500048]","[0.3902438982529775, 0.19512194912648861, 0.1951219491264884, 0.1056910593524299, 0.02439024483267165]","[0.39024389805997795, 0.19512194902998897, 0.19512194902998897, 0.10569105946501287, 0.024390244875560532]","[0.39024389825297756, 0.2113821187048598, 0.1951219491264884, 0.1951219586613732, 0.09756097456324436]","[0.39024389805997795, 0.21138211893002573, 0.19512194902998897, 0.19512195900448426, 0.09756097451499449]","[0.36363631363636717, 0.18181821181817942, 0.18181821181817956, 0.09090910590908997, 0.06818178818182027]","[0.36363631133108193, 0.18181821320135086, 0.18181821320135086, 0.09090910660067543, 0.06818178679864913]","[0.3636364236363591, 0.18181821181817956, 0.18181821181817995, 0.20454536454546082, 0.18181815681818358]","[0.3636364264027017, 0.18181821320135086, 0.18181821320135086, 0.2045453603959474, 0.18181815566554096]"
74,"[0.3243243243243257, 0.0784313714169437, 0.11764705712541601, 0.0894040235099286, 0.02371274460563214]","[0.31698116496633344, 0.07924529124158324, 0.1275510052277654, 0.08940402832804174, 0.022108849722021547]","[0.47058822850166404, 0.21621619621621824, 0.3243243243243257, 0.23529411425083227, 0.2185430343576161]","[0.5102040209110617, 0.25660375409402425, 0.31698116496633344, 0.2551020104555308, 0.21854303320126992]","[0.37499998666665446, 0.15624997666665186, 0.18749999333333195, 0.0937500144444528, 0.06249999777777909]","[0.3749999999999999, 0.1718749498805869, 0.18749999999999994, 0.09375000000000006, 0.06250000000000008]","[0.37499998666666295, 0.1874999933333299, 0.1875000288889056, 0.18749999333332246, 0.1562499766666487]","[0.3749999999999999, 0.18749999999999994, 0.1875000000000001, 0.18749999999999994, 0.1718749498805869]","[0.4370860687152322, 0.10927151717880809, 0.1456953562384108, 0.08940402350992847, 0.05960263200662505]","[0.4370860664025398, 0.10927151660063496, 0.1456953554675133, 0.08940402832804206, 0.05960263036846579]","[0.43708606871523237, 0.1456953562384104, 0.1788080470198572, 0.17880789601987515, 0.2185430343576161]","[0.4370860664025398, 0.14569535546751333, 0.17880805665608387, 0.17880789110539724, 0.21854303320126992]","[0.4268292317709439, 0.08536584635418878, 0.19207311151431714, 0.10670735072534457, 0.02371274460563214]","[0.42682926829268286, 0.08536585365853659, 0.21341459416257616, 0.10670731707317081, 0.023712737127371278]","[0.4268292317709439, 0.19207311151431714, 0.21341470145068914, 0.21341461588547195, 0.06097560453870627]","[0.42682926829268286, 0.21341459416257616, 0.21341463414634151, 0.21341463414634143, 0.06097560975609755]"
75,"[0.26666667666666666, 0.05769230632087917, 0.13333336333333407, 0.09375000176470591, 0.05048077397362613]","[0.2857143120077661, 0.0579150560230403, 0.15686277665021628, 0.0967741967544954, 0.050675678890430446]","[0.4054053928128126, 0.22857139482142927, 0.28571429821428546, 0.26666667666666666, 0.18749998941176438]","[0.4054053921612821, 0.2571428347933982, 0.2857143120077661, 0.313725463902598, 0.19354838246572886]","[0.28571429821428546, 0.14285714910714248, 0.22857139482142927, 0.14285714910714273, 0.05714285964285712]","[0.2857143120077661, 0.14285715600388305, 0.2571428347933982, 0.14285715600388305, 0.05714286240155336]","[0.2857142982142855, 0.22857139482142927, 0.28571429821428546, 0.14285714910714276, 0.14285714910714248]","[0.2857143120077661, 0.2571428347933982, 0.2857143120077661, 0.14285715600388305, 0.14285715600388305]","[0.26666667666666666, 0.13333336333333373, 0.13333336333333412, 0.19999996999999944, 0.06666665666666624]","[0.313725463902598, 0.1568627766502161, 0.15686277665021628, 0.17647055668311698, 0.05882351889437239]","[0.266666726666668, 0.19999996999999944, 0.19999996999999936, 0.26666667666666666, 0.13333336333333373]","[0.31372555330043256, 0.17647055668311698, 0.17647055668311712, 0.313725463902598, 0.15686277665021617]","[0.40540539281281246, 0.10135134820320311, 0.17567567752752777, 0.17567567752752777, 0.06756757460460473]","[0.4054053921612821, 0.10135134804032052, 0.17567567762334094, 0.17567567762334094, 0.06756757496869537]","[0.40540539281281246, 0.17567567752752777, 0.20270269640640642, 0.20270272381381416, 0.08783783876376389]","[0.4054053921612821, 0.17567567762334094, 0.20270269608064104, 0.2027027249060861, 0.0878378388116704]"
